"%s Item(s)","%s artiklar"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. All Rights Reserved."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select --","-- Vänligen välj --"
"1 column","1 kolumn"
"2 columns with left bar","2 kolumner med vänsterblock"
"2 columns with right bar","2 kolumner med högerblock"
"3 columns","3 kolumner"
"About the calendar","Om kalendern"
"All Empty Layout Pages","Alla sidor med tom layout"
"All One-Column Layout Pages","Alla sidor med 1 kolumn layout"
"All Pages","Alla sidor"
"All Pages (Print Version)","Alla sidor (Utskriftsversion)"
"All Three-Column Layout Pages","Alla sidor med 3 kolumner layout"
"All Two-Column Layout Pages (Left Column)","Alla sidor med 2 kolumner och vänsterblock layout"
"All Two-Column Layout Pages (Right Column)","Alla sidor med 2 kolumner och högerblock layout"
"Allow","Tillåt"
"Breadcrumbs","Brödsmulor"
"Click <a href=""%s"">here</a> if nothing has happened","Klicka <a href=""%s"">här</a> om ingenting händer"
"Close","Stäng"
"Close Window","Stäng fönstret"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Datum urval:"
"Default Description","Förvald beskrivning"
"Default welcome msg!","Förvalt välkomstmeddelande"
"Display %s first","Visa %s först"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Dra för att flytta"
"Empty","Tom"
"For latest version visit: %s","För senaste version: %s"
"Free Shipping on orders over 50$","Gratis frakt för beställningar över 500 kr"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Hjälp oss att förbättra Magento"
"Interface Language","Admin språk"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"JavaScript seems to be disabled in your browser.","Javascript verkar vara inaktiverat i din webbläsare."
"Left Column","Vänster block"
"Main Content Area","Block för huvudinnehåll"
"Navigation Bar","Block för navigering"
"Next","Nästa"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page Bottom","Botten av sida"
"Page Footer","Sidfot"
"Page Header","Sidhuvud"
"Page Top","Toppen av sidan"
"Page:","Sida:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous","Föregående"
"Redirecting...","Redirectar..."
"Report All Bugs","Rapportera alla buggar"
"Right Column","Höger block"
"Select Store","Välj butik"
"Select Store:","Välj butik:"
"Select date","Välj datum"
"Show","Visa"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demobutik. Beställningar som görs kommer varken att behandlas eller att skickas."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below."
"Time selection:","Tid urval:"
"Time:","Tid:"
"Welcome, %s!","Välkommen, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Du måste ha Javascript akriverat i din webbläsare för att fullt ut kunna använda den här webbplatsen."
"Your Language","Ditt språk"
"Your Language:","Ditt språk:"
"per page","per sida"
