"Alert Email Sender","E-postavsändare notifikation"
"Alert subscription has been saved.","Prenumeration på notifikation har sparats."
"Allow Alert When Product Comes Back in Stock","Tillåt notifikation när produkten är tillbaka i lager"
"Allow Alert When Product Price Changes","Tillåt notifikation när produktpris förändras"
"Click here not to receive alerts for this product","Klicka här för att inte få notifikationer för denna produkt"
"Error Email Recipient","E-postmottagare för felmeddelande"
"Error Email Sender","E-postavsändare för felmeddelande"
"Error Email Template","E-postmall för felmeddelande"
"Frequency","Frekvens"
"Not enough parameters.","Inte tillräckligt med parametrar."
"Price Alert Email Template","E-postmall för prisnotifikation"
"Price:","Pris:"
"Product Alerts","Produktnotifikationer"
"Product Alerts Run Settings","Körinställningar för produktnotifikationer"
"Product alerts Cron error","Cron fel för produktnotifikationer"
"Product price alert","Prisnotifikation"
"Product stock alert","Notifikation för lagervärde"
"Regular Price:","Normalt pris:"
"Sign up for price alert","Registrera dig för att få prisnotifikationer"
"Sign up to get notified when this product is back in stock","Registrera dig för att få meddelande när produkten åter finns i lager"
"Special price:","Kampanjpris"
"Start Time","Starttid"
"Stock Alert Email Template","E-postmall lagernotifikation"
"The alert subscription has been deleted.","Prenumeration på notifikation har tagits bort."
"The alert subscription has been saved.","Prenumeration på notifikation har sparats."
"The product is not found.","Produkten kunde inte hittas."
"The product was not found.","Produkten hittades inte."
"Unable to update the alert subscription.","Prenumeration på notifikation kunde inte uppdateras."
"Unsubscribe from all price alerts","Säg upp prenumerationer på alla prisnotifikationer"
"Unsubscribe from all stock alerts","Säg upp prenumerationer på lagernotifikationer"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Du får detta meddelande för att du har angivit att du vill bli meddelad om att följande produkter nu är tillbaka i lager:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du får detta meddelande för att du har angivit att du vill bli meddelad när priset på följande produkter ändras:"
"You will no longer receive price alerts for this product.","Du kommer inte att få fler prisnotifikationer för den här produkten."
"You will no longer receive stock alerts for this product.","Du kommer inte att få fler lagernotifikationer för den här produkten."
"You will no longer receive stock alerts.","Du kommer inte att få fler lagernotifikationer."
