"Abandoned Carts","Övergivna varukorgar"
"Abandoned carts","Övergivna varukorgar"
"Action","Åtgärd"
"Add to Cart","Lägg till i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelista"
"Any","Alla"
"Applied Coupon","Använda kuponger"
"Applies to Any of the Specified Order Statuses","Tillämpas på alla specificerade order statusar"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Är du säker på att du vill uppdatera statistik sedan butikens start? Butikens prestanda kan påverkas under tiden som operationen körs."
"Are you sure?","Är du säker?"
"Avg. Approved Rating","Genomsnittligt godkänt betyg"
"Avg. Rating","Genomsnittligt betyg"
"Bestsellers","Bästsäljare"
"Bought from wishlists","Köpta från önskelistor"
"CSV","CSV"
"Carts","Varukorgar"
"Catalog Category (Without Subcategories)","Produktkategori (utan underkategorier)"
"Compared Products Grid Template","Rutnätsmall för produktjämförelse"
"Compared Products List Template","Listmall för produktjämförelse"
"Coupons","Kuponger"
"Coupons Usage Report","Rapport för kuponganvändning"
"Created At","Skapad den"
"Current Month Starts","Nuvarande månad startar"
"Customer","Kund"
"Customer Name","Kundnamn"
"Customer Tags","Kundetiketter"
"Customers","Kunder"
"Customers Report","Kundrapporter"
"Customers Reviews","Kunders recensioner"
"Customers Tags","Kunders etiketter"
"Customers by Number of Orders","Kunder efter antal beställningar"
"Customers by Orders Total","Kunder efter totalt beställt"
"Customers by number of orders","Kunder efter antal beställningar"
"Customers by orders total","Kunder efter totalt beställt"
"Customers that have wishlist: %s%","Kunder som har önskelistor: %s%"
"Dashboard","Översikt"
"Day","Dag"
"Default Recently Compared Products Count","Förvalt värde för antal senaste jämförda produkter"
"Default Recently Viewed Products Count","Förvalt värde för antal senaste visade produkter"
"Description","Beskrivning"
"Detail","Detalj"
"Downloads","Nedladdningar"
"Email","E-postadress"
"Empty Rows","Tomma rader"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","Förnamn"
"From","Från"
"Guest","Gäst"
"Hits","Träffar"
"ID","Id"
"IP Address","IP adress"
"Index model name must be defined","Model namn för index måste definieras"
"Invalid date specified.","Angivet datum är ogiltigt."
"Invoiced","Fakturerad"
"Items in Cart","Artiklar i varukorg"
"Last Name","Efternamn"
"Last Review","Sista recension"
"Link","Länk"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista på produkter senast visade och borttagna från jämförelselistan av besökare"
"List of Products Recently Viewed by Visitor","Lista på produkter senast visade av besökare"
"Low Stock","Få i lager"
"Low stock","Få i lager"
"Match Period To","Matcha peridod till"
