"%d Review(s)","%d recension(er)"
"%s Review(s)","%s recension(er)"
"(Posted on %s)","(Skrevs den %s)"
"1 star","1 stjärna"
"2 stars","2 stjärnor"
"3 stars","3 stjärnor"
"4 stars","4 stjärnor"
"5 stars","5 stjärnor"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Skriv ny recension"
"Add Your Review","Skriv din recension"
"Administrator","Administratör"
"All Reviews","Alla recensioner"
"All Reviews of Customer `%s`","Alla recensioner av kund '%s'"
"All Reviews of Product `%s`","Alla recensioner av produkt '%s'"
"Allow Guests to Write Reviews","Tillåt gäster att skriva recensioner"
"Approved","Godkänd"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure?","Är du säker?"
"Average Customer Rating","Kundernas snittbetyg"
"Average Customer Rating:","Kundernas snittbetyg:"
"Back","Tillbaka"
"Back to Main Product Info","Tillbaka till produktsidan"
"Back to My Reviews","TIllbaka till mina recensioner"
"Back to Product Reviews","Tillbaka till produktrecensioner"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Catalog Product Review View","Vy över produktrecensioner i katalogen"
"Catalog Product Reviews List","Lista över produktrecensioner i katalogen"
"Created On","Skapades den"
"Customer","Kund"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Kundrecensioner"
"Customers Reviews","Kundrecensioner"
"Delete","Ta bort"
"Delete Review","Ta bort recension"
"Detailed Rating","Detaljerat betyg"
"Edit Review '%s'","Ändra på recension '%s'"
"Guest","Gäst"
"How do you rate this product?","Vilket betyg ger du denna produkt?"
"ID","Id"
"Manage Ratings","Hantera betyg"
"My Product Reviews","Mina recensioner"
"My Recent Reviews","Mina senaste recensioner"
"Name","Namn"
"Name in Store","Namn i butik"
"New Review","Ny recension"
"Nickname","Smeknamn"
"Nickname can\'t be empty","Smeknamn kan inte vara tomt"
"Not Approved","Ej godkänd"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Endast registrerade kunder kan skriva recensioner. <a href=""%s"">Logga in</a> eller <a href=""%s"">skapa ett konto</a>"
"Pending","Avvaktande"
"Pending Reviews","Recensioner att granska"
"Pending Reviews of Customer `%s`","Recensioner från kund '%s' att granska"
"Please select a product","Vänligen välj en produkt"
"Please select one of each of the ratings above","Vänligen välj ett av varje av betygen ovan"
"Posted By","Skriven av"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnamn"
"Product Rating","Produktbetyg"
"Product Rating:","Produktbetyg:"
"Product Review (submitted on %s):","Produktrecension (skrevs den %s):"
"Product Reviews","Produktrecensioner"
"Product SKU","Produktens art. nr."
"Products Reviews","Produktrecensioner"
"Qty","Antal"
"Rating:","Betyg:"
"Review","Recension"
"Review (submitted on %s):","Recension (skrevs den %s):"
"Review Details","Detaljer för recension"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","Recension av <span>%s</span>"
"Review can\'t be empty","Textfältet för recension kan inte vara tomt."
"Review summary can\'t be empty","Sammanfattning av recension kan inte vara tom."
"Reviews and Ratings","Recensioner och betyg"
"SKU","Artikelnummer"
"Save Review","Spara recension"
"Status","Status"
"Submit Review","Skicka recension"
"Summary Rating","Betyg på sammanfattning"
"Summary of Review","Sammanfattning av recension"
"Summary of Your Review","Sammanfattning av din recension"
"Title","Titel"
"Type","Typ"
"Unable to post the review.","Kunde inte skicka recensionen."
"Update Status","Uppdatera status"
"View All Reviews","Se alla recensioner"
"View Details","Se detaljer"
"Visible In","Synlig i"
"Websites","Webbsidor"
"Write Your Own Review","Skriv din egen recension"
"You have submitted no reviews.","Du har inte skrivit några recensioner."
"You're reviewing:","Du recenserar:"
"Your Rating:","Ditt betyg"
"Your Review (submitted on %s):","Din recension (skrevs den %s):"
"Your review has been accepted for moderation.","Din recension har blivit mottagen för granskning."
