"ALL","ALLA"
"ANY","NÅGOT"
"Add","Lägg till"
"Apply","Använd"
"Conditions Combination","Kombination av villkor"
"Customer Groups must be specified.","Kundgrupper måste anges."
"End Date must be greater than Start Date.","Slutdatum måste vara senare än startdatum"
"FALSE","FALSKT"
"If %s of these conditions are %s:","Om %s av dessa villkor är %s:"
"Invalid discount amount.","Ogiltigt rabattbelopp."
"Open Chooser","Öppna väljare"
"Perform following actions","Utför följande åtgärder"
"Please choose a condition to add...","Välj ett villkor att lägga till..."
"Please choose an action to add...","Välj en åtgärd att lägga till..."
"Remove","Ta bort"
"TRUE","SANT"
"There is no information about associated entity type ""%s"".","Det finns ingen info om associerad enhetstyp, ""%s""."
"Websites must be specified.","Webbsidor måste anges."
"by","av"
"contains","innehåller"
"does not contain","innehåller inte"
"does not contains","does not contains"
"equals or greater than","lika med eller större än"
"equals or less than","lika med eller mindre än"
"for","for"
"for greater than","for greater than"
"for or greater than","for or greater than"
"found","found"
"from","from"
"greater than","större än"
"is","är"
"is not","är inte"
"is not one of","är inte en av"
"is one of","är en av"
"less than","mindre än"
"not found","not found"
"not from","not from"
"to","till"
"was","was"
"was not","was not"
