"Add Recipient","Lägg till mottagare"
"Allow for Guests","Tillåt för gäster"
"An invalid email address for recipient was entered.","An invalid email address for recipient was entered."
"At least one recipient must be specified.","At least one recipient must be specified."
"Back","Back"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","E-postadress"
"Email Address:","E-postadress:"
"Email Templates","Email Templates"
"Email to a Friend","E-posta till en vän"
"Email:","E-post:"
"Enabled","Aktiverad"
"Invalid Sender Information","Invalid Sender Information"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Begränsa utskick med"
"Max Products Sent in 1 Hour","Maximalt antal tillåtna produkter har skickats"
"Max Recipients","Maximalt antal mottagare"
"Maximum %d email addresses allowed.","Maximalt %d e-postadresser är tillåtna."
"Message:","Meddelande:"
"Name","Namn"
"Name:","Namn:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","Mottagare:"
"Remove Email","Ta bort e-post"
"Select Email Template","Select Email Template"
"Send Email","Send Email"
"Send product to a friend","Rekommendera produkten till en vän"
"Sender:","Avsändare:"
"Some emails were not sent.","Some emails were not sent."
"The link to a friend was sent.","The link to a friend was sent."
"The message cannot be empty.","The message cannot be empty."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour"
"The sender name cannot be empty.","The sender name cannot be empty."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
