" for more information or ","för mer info eller"
"# of Items (and above)","Antal artiklar (och ovan)"
"# of Items vs. Destination","Antal artiklar kontra destination"
"Allow Shipping to Multiple Addresses","Tillåt leverans till flertalet adresser"
"An error occurred while import table rates.","Ett fel uppstod när frakttabell importerades."
"Calculate Handling Fee","Beräkna hanteringskostnad"
"Carrier:","Transportör:"
"City","Stad"
"Close Window","Stäng fönstret"
"Condition","Villkor"
"Country","Land"
"Custom Value","Custom Value"
"Date","Datum"
"Delivered on:","Levererades den:"
"Delivered to:","Levererades till:"
"Description","Beskrivning"
"Displayed Error Message","Visat felmeddelande"
"Divide to equal weight (one request)","Dela upp i lika vikt (en förfrågan)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Dublettrad nr. %s (Land ""%s"", Region ""%s"", Postnummer ""%s"" och värde ""%s"")."
"Enabled","Aktiverad"
"Error:","Fel:"
"Export","Exportera"
"File has not been imported. See the following list of errors: %s","Filen har inte importerats. Se den här listan på fel: %s"
"Fixed","Fast"
"Flat Rate","Fast avgift"
"Free Shipping","Gratis frakt"
"Google Sitemap Section","Google Sitemap sektion"
"Handling Fee","Hanteringskostnad"
"Import","Importera"
"Include Virtual Products in Price Calculation","Inkludera virtuella produkter i prisuträkning"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s.","Ogiltig %s ""%s"" på rad nr. %s."
"Invalid Country ""%s"" in the Row #%s.","Ogiltigt land ""%s"" på rad nr. %s."
"Invalid Region/State ""%s"" in the Row #%s.","Ogiltig region""%s"" på rad nr. %s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Ogiltigt fraktpris ""%s"" på rad nr. %s."
"Invalid Table Rate code for type %s: %s","Ogiltig kod för frakttabell för typ %s: %s"
"Invalid Table Rate code type: %s","Ogiltig kodtyp för frakttabell: %s"
"Invalid Table Rates File Format","Ogiltigt filformat för frakttabell"
"Invalid Table Rates format in the Row #%s","Ogiltigt format på frakttabell på rad nr. %s"
"Local Time","Lokal tid"
"Location","Plats"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximalt tillåtet antal för leverans till flertalet adresser"
"Method Name","Metodnamn"
"Minimum Order Amount","Minimum orderbelopp"
"N/A","Inte tillämpligt"
"None","Inga"
"Options","Alternativ"
"Order Subtotal (and above)","Deltotal för beställning (och ovan)"
"Origin","Ursprung"
"Per Order","Per beställning"
"Per Package","Per paket"
"Percent","Procent"
"Price","Pris"
"Price vs. Destination","Pris kontra destination"
"Region/State","Region"
"Service Type:","Servicetyp:"
"Ship to Applicable Countries","Leverans till tillåtna länder"
"Ship to Specific Countries","Leverans till särskilda länder"
"Shipment #","Leveransnr."
"Shipment Tracking Popup","Popup för spårning av leverans"
"Shipped or billed on:","Levererad eller fakturerad den"
"Shipping Methods","Fraktsätt"
"Shipping Methods Section","Fraktsätt sektion"
"Shipping Settings","Fraktinställningar"
"Shipping Settings Section","Fraktinställningar sektion"
"Show Method if Not Applicable","Visa fraktssätt om ej tillämpligt"
"Signed by:","Signerat av:"
"Sort Order","Sortering"
"Status:","Status:"
"Store Pickup","Hämta i butik"
"Street Address","Gatuadress"
"Street Address Line 2","Gatuadress rad 2"
"Table Rates","Frakttabell"
"The shipping module is not available for selected delivery country.","Fraktmodulen är inte tillgänglig för det angivna leveranslandet."
"The shipping module is not available.","Fraktmodulen är inte tillgänglig."
"There is no tracking available for this shipment.","Det finns inget spårningsnummer tillgängligt för denna försändelse."
"There is no tracking available.","Det finns inget spårningsnummer tillgängligt."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Detta leveranssätt är för närvarande inte tillgängligt. Vänligen kontakta oss om du vill använda detta leveranssätt."
"This shipping method is not available, please specify ZIP-code","Detta fraktsätt är inte tillgängligt, vänligen ange postnummer"
"Title","Titel"
"Track:","Spåra:"
"Tracking Information","Spårningsinformation"
"Tracking Number:","Spårningsnummer:"
"Tracking information is currently not available. Please ","Spårningsinformation är för närvarande inte tillgängligt. Vänligen"
"Tracking information is currently unavailable.","Spårningsinformation är för närvarande inte tillgängligt."
"Type","Typ"
"Use origin weight (few requests)","Använd ursprungsvikt (få förfrågningar)"
"Weight (and above)","Vikt (och ovan)"
"Weight vs. Destination","Vikt kontra destination"
"Weight:","Vikt:"
"ZIP/Postal Code","Postnummer"
"contact us","kontakta oss"
"email us at ","skicka e-post till"
