"Action","Åtgärd"
"Add Sitemap","Lägg till sajtkarta"
"Always","Alltid"
"CMS Pages Options","Alternativ för CMS sidor"
"Categories Options","Alternativ för kategorier"
"Daily","Dagligen"
"Edit Sitemap","Ändra på sajtkartan"
"Enabled","Aktiverad"
"Error Email Recipient","E-postmottagare för felmeddelande"
"Error Email Sender","E-postavsändare för felmeddelande"
"Error Email Template","E-postmall för felmeddelande"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kan inte sparas. Försäkra dig om att webbservern har rättighet att skriva till mappen ""%s""."
"Filename","Filnamn"
"Frequency","Frekvens"
"Generate","Skapa"
"Generation Settings","Inställningar för skapande av sajtkarta"
"Google Sitemap","Google Sitemap"
"Hourly","Timvis"
"ID","Id"
"Last Time Generated","Skapades senast"
"Link for Google","Länk till Google"
"Monthly","Månadsvis"
"Never","Aldrig"
"New Sitemap","Ny sajtkarta"
"Path","Sökväg"
"Please create the specified folder ""%s"" before saving the sitemap.","Skapa den angivna mappen ""%s"" innan du sparar sajtkartan."
"Please define correct path","Ange den rätta sökvägen"
"Please make sure that ""%s"" is writable by web-server.","Försäkra dig om att webbservern har rättighet att skriva till ""%s""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Använd bara bokstäver (a-z or A-Z), siffror (0-9) eller understreck (_) i filnamnet. Inga mellanslag eller andra tecken är tillåtna."
"Priority","Prioritet"
"Products Options","Alternativ för produkt"
"Sitemap","Sajtkarta"
"Sitemap generate Warnings","Varningar vid skapande av sajtkarta"
"Start Time","Starttid"
"Store View","Butiksvy"
"The priority must be between 0 and 1.","Prioritet måste anges mellan 0 och 1."
"The sitemap ""%s"" has been generated.","Sajtkartan ""%s"" har skapats."
"The sitemap has been deleted.","Sajtkartan har tagits bort."
"The sitemap has been saved.","Sajtkartan har sparats."
"This sitemap no longer exists.","Sajtkartan finns inte längre."
"Unable to find a sitemap to delete.","Kunde inte hitta en sajtkarta att ta bort."
"Unable to find a sitemap to generate.","Kunde inte hitta en sajtkarta att skapa."
"Unable to generate the sitemap.","Kunde inte skapa sajtkartan."
"Valid values range: from 0.0 to 1.0.","Intervall för giltiga värden: från 0.0 till 1.0."
"Weekly","Veckovis"
"Yearly","Årligen"
