"# of Uses","Antal användningar"
"%s tag(s) have been accepted for moderation.","%s etikett(er) har mottagits för granskning."
"<strong>Tag Name:</strong> %s","<strong>Etikettnamn:</strong> %s"
"Action","Åtgärd"
"Add","Lägg till"
"Add New Tag","Ny etikett"
"Add Tags","Lägg till etiketter"
"Add Your Tags:","Lägg till dina etiketter:"
"Add tag(s) to product","Lägg till etiketter för produkt"
"Add to Cart","Lägg i varukorgen"
"Add to Wishlist","På önskelista"
"All Tags","Alla etiketter"
"Approved","Godkänd"
"Are you sure you want to delete this tag?","Är du säker på att du vill ta bort denna etikett?"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure?","Är du säker?"
"Back","Tillbaka"
"Back to Tags List","Tillbaka till listan över etiketter"
"Base Popularity","Bas för populäritet"
"Block Information","Blockinformation"
"CSV","CSV"
"Catalog Product View","Produktsida"
"Change status","Ändra status"
"Click on a tag to view your corresponding products.","Välj en etikett för att se dina tillhörande produkter."
"Country","Land"
"Customer My Account My Tags List","Lista på etiketter under Mitt konto"
"Customer My Account Tag View","Vy över etiketter under Mitt konto"
"Customer Since","Kund sedan"
"Customers","Kunder"
"Customers Submitted this Tag","Kunder som har satt etiketten"
"Customers Tagged '%s'","Kunder som har satt etiketten '%s'"
"Delete","Ta bort"
"Delete Tag","Ta bort etiketten"
"Disabled","Inaktiverad"
"Edit Tag '%s'","Redigera etiketten '%s'"
"Email","E-post"
"First Name","Förnamn"
"General Information","Allmän information"
"Grid","Rutnät"
"ID","Id"
"Info","Info"
"Last Name","Efternamn"
"List","Lista"
"Manage Tags","Hantera etiketter"
"My Recent Tags","Mina senaste etiketter"
"My Tags","Mina etiketter"
"Name","Namn"
"New Tag","Ny etikett"
"No matches found.","Inga träffar."
"Other people marked this product with these tags:","Andra har satt följande etiketter på denna produkt:"
"Pending","Väntar på granskning"
"Pending Tags","Etiketter att granska"
"Popular","Populära"
"Popular Tags","Populära etiketter"
"Price","Pris"
"Product Name","Produktnamn"
"Product SKU","Produktens artikelnummer"
"Product Tag API","Produktetikett API"
"Product Tags","Produktetiketter"
"Products","Produkter"
"Products Tagged by Administrators","Produkter som admin har satt etikett på"
"Products Tagged by Customers","Produkter som kunder satt etikett på"
"Products Tagged with '%s'","Produkter med etiketten '%s'"
"Products tagged with '%s'","Produkter med etiketten '%s'"
"Rebuild Tag aggregation data","Omindexera etikett data"
"Remove","Ta bort"
"Remove product tag","Ta bort produktetikett"
"Retrieve list of tags by product","Hämta lista på etiketter efter produkt"
"Retrieve product tag info","Hämta info för produktetikett"
"SKU","Artikelnummer"
"Save Tag","Spara etiketten"
"Save and Continue Edit","Spara och fortsätt ändra"
"Status","Status"
"Store View","Butiksvy"
"Tag","Etikett"
"Tag ""%s"" has already been added to the product.","Etikett ""%s"" har redan satts på produkten."
"Tag ""%s"" has been added to the product.","Etikett ""%s"" har satts på produkten."
"Tag ""%s"" has been rejected by administrator.","Etiketten ""%s"" godkändes inte av admin."
"Tag Aggregation Data","Märk aggregationsdata"
"Tag Name","Etikettnamn"
"Tagged Products List","Lista på produkter med etiketter"
"Tags","Etiketter"
"Tags List (All Available)","Etikettlista (alla tillgängliga)"
"Tags List Before","Märker listor före"
"Tags:","Etiketter:"
"Telephone","Telefonnummer"
"The tag has been deleted.","Etiketten har tagits bort."
"There are no tags available.","Det finns inga tillgängliga etiketter."
"Unable to find any products tagged with '%s' in the current store","Det gick inte att hitta några produkter i butiken som har etiketten '%s'"
"Unable to remove tag. Please, try again later.","Det gick inte att ta bort etiketten. Vänligen försök igen senare."
"Unable to save tag(s).","Kunde inte spara etikett(er)."
"Update","Uppdatering"
"Update product tag","Uppdatera produktetikett"
"Use spaces to separate tags. Use single quotes (') for phrases.","Använd mellanslag för att åtskilja etiketter. Använd apostrof (') för fraser."
"View All Tags","Visa alla etiketter"
"View Customers","Visa kunder"
"View Products","Visa produkter"
"XML","XML"
"You have not tagged any products yet.","Du har ännu inte satt etiketter på några produkter."
"ZIP/Post Code","Postnummer"
"[STORE VIEW]","[BUTIKSVY]"
