"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matchar alla; 'xyz*' - matchar alla som börjar med 'xyz' och inte längre än %d."
"-- Please Select --","-- Vänligen välj --"
"Add New Class","Ny momsklass"
"Add New Tax Rate","Ny momssats"
"Add New Tax Rule","Ny momsregel"
"After Discount","Efter rabatt"
"An error occurred while deleting this rate.","Ett fel uppstod när satsen skulle tas bort."
"An error occurred while deleting this rate. Incorrect rate ID.","Ett fel uppstod när satsen skulle tas bort. Id för sats är inte korrekt."
"An error occurred while deleting this tax class.","Ett fel uppstod när momsklassen skulle tas bort."
"An error occurred while deleting this tax rule.","Ett fel uppstod när momsregeln skulle tas bort."
"An error occurred while saving this tax class.","Ett fel uppstod när momsklassen skulle sparas."
"An error occurred while saving this tax class. A class with the same name","Ett fel uppstod när momsklassen skulle sparas. En momsklass med samma namn"
"Apply Customer Tax","Tillämpa moms på kunder"
"Apply Discount On Prices","Tillämpa rabatt på priser"
"Apply Tax On","Tillämpa moms på"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Tillämpa rabatt på priser inkl. moms beräknas utifrån butikens moms, om ""Tillämpa moms efter rabatt"" är markerat."
"Are you sure you want to do this?","Är du säker på att du vill göra det?"
"Back","Tillbaka"
"Before Discount","Före rabatt"
"CSV","CSV"
"Calculate off subtotal only","Beräkna på deltotal endast"
"Calculation Settings","Beräkning inställningar"
"Catalog Prices","Katalogpriser"
"Class Name","Namn momsklass"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Gå till <a href=""%s"">Momskonfiguration</a> och ändra dina inställningar."
"Code","Kod"
"Country","Land"
"Custom price if available","Anpassat pris om tillgängligt"
"Customer Tax Class","Momsklass för kund"
"Customer Tax Class Information","Information momsklass för kunder"
"Customer Tax Classes","Momsklasser för kunder"
"Default Country","Förvalt land"
"Default Post Code","Förvalt postnummer"
"Default State","Förvald stat"
"Default Tax Destination Calculation","Förvald destination för momsberäkning"
"Delete Class","Ta bort momsklass"
"Delete Rate","Ta bort momssats"
"Delete Rule","Ta bort momsregel"
"Display Full Tax Summary","Visa sammanfattning för moms"
"Display Prices","Visa priser"
"Display Product Prices In Catalog","Visa produktpriser i katalog"
"Display Shipping Amount","Visa fraktkostnad"
"Display Shipping Prices","Visa fraktpriser"
"Display Subtotal","Visa deltotal"
"Display Zero Tax Subtotal","Visa deltotal utan moms"
"Edit Class","Ändra momsklass"
"Edit Class '%s'","Redigera momsklass '%s'"
"Edit Rule","Redigera momsregel"
"Edit Tax Rate","Redigera momssats"
"Excel XML","Excel XML"
"Excl. Tax","Exkl. moms"
"Excl. Tax:","Exkl. moms:"
"Excluding Tax","Exklusive moms"
"Export Tax Rates","Exportera momssatser"
"Grand Total (Excl. Tax)","Totalt (Exkl. moms)"
"Grand Total (Excl.Tax)","Totalt (Exkl. moms)"
"Grand Total (Incl. Tax)","Totalt (Inkl. moms)"
