"All Websites","Alla webbplatser"
"Apply Discounts To FPT","Tillämpa rabatter på Fixed Product Tax"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","Visa priser i e-post"
"Display Prices In Product Lists","Visa priser på kategorisidor"
"Display Prices In Sales Modules","Visa priser i försäljningsmoduler"
"Display Prices On Product View Page","Visa priser på produktsidor"
"Enable FPT","Aktivera Fixed Product Tax"
"Excluding FPT","Exklusive Fixed Product Tax"
"Excluding FPT, FPT description, final price","Excluding FPT, FPT description, final price"
"FPT Tax Configuration","Fixed Product Tax inställningar"
"Fixed Product Tax","Fixed Product Tax"
"Fixed Product Taxes","Fixed Product Taxes"
"Include FPT In Subtotal","Inkludera Fixed Product Tax i deltotal"
"Including FPT and FPT description","Inklusive Fixed Product Tax och beskrivning av Fixed Product Tax"
"Including FPT and FPT description [incl. FPT VAT]","Inklusive Fixed Product Tax och beskrivning av Fixed Product Tax"
"Including FPT only","Endast inklusive Fixed Product Tax"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Ej momsbelagt"
"Taxed","Momsbelagt"
"Total","Totalt"
"Total Incl. Tax","Totalt inkl. moms"
"Total excl. tax","Totalt exkl. moms"
"Total incl. tax","Totalt inkl. moms"
"Total:","Total:"
