" The customer does not exist in the system anymore.","வாடிக்கையாளர் இனி அமைப்பில் இல்லை."
" [deleted]","[நீக்கப்பட்டது]"
" and ","மற்றும்"
"%s (Default Template from Locale)","% s (மொழி இருந்து இயல்புநிலை டெம்ப்ளேட்)"
"%s cache type(s) disabled.","%s கள் தற்காலிக சேமிப்பு வகை (கள்) முடக்கப்பட்டுள்ளது."
"%s cache type(s) enabled.","%s கள் தற்காலிக சேமிப்பு வகை (கள்) செயல்படுத்தப்படும்."
"%s cache type(s) refreshed.","%s கள் தற்காலிக சேமிப்பு வகை (கள்) புதுப்பிக்கப்படும்."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(""லோக்கல் செர்வருக்கு"" மேஜென்டோ இன்ஸ்டால் செய்ய  ரீலேடிவ் பாத் பயன்படுத்த வேண்டும் var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(அமெரிக்க 2 எழுத்து மாநில பெயர்களுக்கு)"
"(If left empty will be auto-generated)","(காலியாக இருக்கும் என்றால் தானாக உருவாக்கப்படும் )"
"(Leave empty for first spreadsheet)","(முதல் விரிதாளை காலியாக விடு)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","('அங்காடி' நிரல் இறக்குமதி கோப்பில் 'கடை' வெற்று அல்லது விடுபட்ட இருந்தால் தயாரிப்புகள் சேர்க்க / இந்த கடையில் மேம்படுத்துகிறது.)"
"(Shift-)Click or drag to change value","(Shift-) கிளிக் அல்லது இழுத்து மதிப்பை மாற்றவும் "
"(Starting with)","(தொடங்கி)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(எப்போது 'இல்லை', மேப்பிங் செய்த பில்டுகள் மட்டுமே  இறக்குமதி செய்யப்படும், மேப்பிங் செய்யும் போது, 'COLUMN1', 'COLUMN2', முதலியனவற்றை  பயன்படுத்தவும்)"
"(You have to increase php memory_limit before changing this value)","(நீங்கள் இந்த மதிப்பை மாற்றும்  முன்பு  PHP memory_limit அதிகரிக்க வேண்டும்)"
"(\\t for tab)","(தாவல் க்கு \ \ t)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","*-சுட்டுவரிசையாக்கம் செயலில் இருப்பதனால், இது கொல்லப்பட்டு புதியதோர் செயல் தொடங்கப்படும் "
"* Required Fields","* கட்டாயம் தேவையான‌ களங்கள்"
"- Click on any of the time parts to increase it","அதிகரிக்க நேரத்தின் எந்த பகுதிகளில் வேண்டுமானாலும்  சொடுக்கவும்"
"- Hold mouse button on any of the above buttons for faster selection.","- வேகமாக தேர்வு செய்ய  சுட்டியின் எதாவது ஒரு பொத்தான்களை பிடி."
"- Use the %s buttons to select month","- மாதம் தேர்ந்தெடுக்க  %s கள் பொத்தான்களை பயன்படுத்தவும்"
"- Use the %s, %s buttons to select year","- ஆண்டு தேர்ந்தெடுக்க, %s %sகள் பொத்தான்கள்கள் பயன்படுத்தவும்"
"- or Shift-click to decrease it","- அல்லது அதை குறைக்க Shift-கிளிக் செய்யவும் "
"- or click and drag for faster selection.","-  வேகமாக தேர்வு செய்ய கிளிக் அல்லது  இழுக்கவும்."
"-- Not Selected --","- தேர்வாகவில்லை -"
"-- Please Select --","தேர்வு செய்யுங்கள்"
"-- Please Select Billing Agreement--","- பில்லிங் ஒப்பந்தம் தேர்ந்தெடுக்கவும் -"
"-- Please Select a Category --","- ஒரு வகையை தேர்ந்தெடுக்கவும் -"
"-- Please select --","--தேர்ந்தெடுக்க--"
"--Please Select--","--தேர்ந்தெடுக்க--"
"1 Hour","1 மணி நேரம்"
"12 Hours","12 மணி நேரம்"
"12h AM/PM","12h காலை / மாலை"
"2 Hours","2 மணி நேரம்"
"24 Hours","24 மணி நேரம்"
"24h","24 மணி நேரம்"
"2YTD","2YTD"
"6 Hours","6 மணி நேரம்"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404 பிழை </ H1> <p> பக்கம்  இல்லை. </ p>"
"<strong>%s</strong> requests access to your account","<strong>%s  கள் </ p> உங்கள் கணக்கில் கோரிக்கைகளை அணுக"
