"Access denied.","அணுகல் மறுக்கப்பட்டது."
"Can not find webservice adapter.","வலைசேவை அமைவை கண்டுபிடிக்க முடியாது."
"Client Session Timeout (sec.)","கிளையண்ட் அமர்வு முடிந்துவிட்டது(நொடி.)"
"Default Response Charset","பொதுவான பதில் எழுத்துக்கோவை."
"Email","மின்னஞ்சல்"
"Enable WSDL Cache","WSDL-லுக்கான இடைமாற்று நினைவகத்தை செயல்படுத்தவும்"
"General Settings","பொது அமைப்புகள்"
"Invalid webservice adapter specified.","தவறான வலைச் சேவை அடாப்டர்  குறிப்பிடப்பட்டுள்ளது "
"Invalid webservice handler specified.","தவறான வலைச் சேவை ஹன்ட்ளர் குறிப்பிடப்பட்டுள்ளது "
"Magento Core API","Magento முக்கிய API"
"Magento Core API Section","Magento முக்கிய API பிரிவு"
"SOAP/XML-RPC - Roles","SOAP / XML-RPC - பாத்திரங்கள்"
"SOAP/XML-RPC - Users","SOAP / XML-RPC - பயனர்கள்"
"Unable to login.","உள்நுழைய முடியவில்லை"
"User Name","பயனர் பெயர்"
"WS-I Compliance","WS-I உடன்பாடு"
"Web Services","இணைய சேவைகள்"
"Your account has been deactivated.","உங்கள் கணக்கு செயலிழக்கப்பட்டுவிட்டது"
