"%1$s incl tax.","%1$s incl tax."
"* Required Fields","* கட்டாயம் தேவையான‌ களங்கள்"
"-- Select --","-- தேர்ந்தெடு --"
"Add New Option","புதிய தெரிவை சேர்."
"Add Selection","தேர்ந்தெடுப்பை சேர்க்கவும்"
"As Low as","குறைந்தபட்சமாக"
"As low as","குறைந்தபட்சமாக"
"Bundle Items","பொருட்களை மூட்டையிலிடு "
"Bundle Product","பொருளை மூட்டையிலிடு"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","%2$s கள் தள்ளுபடி ஒவ்வொரு %1$s வாங்க"
"Catalog Product View (Bundle)","பட்டியல் பொருள் பார்வை (கொத்து)"
"Checkbox","தேர்வுப்பெட்டி"
"Choose a selection...","ஒரு தேர்வை தேர்வுசெய்க ..."
"Click for price","Click for price"
"Close","மூடவும்"
"Default","இயல்புநிலை"
"Default Qty","இயல்புநிலைஅளவு "
"Default Title","இயல்புநிலை தலைப்பு"
"Drop-down","கீழ்தோன்றுபவை"
"Dynamic","டைனமிக்"
"Excl. Tax","வரி நீங்கலாக"
"Excl. Tax:","Excl. Tax:"
"Fixed","நிலைத்த"
"From","இருந்து"
"From:","இருந்து:"
"Gift Message","பரிசு செய்தி"
"Incl. Tax","வரி உட்பட"
"Incl. Tax:","Incl. Tax:"
"Input Type","உள்ளீடு வகை"
"Is Required","அவசியம்"
"Message:","செய்தி:"
"Multiple Select","ஒன்றுக்கு மேற்பட்டவற்றை தேர்ந்தெடுக்கவும்"
"N/A","இங்கு பொருந்தாது"
"No options of this product are available.","இந்த தயாரிப்பு குறித்த விருப்ப தேர்வு இல்லாமல் உள்ளன."
"None","எதுவும் இல்லை"
"Percent","விழுக்காடு"
"Percent Discount","தள்ளுபடி விழுக்காடு"
"Please Select Products to Add","பொருட்கள் சேர்க்க தேர்ந்தெடுக்கவும்"
"Please enter a number greater 0 in this field.","Please enter a number greater 0 in this field."
"Please enter search conditions to view products.","பொருட்களை பார்வையிட தேடல் நிபந்தனைகளை உள்ளிடவும்."
"Please select options for product.","பொருளுக்கான விருப்பங்களை தேர்ந்தெடுக்கவும்."
"Please specify product option(s).","பொருள் தேர்வு (கள்) குறிப்பிடவும்."
"Position","நிலை"
"Price Range","விலை வரம்பு"
"Price Type","விலை வகை"
"Price as configured","உள்ளமைக்கப்பட்ட விலை"
"Qty:","எண்ணிக்கை"
"Radio Buttons","ரேடியோ பட்டன்கள்"
"Required options are not selected.","தேவையான விருப்பங்கள் தேர்வு செய்யப்படவில்லை ."
"Selected required options are not available.","தேர்ந்தெடுக்கப்பட்ட தேவையான விருப்பங்கள் கிடைக்கவில்லை."
"Separately","தனியாக"
"Ship Bundle Items","மூட்டையிலிட்ட பொருட்களை ஷிப் செய்யவும் "
"Shipment","சரக்கை கப்பலில் ஏற்றுதல்"
"Store View Title","கடை காட்சி தலைப்பு"
"There is no defined renderer for ""%s"" option type.","%s  வகைக்கு வரையறுக்கப்பட்ட ரெண்டேரர் இல்லை "
"This product is also part of bundle(s)","இந்த பொருள் கூட மூட்டையில் ஒரு பகுதியாக (கள்) உள்ளது"
"To","பெறுநர்"
"To:","பெறுநர்:"
"Together","சேர்ந்து"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","இயல்புநிலை மதிப்பை பயன்படுத்துக"
"User Defined Qty","பயனர் வரையறுக்கப்பட்ட அளவு "
"and","and"
"each","each"
"save","save"
