"* Required Fields","* கட்டாயம் தேவையான‌ களங்கள்"
"Comment","கருத்து"
"Contact Form","தொடர்பு படிவம்"
"Contact Information","தொடர்பிற்கு"
"Contact Us","தொடர்பிற்கு"
"Contact Us Form","தொடர்பு கொள்ள விண்ணப்பம்"
"Contacts","தொடர்புகள்"
"Contacts Section","தொடர்புகள் பகுதி"
"Email","மின்னஞ்சல்"
"Email Options","மின்னஞ்சல் விருப்பங்கள்"
"Email Sender","மின்னஞ்சல் அனுப்புநர்"
"Email Template","மின்னஞ்சல் டெம்ப்ளேட்"
"Enable Contact Us","தொடர்பு பக்கத்தை இயலுமைப்படுத்தவும் "
"Name","பெயர்"
"Send Emails To","மின்னஞ்சல்கள் அனுப்பபடவேண்டியவர்கள் "
"Submit","சமர்ப்பிக்கவும் "
"Telephone","தொலைபேசி "
"Unable to submit your request. Please, try again later","உங்கள் கோரிக்கையை சமர்ப்பிக்க முடியவில்லை. பின்னர் மீண்டும் முயற்சிக்கவும்"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","உங்கள் விசாரணை சமர்ப்பிக்கப்பட்டது  கூடிய விரைவில் உங்களுக்கு பதிலளிக்கபடும். எங்களை தொடர்பு கொண்டதற்கு மிக்க நன்றி."
