"An error occurred while clearing the external full page cache.","வெளிப்புற முழுமையான பக்கத்தை கேச் அழிக்கும்போது ஒரு பிழை ஏற்பட்டது."
"Cookie Lifetime (seconds)","குக்கீ வாழ்நாள் (வினாடிகள்)"
"Enable External Cache","வெளிப்புற தேக்ககத்தை  செயலாக்கு"
"External Cache Control","வெளிப்புற தற்காலிக சேமிப்பு கட்டுப்பாடு"
"External Full Page Cache Settings","வெளிப்புற முழுமையான பக்க தற்காலிக சேமிப்பு அமைவுகள்"
"External Page Cache","External Page Cache"
"External full page cache.","வெளிப்புற முழுமையான பக்க தற்காலிக சேமிப்பு."
"Failed to load external cache control","வெளிப்புற தற்காலிக சேமிப்பு கட்டுப்பாட்டை ஏற்ற தோல்வியடைந்தது"
"Flush External Page Cache","வெளிப்புற பக்க தற்காலிக சேமிப்பு பறிப்பு"
"If empty, default value will be used.","காலியாக இருந்தால், இயல்புநிலை மதிப்பு பயன்படுத்தப்படும்."
"The external full page cache has been cleaned.","வெளிப்புற முழுமையான பக்க தற்காலிக சேமிப்பு சுத்தமாகிவிட்டது."
"Zend Full Page Cache","Zend முழுமையான பக்க தற்காலிக சேமிப்பு"
