"%1$s has been updated in your wishlist.","உங்களது விருப்பப்பட்டியலில் %1s புதிபிக்கப்பட்டுள்ளது."
"%d product(s) have been added to shopping cart: %s.","%d பொருள் (கள்) வணிக வண்டி சேர்க்கப்பட்டுள்ளது:%s கள்."
"%s for ""%s"".","% s ""% s"" க்கு."
"%s has been moved to wishlist %s","%s ஆனது விருப்பப்ட்டியல்%sக்கு நகர்த்தப்பட்டது"
"%s's Wishlist","% s இன் விருப்பப்பட்டியல்"
"* Required Fields","* கோரப்பட்ட களங்கள்"
"Add All to Cart","வண்டிக்கு எல்லாம் சேர்க்க"
"Add to Cart","ஷாப்பிங் வண்டியில் சேர்க்கவும்"
"Add to Compare","ஒப்புநோக்க சேர்"
"Add to Wishlist","விருப்பப்பட்டியலில் சேர்க்கவும்"
"Added From","லிருந்து சேர்க்கப்பட்டது "
"An error occurred while adding item to wishlist.","பட்டியல் உருப்படியை சேர்ப்பதில் ஒரு பிழை ஏற்பட்டுள்ளது."
"An error occurred while adding item to wishlist: %s"," விருப்பப்பட்டியலில்  உருப்படியை சேர்ப்பதில் ஒரு பிழை ஏற்பட்டுள்ளது: %s "
"An error occurred while deleting the item from wishlist.","விருப்பப்பட்டியலில்  உருப்படியை நீக்கும் போது பிழை ஏற்பட்டுள்ளது."
"An error occurred while deleting the item from wishlist: %s","விருப்பப்பட்டியலில்  உருப்படியை நீக்கும் போது பிழை ஏற்பட்டுள்ளது:%s"
"An error occurred while updating wishlist.","விருப்பப்பட்டியலை புதுப்பிக்கும்போது பிழை ஏற்பட்டுள்ளது."
"Are you sure you want to remove this product from your wishlist?","நீங்கள் உங்கள் விருப்பப்பட்டியலிருந்து இந்த பொருள்  நீக்க வேண்டுமா?"
"Are you sure you would like to remove this item from the wishlist?","நீங்கள் விருப்பப்ட்டியலலிருந்து  இந்த உருப்படியை நீங்கள் உறுதியாக  நீக்க விரும்பிகீறிர்களா ?"
"Back","பின்செல்"
"Can\'t delete item from wishlist","இந்த உருப்படியை விருப்பப்ட்டியலிருந்து  இருந்து நீக்க முடியாது "
"Can\'t save description %s","%s விளக்கத்தை சேமிக்க முடியவில்லை "
"Can\'t update wishlist","விருப்பபட்டியலை மேம்படுத்த முடியவில்லை "
"Cannot add item to shopping cart","வணிகவண்டியில்  உருப்படியை சேர்க்க முடியாது"
"Cannot add the item to shopping cart.","வணிகவண்டியில்  உருப்படியை சேர்க்க முடியாது"
"Cannot configure product","பொருளிணை கட்டமைக்க முடியாது"
"Cannot load wishlist item","பட்டியல் உருப்படியை ஏற்ற முடியவில்லை"
"Cannot move item to wishlist","இந்த உருப்படியை விருப்பப்ட்டியலுக்கு நகர்த்த முடியாது"
"Cannot specify product.","பொருள் குறிப்பிட முடியாது."
"Cannot specify wishlist item.","பட்டியல் உருப்படியை குறிப்பிட முடியாது."
"Cannot specify wishlist.","விருப்பப்பட்டியலை குறிப்பிட முடியாது."
"Cannot update wishlist","விருப்பப்பட்டியலை புதுப்பிக்க முடியாது"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","உங்கள் விருப்பப்பட்டியலில் ஒரு நவ இணைப்பை சேர்க்க விரும்பினால் இந்த தேர்வுப்பெட்டி சரிபார்க்கவும்."
"Click for price","விலைக்கு கிளிக் செய்யவும்"
"Comment","கருத்து"
"Comment:","கருத்து:"
"Configure Wishlist Item","விருப்பப்பட்டியல் உருப்படி கட்டமைக்க"
"Configured Price:","கட்டமைக்கப்பட்ட விலை:"
"Could not find wishlist","விருப்பப்பட்டியலை கண்டுபிடிக்க முடியவில்லை"
"Customer My Account My Wishlist","வாடிக்கையாளர் எனது கணக்கு என் விருப்பப்பட்டியல்"
"Customer My Account Wishlist Sharing Form","வாடிக்கையாளர் எனது கணக்கு விருப்பப்பட்டியல் பகிர்தல் படிவம்"
"Customer Shared Wishlist View","வாடிக்கையாளர் பகிர்வு விருப்பப்பட்டியல் பார்வை"
"Date Added","சேர்க்கப்பட்ட தேதி"
"Days in Wishlist","விருப்பப்பட்டியலில் உள்ள நாட்கள்"
"Display Wishlist Summary","விருப்பப்பட்டியலை சுருக்கமாக காட்டவும் "
"Edit","திருத்த"
"Email Sender","மின்னஞ்சல் அனுப்புநர்"
"Email Template","மின்னஞ்சல் டெம்ப்ளேட்"
"Email address can\'t be empty.","மின்னஞ்சல் முகவரி  காலியாக இருக்க முடியாது."
"Email addresses, separated by commas","பிரிக்கப்பட்ட மின்னஞ்சல் முகவரிகள்"
"Enabled","இயலுமைப்படுத்து "
"General Options","பொது விருப்பங்கள்"
"Go to Wishlist","விருப்பப்பட்டியலுக்கு செல்க"
"Helper for wishlist options rendering doesn't implement required interface.","விருப்பப்பட்டியலில் விருப்பங்களை காண்பிக்க உதவியாளர் தேவையான இடைமுகம் அமுல்படுத்த முடியாது."
"In stock","கையிருப்பு"
"Last Added Items","கடைசியாக சேர்க்கப்பட்ட உருப்படிகள்"
"Message","செய்தி "
"My Wishlist","என் விருப்பப்பட்டியல்"
"My Wishlist (%d item)","என் விருப்பப்பட்டியல் (% d உருப்படி)"
"My Wishlist (%d items)","என் விருப்பப்பட்டியல் (% d உருப்படிகள்)"
"My Wishlist <small>(%d)</small>","என் விருப்பப்பட்டியல் <small> (% d) <small>"
"My Wishlist Link","என் விருப்பப்பட்டியல் இணைப்பு"
"Options Details","விருப்பங்கள் விவரம்"
"Out of stock","கையிருப்பு இல்லை "
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","பிரிக்கப்பட்ட ஒரு செல்லுபடியாகும் மின்னஞ்சல் முகவரிகளை உள்ளிடுக. உதாரணமாக johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","ஒரு சரியான மின்னஞ்சல் முகவரியை தயவு செய்து உள்ளீடு  செய்க."
"Please, enter your comments...","உங்கள் கருத்துரைகளை உள்ளிடவும் ..."
"Product","பொருள் "
"Product Details and Comment","பொருள் விவரங்கள் மற்றும் மறுமொழி"
"Product(s) %s have required options. Each of them can be added to cart separately only.","பொருள்கள்(%s) விருப்பங்கள் தேவைப்படுகிறது. ஒவ்வொன்றும் தனியாக வண்டியில் சேர்க்கப்படும்."
"RSS Feed","
ரியலி சிம்பிள் சிண்டிகேஷன் வலைதள பின்னுட்டம் "
"RSS link to %s's wishlist","%s இன் விருப்பப்பட்டியலில் RSS இணைப்பு"
"Remove Item","பொருள் நீக்க"
"Remove This Item","இப்பொருளை நீக்கவும்."
"Remove item","பொருள் நீக்க"
"Requested cart item doesn't exist","கோரப்பட்ட கார்ட் உருப்படி இல்லை"
"Requested wishlist doesn't exist","கோரப்பட்ட விருப்பப்ட்டியல் இல்லை"
"Share Options","தேர்வுகளை பகிர்."
"Share Wishlist","விருப்பப்பட்டியலை பகிரவும் "
"Share Your Wishlist","உங்கள் விருப்பப்பட்டியலை பகிரவும் "
"Sharing Information","தகவல் பகிர்தல்"
"This Wishlist has no Items","இந்த விருப்பப்பட்டியலில் உருப்படிகள் எதுவும் இல்லை"
"This product(s) is currently out of stock","இந்த தயாரிப்பு (கள்) கையிருப்பு தற்போது இல்லை"
"Unable to add the following product(s) to shopping cart: %s.","%s வணிக வண்டி பின்வரும் பொருள் (கள்) சேர்க்க முடியவில்லை."
"Update Wishlist","விருப்பப்பட்டியலை புதுப்பிக்கவும்"
"User Description","User Description"
"View Details","விபரங்கள் பார்வையிட"
"View Product","பொருள் பார்வையிட"
"What's this?","இது என்ன?"
"Wishlist","விருப்பப்பட்டியல்"
"Wishlist Section","விருப்பப்பட்டியல் பகுதி"
"Wishlist Sharing","விருப்பப்பட்டியலை பகிர்தல்"
"Wishlist could not be created.","விருப்பப்பட்டியலை உருவாக்க முடியவில்லை"
"Wishlist is empty now.","விருப்பப்பட்டியல் இப்போது காலியாக உள்ளது."
"You have no items in your wishlist.","உங்கள் விருப்பப்பட்டியலில் எந்த உருப்படிகளும் இல்லை."
"Your Wishlist has been shared.","உங்கள் விருப்பப்பட்டியல் பகிரப்பட்டுள்ளது ."
