" The customer does not exist in the system anymore."," Müşteri artık sistemde değil."
" [deleted]"," [silindi]"
" and "," ve "
"%s (Default Template from Locale)","%s (Yerelleştirme klasöründeki Varsayılan Şablon)"
"%s cache type(s) disabled.","%s önbellek tip(ler)i iptal edildi."
"%s cache type(s) enabled.","%s önbellek tip(ler)i aktifleştirildi."
"%s cache type(s) refreshed.","%s önbellek tip(ler)i tazelendi."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(""Yerel Sunucu"" seçeneği için Magento kurulumunun içindeki var/export veya var/import şeklindeki bir klasörü veriniz. Örnek: var/export, var/import, var/export/ornek/klasor, var/import/ornek/klasor) gibi"
"(For US 2-letter state names)","(A.B.D. için 2 harfli eyalet kodları)"
"(If left empty will be auto-generated)","(Eğer boş kaldıysa otomatik olarak oluşturulacak)"
"(Leave empty for first spreadsheet)","(İlk sayfa için boş bırakınız)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Veri alınan dosyada 'store' (ürünün ait olduğu mağaza) veri alanı boş ise ürünler buraya eklensin.)"
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Tıklayarak veya sürükleyiniz"
"(Starting with)","(.. ile başlayan)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('Hayır' seçtiğinizde, sadece eşleştirilmiş alanların verisi alınacak. Eşleştirme yaparken, 'column1', 'column2', şeklinde alan (kolon) adları kullanın.)"
"(You have to increase php memory_limit before changing this value)","(Bu değeri değiştirmeden önce php memory_limit değerini artırınız)"
"(\\t for tab)","(Sekme için \\t kullanınız)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Eğer indeksleme çalışıyorsa durdurulacak ve yeniden başlatıldı."
"* Required Fields","* Zorunlu Alanlar"
"- Click on any of the time parts to increase it","- Artırmak için herhangi bir zaman dilimine tıklayınız"
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim yapmak için fare tuşunu basılı tutunuz."
"- Use the %s buttons to select month","- Ay seçmek için %s butonlarını kullanınız"
"- Use the %s, %s buttons to select year","- Yıl seçmek için %s butonlarını kullanınız"
"- or Shift-click to decrease it","Değeri azaltmak için - veya Shift-Tık kullanınız"
"- or click and drag for faster selection.","Hızlı seçim yapmak için - veya fare tuşuna tıklayıp sürükleyiniz."
"-- Not Selected --","-- Seçilmedi --"
"-- Please Select --","-- Lütfen Seçiniz --"
"-- Please Select Billing Agreement--","-- Lütfen Ödeme Anlaşmasını Seçiniz --"
"-- Please Select a Category --","-- Lütfen bir Kategori Seçiniz --"
"-- Please select --","-- Lütfen Seçiniz --"
"--Please Select--","-- Lütfen Seçiniz --"
"1 Hour","1 Saat"
"12 Hours","12 Saat"
"12h AM/PM","12saat ÖÖ/ÖS"
"2 Hours","2 Saat"
"24 Hours","24 Saat"
"24h","24saat"
"2YTD","Son 1 Yıl"
"6 Hours","6 Saat"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Hatası</h1><p>Sayfa Bulunamadı.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> hesabınıza erişmek istiyor"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Resim onayı büyük/küçük harfe duyarlıdır."
"A user with the same user name or email aleady exists.","Aynı e-mail adresiyle kaydolmuş bir müşteri zaten var."
"API Key","API Anahtarı"
"API Key Confirmation","API Anahtarı Onayı"
"ASCII","ASCII"
"Abandoned Carts","Terkedilen Sepetler"
"About the calendar","Takvim hakkında"
"Access Denied","Erişim engellendi"
"Access denied","Erişim engellendi"
"Access denied.","Erişim engellendi."
"Account Created in:","Hesap Oluşturulduğu Mağaza :"
"Account Created on (%s):","Hesap Oluşturulma Tarihi (%s):"
"Account Created on:","Hesap Oluşturulma Tarihi :"
"Account Information","Hesap Bilgisi"
"Account Status","Hesap Durumu"
"Account status","Hesap durumu"
"Action","İşlem"
"Actions","İşlemler"
"Actions XML","İşlem XML Dosyası"
"Active","Aktif"
"Add","Ekle"
"Add Exception","İstisna Ekle"
"Add Field Mapping","Alan Eşlemesi Ekle"
"Add Field with URL:","Adres ile bir Alan Ekle:"
"Add New","Yeni Ekle"
"Add New Image","Resim Ekle"
"Add New Profile","Profil Ekle"
"Add New Role","Yetki Sınıfı Ekle"
"Add New Template","Tema Ekle"
"Add New URL Rewrite","Adres Yeniden Yazımı Ekle"
"Add New User","Kullanıcı Ekle"
"Add New Variable","Değişken Ekle"
"Add Products","Ürün Ekle"
"Add URL Rewrite","Adres Yeniden Yazımı Ekle"
"Add URL Rewrite for a Category","Kategori için Adres Yeniden Yazımı Ekle"
"Add URL Rewrite for a Product","Ürün için Adres Yeniden Yazımı Ekle"
"Add after","Sonra Ekle"
"Additional Cache Management","Ek Önbellek Yönetimi"
"Address Type:","Adres Tipi:"
"Admin","Yönetici"
"Advanced Admin Section","Gelişmiş Yönetici Bölümü"
"Advanced Profiles","Gelişmiş Profiller"
"Advanced Section","Gelişmiş Bölüm"
"After authorization application will have access to you account.","Kimlik onayından sonra uygulama hesabınıza erişecek."
"All","Hepsi"
"All Allowed Countries","Bütün İzin Verilen Ülkeler"
"All Cache","Tüm Önbellek"
"All Files","Bütün Dosyalar"
"All Reviews","Tüm Yorumlar"
"All Store Views","Tüm Mağaza Görünümleri"
"All Tags","Tüm Etiketler"
"All Websites","Tüm Siteler"
"All countries","Tüm ülkeler"
"All fields","Tüm alanlar"
"All possible rates were fetched, please click on ""Save"" to apply","Kullanılabilir bütün oranlar alındı, ""Kaydet"" tuşuna basarak uygulayabilirsiniz"
"All rates were fetched, please click on ""Save"" to apply","Bütün oranlar alındı, ""Kaydet"" tuşuna basarak uygulayabilirsiniz"
"All valid rates have been saved.","Bütün geçerli oranlar kaydedildi."
"Always (during development)","Her zaman (geliştirme süresince)"
"Amounts","Toplam Tutarlar"
"An error has occured while syncronizing media storages.","Medya Depoları senkronize edilirken sorun oluştu."
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS önbelleği temizlenirken bir sorun oluştu."
"An error occurred while clearing the image cache.","Resim önbelleği temizlenirken bir sorun oluştu."
"An error occurred while deleting URL Rewrite.","Adres Yeniden Yazımı silinirken sorun oluştu."
"An error occurred while deleting email template data. Please review log and try again.","E-mail şablon verisi silinirken bir sorun oluştu. Lütfen gözden geçirip tekrar deneyiniz."
"An error occurred while deleting record(s).","Kayıt(lar) silinirken hata oluştu."
"An error occurred while deleting this role.","Bu rol silinirken bir sorun oluştu."
"An error occurred while deleting this set.","Bu set silinirken bir sorun oluştu."
"An error occurred while deleting this template.","Bu şablon silinirken bir sorun oluştu."
"An error occurred while finishing process. Please refresh the cache","İşlem sonlandırılırken bir sorun oluştu. Önbelleği yenileyiniz"
"An error occurred while rebuilding the CatalogInventory Stock Status.","KatalogEnvanteri Stok Durumu yeniden oluşturulurken bir sorun oluştu."
"An error occurred while rebuilding the catalog index.","Katalog indeksi yeniden oluşturulurken bir sorun oluştu."
