"Access denied.","Erişim engellendi."
"Can not find webservice adapter.","Web hizmeti dönüştürücüsü bulunamadı."
"Client Session Timeout (sec.)","İstemci Zamanaşımı (saniye)"
"Default Response Charset","Varsayılan Yanıt Karakter Seti"
"Email","E-posta"
"Enable WSDL Cache","WSDL Önbelleği Kullanılsın"
"General Settings","Genel Ayarlar"
"Invalid webservice adapter specified.","Belirtilen web hizmeti dönüştürücüsü geçersiz."
"Invalid webservice handler specified.","Belirtilen web hizmeti işleyicisi geçersiz."
"Magento Core API","Magento Çekirdek API"
"Magento Core API Section","Magento Çekirdek API Bölümü"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rolleri"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Kullanıcıları"
"Unable to login.","Oturum açılamadı."
"User Name","Kullanıcı Adı"
"WS-I Compliance","WS-I Uyumluluğu"
"Web Services","Web Hizmetleri"
"Your account has been deactivated.","Hesabınız devre dışı bırakıldı."
