"%s","%s"
"%s role is a special one and can\'t be changed.","%s rolü özel bir roldür ve değiştirilemez."
"%s role is a special one and can\'t be deleted.","%s rolü özel bir roldür ve silinemez."
"%s role is protected.","%s rolü korumalıdır."
"ACL Attribute Rules","ACL Özellik Kuralları"
"ACL Attributes Information","ACL Özellik Bilgisi"
"Add","Ekle"
"Add Admin Role","Yönetici Rolü Ekle"
"Add New Role","Rol Ekle"
"Address Type","Adres Tipi"
"Admin","Yönetici"
"Allow","İzin ver"
"An error occurred while deleting the role.","Rol silinirken bir sorun oluştu."
"An error occurred while saving attribute rules.","Özellik kuralları kaydedilirken bir sorun oluştu."
"An error occurred while saving role.","Rol kaydedilirken bir sorun oluştu."
"Api Rules Information","Api Kuralları Bilgisi"
"Assigned","Eşlendi"
"Associate to Website","Websitesine Bağla"
"Attribute Rules Information","Özellik Kuralları Bilgisi"
"Attribute Set","Özellik Seti"
"Attributes","Özellikler"
"Automatically Return Credit Memo Item to Stock","Alacak Kaydında yer alan ürünü otomatik olarak stoğa geri döndür"
"Back","Geri"
"Backorders","Önsiparişler"
"Base Currency","Ana Para Birimi"
"Base Customer Balance","Müşteri Taban Bakiyesi"
"Base Discount","Taban İndirim"
"Base Discount Amount","Taban İndirim Oranı"
"Base Item Subtotal","Taban Ürün Ara Toplamı"
"Base Item Subtotal Including Tax","Taban Ürün Ara Toplamı (Vergi Dahil)"
"Base Original Price","Taban Orijinal Fiyat"
"Base Price","Taban Fiyat"
"Base Price Including Tax","Taban Fiyat (Vergi Dahil)"
"Base Shipping","Taban Teslimat Ücreti"
"Base Shipping Discount","Taban Teslimat Ücreti İndirimi"
"Base Shipping Tax","Taban Teslimat Ücreti Vergisi"
"Base Subtotal","Taban Ara Toplam"
"Base Subtotal Including Tax","Taban Ara Toplam (Vergi Dahil)"
"Base Tax Amount","Taban Vergi Toplamı"
"Base Total Due","Taban Toplam Ödenecek"
"Base Total Paid","Taban Toplam Tahsil Edilen"
"Base Total Refunded","Taban Toplam İade Edilen"
"Buy Now URL","Satın Al Adresi"
"Can Be Divided into Multiple Boxes for Shipping","Teslimat için 1 den fazla kutuya bölünebilir"
"Canceled Qty","İptal Edilen Adet"
"Catalog","Katalog"
"Catalog Product","Katalog Ürünü"
"CatalogInventory","KatalogStoku"
"Category ID","Kategori No"
"City","İlçe"
"Company","Firma"
"Country","Ülke"
"Coupon Code","Kupon Kodu"
"Create","Oluştur"
"Create Permanent Redirect for old URL","Eski Adres İçin Kalıcı Yönlendirme Ekle"
"Created From","Oluşturulduğu Kaynak"
"Customer","Müşteri"
"Customer Address","Müşteri Adresi"
"Customer Address ID","Müşteri Adres No"
"Customer Balance","Müşteri Bakiyesi"
"Customer First Name","Müşteri Adı"
"Customer ID","Müşteri No"
"Customer Last Name","Müşteri Soyadı"
"Customer Middle Name","Müşteri Orta Adı"
"Customer Prefix","Müşteri Adı Öneki"
"Customer Suffix","Müşteri Adı Soneki"
"Default Image","Varsayılan Resim"
"Delete","Sil"
"Deny","Reddet"
"Disable automatic group change based on VAT ID","Vergi Numarasına göre otomatik grup değiştirmeyi iptal et"
"Discount","İndirim"
