"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Kayıt"
"%s and above","%s ve aşağısı"
"(%d)","(%d)"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"* Required Fields","* Doldurulması zorunlu alanlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Eğer boş bırakırsanız varsayılan değer 86400 olacaktır. Hemen tazelemek istiyorsanız Bloklar için Önbellek özelliğini iptal edebilirsiniz."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Dikkat!</strong> Varsayılan eşleşmeyi uygularsanız müşteri tarafındaki tüm fiyatlar görünmez hale gelecektir."
"A group with the same name already exists.","Aynı adda bir grup zaten var."
"A name is required","İsim girmeniz gerekiyor"
"A product type is not defined for the indexer.","İndeksçi için bir ürün tipi belirlenmedi."
"ALL GROUPS","Tüm GRUPLAR"
"AM","ÖÖ"
"Action","İşlem"
"Actual Price","Şimdiki Fiyat"
"Add","Ekle"
"Add Attribute","Özellik Ekle"
"Add Design Change","Tasarım Değişikliği Ekle"
"Add Group","Grup Ekle"
"Add Group Price","Grup Fiyatı Ekle"
"Add New","Ekle"
"Add New Attribute","Özellik Ekle"
"Add New Attribute Set","Yeni Özellik Seti Ekle"
"Add New Group","Grup Ekle"
"Add New Images","Resim Ekle"
"Add New Option","Seçenek Ekle"
"Add New Row","Satır Ekle"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"Add New Set","Set Ekle"
"Add Product","Ürün Ekle"
"Add Product To Websites","Web sitelerine ürün ekle"
"Add Root Category","Ana Kategori Ekle"
"Add Subcategory","Alt Kategori Ekle"
"Add Tax","Vergi Ekle"
"Add Tier","Kanal Ekle"
"Add attribute into attribute set","Özellik setine özellik ekle"
"Add group into attribute set","Özellik setine özellik grubu ekle"
