"%s and greater","%s veya daha büyük"
"<strong>%d item(s)</strong> were found using the following search criteria","Aradığınız kelime ile <strong>%d ürün</strong> bulundu"
"Advanced Search","Gelişmiş Arama"
"Advanced Search Form","Gelişmiş Arama Formu"
"Advanced Search Result","Gelişmiş Arama Sonucu"
"All","Hepsi"
"Applies for ""Like"" search type only.","Sadece ""Like"" arama tipine uygulanır."
"Apply Layered Navigation if Search Results are Less Than","Eğer arama sonuçları bu rakamdan azsa Katmanlı Gezinmeye Uygula"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Özellik ayar değişimi Arama İndeksi ile bağlantılıdır. Lütfen <a href=""%s"">Arama İndeksini Yenile</a> bağlantısına tıklayarak işlemi başlatınız."
"Autogenerated Site Map","Otomatik Oluşturulmuş Site Haritası"
"Catalog Advanced Search","Katalogda Gelişmiş Arama"
"Catalog Search","Katalog Araması"
"Catalog Search Index","Arama indeksi"
"Don't see what you're looking for?","Aradığınız şeyi bulamadınız mı ?"
"Enter ""0"" to enable layered navigation for any number of results.","Herhangi bir arama sonucu sayısında etkin hale getirmek için 0 (Sıfır) giriniz."
"Go","Git"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Izgara"
"Home","Ana Sayfa"
"List","Liste"
"Maximum Query Length","En fazla Arama Uzunluğu"
"Maximum Query Words Count","En fazla Arama Kelime Sayısı"
"Maximum Search query length is %s. Your query was cut.","En uzun arama kelimesi %s karakter olabilir. Arama kelimenizin fazla kısmı kesilecek."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","İzin verilen en fazla kelime adedi %1$s. Arama sorgunuzda çok fazla kelime olduğu için izin verilenden sonrası kesilecek : %2$s."
"Minimal Query Length","En az Arama Uzunluğu"
"Minimum Search query length is %s","En küçük arama kelimesi boyutu %s"
"Modify your search","Aramanızı düzenleyin"
"No","Hayır"
"No items were found using the following search criteria.","Arama kriterlerine uygun sonuç bulunamadı."
"Please specify at least one search term.","En az bir kelime giriniz."
"Popular Search Terms","En Çok Arananlar"
"Quick Search Form","Hızlı Arama Formu"
"Rebuild Catalog product fulltext search index","Katalog ürün arama indeksini yenile"
"Relevance","İlişki"
"Results","Sonuçlar"
"Search","Arama"
"Search Settings","Arama Ayarları"
"Search Terms","Arananlar"
"Search Type","Arama Tipi"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Search results for '%s'","'%s' için Arama Sonuçları"
"Search results for: '%s'","'%s' için Arama Sonuçları"
"Search:","Arama :"
"Specified date is invalid.","Belirtilen tarih hatalı."
"Subscribe to Feed","Veri Akışına Üye Ol"
"There are no search terms available.","Arama kelimesi bulunamadı."
"Yes","Evet"
"Your search returns no results.","Arama sonucunda sonuç yok."
"up to %s","%s'e kadar"
