"%s was added to your shopping cart.","%s sepetinize eklendi."
"%s was updated in your shopping cart.","Sepetinizdeki %s güncellendi."
"* Required Fields","* Doldurulması zorunlu alanlar"
"Add New Address","Adres Ekle"
"Add New Condition","Yeni Durum Ekle"
"Add coupon code for shopping cart","Sepet için kupon kodu ekle"
"Add gift messages to shopping cart","Sepete hediye mesajlarını ekle"
"Add product to shopping cart","Ürünü sepete ekle"
"Add product(s) to shopping cart","Ürün(leri) sepete ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Product Info","Ek Ürün Bilgisi"
"Address","Adres"
"Address %s of %s","Adres %s - %s"
"After Adding a Product Redirect to Shopping Cart","Ürün eklendikten sonra sepete yönlendir"
"Allow Guest Checkout","Kayıtlı olmayan kullanıcıların (Misafir) alışveriş yapmasına izin ver"
"Already registered?","Sitemize kayıtlı mısınız ?"
"An error occurred in the process of payment","Tahsilat işlemi esnasında hata oluştu"
"An error occurred while deleting this condition.","Bu durum silinirken bir hata oluştu."
"An error occurred while saving this condition.","Bu durum kaydedilirken bir hata oluştu."
"Apply Coupon","Kuponu Uygula"
"Are you sure you would like to remove this item from the shopping cart?","Bu ürünü sepetinizden silmek istediğinizden emin misiniz ?"
"Back","Geri"
"Back to Billing Information","Ödeme Bilgilerine Dön"
"Back to Select Addresses","Adres Seçimine Dön"
"Back to Shipping Information","Teslimat Bilgileri Bölümüne Dön"
"Back to Shopping Cart","Sepete Dön"
"Based on your selection, you may be interested in the following items:","Seçimlerinize bakarak aşağıdaki ürünlerin de ilginizi çekeceğini düşündük :"
"Billing Address","Fatura Adresi"
"Billing Information","Fatura Bilgisi"
"Billing Information - %s","Fatura Bilgisi - %s"
"Cancel Coupon","Kuponu İptal Et"
"Cannot add item to the shopping cart.","Ürün sepete eklenemedi."
"Cannot add the item to shopping cart","Ürün sepete eklenemedi"
"Cannot add the item to shopping cart.","Ürün sepete eklenemedi."
"Cannot apply the coupon code.","İndirim Kuponu kodu uygulanamadı."
"Cannot configure product.","Ürün ayarlanamıyor."
"Cannot open the overview page","Önizleme sayfası açılamadı"
"Cannot process the item.","Kayıt işlenemiyor."
"Cannot remove the item.","Ürün silinemedi."
"Cannot update shopping cart.","Sepet güncellenemedi."
"Cannot update the item.","Kayıt güncellenemiyor."
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Cart Product API","Sepet Ürün API si"
"Cart Subtotal:","Sipariş Ara Toplamı :"
"Change","Değiştir"
"Change Billing Address","Fatura Adresini Değiştir"
"Checkbox Text","Seçenek kutusu yazısı"
"Checkout","Alışverişi Bitir"
"Checkout Conditions","Alışveriş Tamamlama Durumları"
"Checkout Method","Alışveriş Bitirme Yöntemi"
"Checkout Options","Alışveriş Sonu Seçenekleri"
"Checkout Progress Wrapper","Alışverişi Bitirme İşlemi Çerçevesi"
"Checkout Section","Alışveriş Tamamlama Bölümü"
"Checkout Terms and Conditions","Alışveriş Tamamlama Koşulları"
"Checkout as Guest","Misafir Olarak Alışverişi Bitir"
"Checkout as a Guest or Register","Misafir Olarak Alışverişi Bitir veya Üye Kaydı Yap"
"Checkout with Multiple Addresses","Birden Fazla Adresle Alışverişi Bitir"
"City","İlçe"
"Clear Shopping Cart","Sepeti Temizle"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Buraya tıklayarak</a> sipariş onayınızın bir kopyasını yazdırabilirsiniz."
"Click <a href=""%s"">here</a> to continue shopping.","Alışverişe devam etmek için <a href=""%s"">buraya tıklayınız</a>."
"Close","Kapat"
"Company","Firma"
"Condition Name","Durum Adı"
"Configurable Product Image","Ayarlanabilir Ürün Resmi"
"Configure Cart Item","Sepet Satırını Ayarla"
"Confirm Password","Şifre (Tekrar)"
"Content","İçerik"
"Content Height","İçerik Yüksekliği"
"Content Height (css)","İçerik Yüksekliği (css)"
"Continue","Devam"
"Continue Shopping","Alışverişe Devam"
"Continue to Billing Information","Ödeme ve Fatura Bilgileri Sayfasına Devam Et"
"Continue to Review Your Order","Siparişini Kontrol Etmek için Devam Et"
"Continue to Shipping Information","Teslimat Bilgisi Sayfasına Devam Et"
"Country","Ülke"
"Coupon code ""%s"" is not valid."," ""%s"" numaralı kupon kodu hatalı."
"Coupon code ""%s"" was applied.","İndirim Kupon Kodu ""%s"" uygulandı."
"Coupon code was canceled.","İndirim Kupon Kodu iptal edildi."
"Create Billing Address","Fatura Adresi Ekle"
"Create Shipping Address","Teslimat Adresi Ekle"
"Create an order from shopping cart","Sepetten sipariş oluştur"
"Create shopping cart","Yeni sepet oluştur"
"Customer Address is not valid.","Müşteri adresi hatalı."
"Customer Information","Müşteri Bilgisi"
"Customer's information","Müşterinin Bilgileri"
"Data saving problem","Veri kaydedilirken hata oluştu"
"Default Billing","Varsayılan Fatura Adresiniz"
"Default Shipping","Varsayılan Teslimat Adresiniz"
"Delete Condition","Durumu Sil"
"Details","Detaylar"
"Disabled","Kapalı"
"Discount Codes","İndirim Kodları"
"Display Cart Summary","Sepet Özetini Göster"
"Display Shopping Cart Sidebar","Sağ/Sol Kolonda Alışveriş Sepeti Kutusunu Göster"
