"-- Please Select --","-- Lütfen Seçiniz --"
"Account Registration","Hesap Kaydı"
"All fields of script types have to be filled.","Betik tiplerinin tüm alanlarını doldurmalısınız."
"Attributes","Özellikler"
"Category View Optimization","Kategori Görünümü Optimizasyonu"
"Control Script","Kontrol Betiği"
"Conversion Page","Çevrim Sayfası"
"Conversion Page URL","Çevrim Sayfası Adresi"
"Conversion Script","Çevrim Betiği"
"Enable","Açık"
"Google Optimizer Scripts","Google Optimizer Betikleri"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Betikleri Kur"
"Multi Address Checkout","Çoklu Adresle Alışveriş Sonu"
"One Page Checkout","Tek Sayfa ile Alışveriş Sonu"
"Order Success (Multi Address Checkout)","Sipariş Başarılı (Çoklu Adresle Alışveriş Sonu)"
"Order Success (One Page Checkout)","Sipariş Başarılı (Tek Sayfa ile Alışveriş Sonu)"
"Original Page","Orjinal Sayfa"
"Other","Diğer"
"Page Type","Sayfa Tipi"
"Page View Optimization","Sayfa Görünümü Optimizasyonu"
"Please copy and paste this value to experiment edit form","Deneme formu düzenlemek için lütfen bu değeri kopyalayıp yapıştırınız."
"Please copy and paste this value to experiment edit form.","Lütfen bu veriyi kopyalayıp Deneme formunun gerekli yerine yapıştırınız."
"Please select store view to see the URL","Adresini görmek istediğiniz mağazayı seçiniz"
"Please select store view to see the URL.","Lütfen web adresini görmek istediğiniz mağaza görünümünü seçiniz."
"Product View Optimization","Ürün Görünümü Optimizasyonu"
"Scripts Install URL","Betik Kurulum Adresi"
"Shopping Cart","Alışveriş Sepeti"
"The limit is 8 attributes only.","Sadece 8 özelliğe izin verilmektedir."
"Tracking Script","İzleme Yazılımı"
"Use Default","Varsayılanı Kullan"
"Use Default Values","Varsayılan Değerleri Kullan"
"Variant Page","Değişken Sayfa"
