"%s %s cycle.","%s %s tekrar."
"--Please Select--","-- Lütfen Seçiniz --"
"3D Secure Card Validation","3D Secure Kart Doğrulaması"
"3D Secure Credit Card Validation","3D Secure Kredi Kartı Doğrulaması"
"<label>Make Check payable to:</label> %s","<label>Çeki şu isme yazınız :</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Gerçek ortam moduna geçmek için değer gerekiyor. CardinalCommerce sözleşmenize bakınız."
"Allow Initial Fee Failure","İlk Ücrete İzin Vermede Hata"
"An internal reference ID is required to save the payment profile.","Ödeme profili kaydetmek için dahili referans numarası gerekmektedir."
"Authorize action is not available.","Kimlik onayı işlemi kullanılabilir değil."
"Auto Bill on Next Cycle","Bir sonraki taksitte Otomatik Ödeme Al"
"Automatically Invoice All Items","Tüm Ödemeleri Otomatik Faturalandır"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Eğer bir önceki ödeme hata verdiyse, bir sonraki ödemede faturaya ekle."
"Bank Transfer Payment","Banka Havalesi ile Ödeme"
"Billing Agreement status is not set.","Ödeme Sözleşmesi durumu ayarlanmadı."
"Billing Amount","Fatura Toplamı"
"Billing Frequency","Faturalama Sıklığı"
"Billing Period","Faturalama Aralığı"
"Billing Period Unit","Faturalama Aralığı Birimi"
"Billing period unit is not defined or wrong.","Faturalama Aralığı Birimi ayarlanmadı veya hatalı."
"Cannot retrieve the payment info model object.","Ödeme bilgisi modeli nesnesi okunamadı."
"Cannot retrieve the payment information object instance.","Nesneden ödeme bilgisi çekilemedi."
"Cannot retrieve the payment method code.","Ödeme yöntemi kodu alınamadı."
"Cannot retrieve the payment method model object.","Ödeme yönyemi modeli nesnesi okunamadı."
"Capture action is not available.","Ödeme alma işlemi kullanılabilir değil."
"Card Verification Number","Kart Güvenlik Numarası"
"Cash On Delivery Payment","Kapıda Ödeme"
"Centinel API URL","Centinel API URLsi"
"Check / Money Order","Çek / Nakit Ödeme"
