"-OR-","-YA DA-"
"2-pixel perimeter around the header space.","Başlık alanının çevresinde 2 piksel boşluk bırakılır."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Kart Doğrulaması"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro kartları için 3D Secure doğrulaması, Amerikan Ekspres kartları için ise ek anlaşma yapılması gereklidir. Ayrıntılı bilgi için <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a> adresine bakın."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Paypal üzerinden ödeme almaya başlayın!</a>"
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Canlı kipe geçmek için bir değer gerekiyor. CardinalCommerce sözleşmenize bakın."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Depozitosu (Anlaşmazlık ya da yanlış ödeme araştırmaları için)"
"ACH Deposit (Reversal)","ACH Depozitosu (Ters)"
"ACH Funding for Funds Recovery from Account Balance","Hesaptan Garanti Fonuna aktarılmak üzere düşülecek ACH Fonu kesintisi"
"ACH Withdrawal","ACH Geri Ödemesi"
"API Authentication Methods","API Doğrulama Yöntemleri"
"API Certificate","API Sertifikası"
"API Password","API Parolası"
"API Signature","API İmzası"
"API Username","API Kullanıcı Adı"
"API Uses Proxy","API Vekil Sunucu Kullanıyor"
"Ability for buyer to purchase without PayPal account.","Paypal hesabı olmayan müşteriler de ödeme yapabilsin."
"Accept credit card and PayPal payments securely.","Kredi kartı ve PayPal ödemelerini güvenli olarak alın."
"Accept credit cards, debit cards and PayPal payments securely.","Kredi kartı, para kartı ve PayPal ödemelerini güvenli olarak alın."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Alışveriş sepetinizden ödeme alın. PayPal kart ödemelerinizi Payflow aracısı üzerinden işler."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Ödemeler PCI uyumlu satın alma işlemi ile alınarak müşterilerin sitenizin içinde kalması sağlanır."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Ödemeler PCI uyumlu satın alma işlemi ile alınarak müşterilerin sitenizin içinde kalması sağlanır."
"Accept payments with a completely customizable checkout page.","Ödemeleri tamamen özelleştirilebilen bir satın alma sayfası ile alın."
"Accept payments with a completely customizable checkout.","Ödemeleri tamamen özelleştirilebilen bir satın alma sayfası ile alın."
"Acceptance Mark","Doğrulama İşareti"
"Acceptance Mark Image","Doğrulama İşareti Görseli"
"Account-to-Account Payment, initiated by PayPal","Hesaptan hesaba ödeme Paypal tarafından başlatıldı"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Satışlarınızı arttırmak için ödeme sayfanıza ek olarak PayPal ödeme seçeneğini ekleyin."
"Add PayPal as an additional payment method to your checkout page.","Ödeme sayfanıza ek olarak PayPal ödeme seçeneğini ekleyin."
"Add another payment method to your existing solution or as a stand-alone option.","Varolan yöntemlerinize bir ek daha yapın ya da tek başına ödeme yöntemini seçin."
"Additional Options","Ek Ayarlar"
"Address","Adres"
"Address Verification System Response","Adres Doğrulama Sisteminin Yanıtı"
"Advanced Settings","Gelişmiş Ayarlar"
"All the address information matched","Bütün adres bilgileri eşleşiyor"
"Allow in Billing Agreement Wizard","Ödeme Anlaşması Yardımcısında yer alsın"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Kullanılabilecek değerler : ""paypal"", ""primary"" (varsayılan), sizin_belirlediginiz_deger (PayPal profilinizde belirlediğiniz özel sayfa stili)."
"Allowed Credit Card Types","Kullanılabilecek Kredi Kartı Tipleri"
"Also affects mini-shopping cart.","Mini sepeti de etkiler."
"Ask Customer","Müşteriye Sorulsun"
"Attempted Authentication, Bad Result","Doğrulama Denemesi, Sonuç Olumsuz"
"Attempted Authentication, Good Result","Doğrulama Denemesi, Sonuç Olumlu"
"Auction Payment other than through eBay","eBay dışında bir Açık Artırma Ödemesi"
"Authenticated, Bad Result","Doğrulandı, Sonuç Olumsuz"
"Authenticated, Good Result","Doğrulandı, Sonuç Olumlu"
"Authorization","Kimlik Onayı"
"Authorization Honor Period (days)","Doğrulama güven süresi (gün)"
"Authorization transaction is required to void.","İptal için kimlik doğrulaması işlemi gerekiyor."
"Authorized amount of %s.","Doğrulanan ödeme %s."
"Authorizing amount of %s is pending approval on gateway.","Doğrulanan ödeme %s ödeme sağlayıcısından onay bekliyor."
"Auto","Otomatik"
"AutoSweep","OtoTemizle"
"Available Balance","Kullanılabilir Bakiye"
"Balance Manager Account Bonus","Bakiye Yöneticisi Hesabı"
"Basic Settings - PayPal Express Checkout","Temel Ayarlar - PayPal Express Satın Alma"
"Basic Settings - PayPal Integral Evolution","Temel Ayarlar - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Temel Ayarlar - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Temel Ayarlar - PayPal Payflow Bağlantısı"
"Basic Settings - PayPal Payflow Pro","Temel Ayarlar - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Temel Ayarlar - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Temel Ayarlar - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Temel Ayarlar - PayPal Payments Pro Barındırılan Çözüm"
"Basic Settings - PayPal Payments Standard","Temel Ayarlar - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Temel Ayarlar - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Temel Ayarlar - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Temel Ayarlar - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Temel Ayarlar - PayPal Website Payments Pro Barındırılan Çözüm"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Temel Ayarlar - PayPal Website Payments Pro Payflow Sürümü"
"Basic Settings - PayPal Website Payments Standard","Temel Ayarlar - PayPal Website Payments Standard"
"Billing Address","Fatura Adresi"
"Billing Agreement Signup","Fatura Sözleşmesi İmzası"
"Bonus for first ACH Use","İlk ACH Kullanımı için Bonus"
"Both section above must be complete. ","Yukarıdaki iki bölüm de tamamlanmalıdır."
"Buyer Credit Payment","Müşteri Kredisinden Ödeme"
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Buyer\'s Tax ID","Alıcının Vergi Numarası"
"Buyer\'s Tax ID Type","Alıcının Vergi Numarası Tipi"
"By default it is ""reports.paypal.com"".","Varsayılan değer ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","CVV Kaydı Düzenlenebilir"
"CVV2 Check Result by PayPal","PayPal CVV2 Denetimi Sonucu"
"Can not send new order email.","Yeni sipariş e-maili gönderilemiyor."
"Cannot create target file for reading reports.","Raporları okumak için oluşturulması gereken dosya oluşturulamadı."
"Centinel API URL","Centinel API Adresi"
"Centinel Custom API URL","Centinel Özel API Adresi"
"Charge-off","Ödeme Kesintisi"
"Chargeback","Geri Ödeme"
"Checkout with PayPal","PayPal ile Öde"
"Choose a secure bundled payment solution for your business.","İşiniz için güvenli bir ödeme çözümü seçin."
"City","İlçe"
"Click here if you are not redirected within 10 seconds...","Eğer 10 saniye içinde yönlendirilmezseniz buraya tıklayınız..."
"Close","Kapatın"
"Company","Şirket"
"Complaint","Complaint"
"Completion Date","Tamamlanma Tarihi"
"Configure","Ayarlar"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Aracı hesabınızı PCI uyumlu bir geçitle bağlayın. Böylece müşterileriniz sitenizden ayrılmadan ödeme yapabilir."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Aracı hesabınızı tamamen özelleştirilebilen bir geçitle bağlayın. Böylece müşterileriniz sitenizden ayrılmadan ödeme yapabilir."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Yeni raporları almak için PayPal SFTP sunucusuna bağlanılacak. Emin misiniz ?"
"Continue","İlerleyin"
"Countries Payment Applicable From","Ödeme Kabul Edilen Ülkeler"
"Country","Ülke"
"Coupon Redemption","Kupon Beklemede"
"Credit","Kredi"
"Credit Card Settings","Kredi Kartı Ayarları"
"Currency Conversion required to cover negative balance","Negatif bakiyeyi kapatmak için Döviz Çevrimi gerekiyor"
"Custom","Özel"
"Custom Endpoint Hostname or IP-Address","Özel Sunucu Adresi veya IP Adresi"
"Custom Path","Özel Dosya Yolu"
"Customer Information","Müşteri Bilgisi"
"Customer did not include a confirmed address.","Müşteri doğrulanmış bir adres girmedi."
"Daily","Günlük"
"Debit","Debit Kartı"
"Debit Card Cash Back","Debit Kartı Geri Ödemesi"
"Debit Card Transaction","Debit Kart İşlemi"
"Debit or Credit","Debit veya Kredi Kartı"
