"Abandoned Carts","Terkedilmiş Sepetler"
"Abandoned carts","Terk edilen sepetler"
"Action","İşlem"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Any","Hiç"
"Applied Coupon","Kullanılan Kupon"
"Applies to Any of the Specified Order Statuses","Seçili Sipariş Durumlarından Birine Uygulanır"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","İstatistiğin tamamını güncellemek istediğinizden emin misiniz ? Bu işlem esnasında ciddi oranda işlemci kullanılır ve sitenizde yavaşlamalar olabilir."
"Are you sure?","Emin misiniz ?"
"Avg. Approved Rating","Kabul Edilen Yorum Ortalaması"
"Avg. Rating","Ortalama Yorum Puanı"
"Bestsellers","En Çok Satanlar"
"Bought from wishlists","Takip listesinden satın alınanlar"
"CSV","CSV"
"Carts","Sepetler"
"Catalog Category (Without Subcategories)","Kategori (Alt Kategorileri Hariç)"
"Compared Products Grid Template","Karşılaştırılmış Ürünler Izgara Şablonu"
"Compared Products List Template","Karşılaştırılmış Ürünler Liste Şablonu"
"Coupons","Kuponlar"
"Coupons Usage Report","Kupon Kullanım Raporu"
"Created At","Oluşturuldu"
"Current Month Starts","Ay Başlangıcı"
"Customer","Müşteri"
"Customer Name","Müşteri Adı"
"Customer Tags","Müşteri Etiketleri"
"Customers","Müşteriler"
"Customers Report","Müşteri Raporu"
"Customers Reviews","Müşteri Yorumları"
"Customers Tags","Müşteri Etiketleri"
"Customers by Number of Orders","Sipariş Sayısına Göre Müşteriler"
"Customers by Orders Total","Sipariş Toplamına Göre  Müşteriler"
"Customers by number of orders","Sipariş sayısına göre müşteriler"
"Customers by orders total","Sipariş ücret toplamına göre müşteriler"
"Customers that have wishlist: %s%","Takip listesi olan müşteriler : %s%"
"Dashboard","Genel Görünüm"
"Day","Gün"
"Default Recently Compared Products Count","Varsayılan 'En Son Karşılaştırdığınız Ürünler' Sayısı"
"Default Recently Viewed Products Count","Varsayılan 'En Son Gördüğünüz Ürünler' Sayısı"
"Description","Açıklama"
"Detail","Detay"
"Downloads","İndirmeler"
"Email","Email"
"Empty Rows","Boş Satırlar"
"Excel XML","Excel XML "
"Filter","Filtre"
"First Name","Adı"
"From","Başlangıç"
"Guest","Misafir"
"Hits","Görülme Sayısı"
"ID","No"
"IP Address","IP Adresi"
"Index model name must be defined","İndex model adı belirtilmeli"
"Invalid date specified.","Hatalı tarih bilgisi girdiniz."
"Invoiced","Faturalanmış"
"Items in Cart","Sepetteki Ürünler"
"Last Name","Soyadı"
"Last Review","Son Yorum"
"Link","Bağlantı"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Ziyaretçi tarafından Karşılaştırmaya Eklenen ve Silinen Ürünlerin Listesi"
"List of Products Recently Viewed by Visitor","Ziyaretçi tarafından Görülen Ürünler"
"Low Stock","Düşük Stok"
"Low stock","Düşük Stok"
"Match Period To","Aralığı Eşleştir"
"Month","Ay"
"Most Viewed","En Çok Görülen"
"Name","Adı"
"New Accounts","Yeni Hesaplar"
"No","Hayır"
"Number Added","Numara Eklendi"
"Number Fulfilled","Doldurulmuş Numara"
"Number Of Reviews","Yorum Sayısı"
"Number Purchased","Satın Alınan"
"Number Viewed","Görülme Sayısı"
"Number of Items","Ürün Sayısı"
"Number of New Accounts","Yeni Hesap Sayısı"
"Number of Products to display","Gösterilecek ürün sayısı"
"Number of Reviews","Yorum Sayısı"
"Number of Times Deleted","Silinme Sayısı"
"Number of Total Tags","Toplam Etiket Sayısı"
"Number of Unique Tags","Eşsiz Etiket Sayısı"
"Number of Views","Görülme Sayısı"
"Number of items bought from a wishlist: %s","Takip listesinden satın alınan ürün sayısı : %s"
"Number of times wishlists have been shared (emailed): %s","Takip listesinin (e-mail yoluyla) paylaşılma sayısı : %s"
"Number of wishlist conversions: %s","Takip listesinden çevrimlerin sayısı : %s"
"Number of wishlist referrals: %s","Takip listesinden ziyaretlerin sayısı : %s"
"Number of wishlists: %s","Takip listesi sayısı : %s"
"Order Status","Sipariş Durumu"
"Order Taxes Report Grouped by Tax Rate","Vergi Grubuna Göre Gruplanmış Sipariş Vergi Raporu"
"Orders","Siparişler"
"Out of stock","Stokta yok"
"Period","Aralık"
"Poducts Report","Ürün Raporu"
"Popular Tags","Popüler Etiketler"
"Popularity","Popülerite"
"Price","Fiyat"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product SKU","Ürün SKU"
"Product Tags","Ürün Etiketleri"
"Products","Ürünler"
"Products Ordered","Sipariş verilen ürünler"
"Products Report","Ürün Raporu"
"Products Reviews","Ürün Yorumları"
"Products Tags","Ürün Etiketleri"
"Products in carts","Sepetlerdeki ürünler"
"Purchases","Satın Almalar"
"Quantity Ordered","Sipariş Verilen Adet"
"Quantity of Items","Ürün Adetleri"
"Recently Compared","En Son karşılaştırılanlar"
"Recently Compared Products","En Son Karşılaştırılan Ürünler"
"Recently Viewed","En Son görülenler"
"Recently Viewed Products","En Son Görülen Ürünler"
"Recently Viewed/Compared Products","En Son Görülen/Karşılaştırılan Ürünler"
"Refresh Lifetime Statistics","Bütün İstatistiği Güncelle"
"Refresh Statistics","İstatistikleri Güncelle"
"Refresh Statistics for the Last Day","Son Gün İçin İstatistiği Güncelle"
"Refunds","İadeler"
"Report","Rapor"
"Reports","Raporlar"
"Results","Sonuçlar"
"Revenue","Kazanç"
"Review","Yorum"
"Reviews","Yorumlar"
"Reviews for %s","%s için Yorumlar"
"Sales","Satışlar"
"Sales Report","Satış Raporu"
"Search Query","Aranan Kelime"
"Search Terms","Arama Kelimeleri"
"Select day of the month.","Ayın gününü seçiniz."
"Shipping","Kargo"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"Show Actual Values","Canlı Verileri Göster"
"Show Report","Raporu Göster"
"Show for Current","Seçili olan için Göster"
"Specified","Detaylı"
"Statistics","İstatistikler"
"Stock Qty","Stoktaki Adet"
"Submitted In","Eklendiği Yer"
"Submitted On","Eklendiği Tarih"
"Subtotal","Ara Toplam"
"Tag","Etiket"
"Tag ""%s"" details","""%s"" etiket detayı"
"Tag Detail","Etiket Detayı"
"Tag Name","Etiket Adı"
"Tag Use","Etiket Kullanımı"
"Tags Submitted by %s","%s tarafından gönderilen etiketler"
"Tags submitted to %s","%s için eklenen etiketler"
"Tax","Vergi"
"Title","Başlık"
"To","Son"
"Total","Toplam"
"Total Invoiced vs. Paid Report","Toplam Fatura Edilenler ve Ödemesi Alınanlar Raporu"
"Total Ordered Report","Topla Sipariş Raporu"
"Total Refunded Report","Toplam İade Raporu"
"Total Shipped Report","Toplam Gönderilenler Raporu"
"Total Tags","Etiket Toplamı"
"Total invoiced","Toplam faturalanan"
"Total refunded","Toplam İade Edilen Ücret"
"Updated At","Son Güncelleme"
"Viewed Products Grid Template","Görülen Ürünler Izgara Şablonu"
"Viewed Products List Template","Görülen Ürünler Liste Şablonu"
"Visible In","Göründüğü Yer"
"Wishlist Report","Takip Listesi Raporu"
"Wishlist vs. Regular Order","Takip Listesi ve Normal Sipariş"
"Wishlists","Takip Listeleri"
"Year","Yıl"
"Year-To-Date Starts","Yıl Başlangıcı"
"Yes","Evet"
"Your Recently Compared","En son karşılaştırdıklarınız"
"Your Recently Viewed","En son gördükleriniz"
"undefined","ayarlanmadı"
