"ALL","HEPSİ"
"ANY","HERHANGİ BİRİ"
"Add","Ekle"
"Apply","Uygula"
"Conditions Combination","Durum Kombinasyonu"
"Customer Groups must be specified.","Müşteri Grupları belirlenmeli."
"End Date must be greater than Start Date.","Bitiş Tarihi, Başlangıç Tarihinden sonra olmalıdır."
"FALSE","YANLIŞ"
"If %s of these conditions are %s:","Eğer bu durum kayıtlarından %s tanesi %s ise :"
"Invalid discount amount.","Hatalı indirim oranı."
"Open Chooser","Seçiciyi aç"
"Perform following actions","Aşağıdaki işlemleri yap"
"Please choose a condition to add...","Eklenecek durumu seçiniz..."
"Please choose an action to add...","Eklenecek işlemi seçiniz..."
"Remove","Sil"
"TRUE","DOĞRU"
"There is no information about associated entity type ""%s"".","İlişkili varlık türü ""%s"" hakkında bir bilgi bulunmuyor."
"Websites must be specified.","Web Sitelerini seçmelisiniz."
"by","tarafından"
"contains","içerir"
"does not contain","içermez"
"does not contains","içermez"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"for","için"
"for greater than","şundan büyükse"
"for or greater than","veya şundan büyükse"
"found","bulundu"
"from","şundan"
"greater than","büyük"
"is"," "
"is not"," (değildir) "
"is not one of","bunlardan biri değil"
"is one of","bunlardan biri"
"less than","küçük"
"not found","bulunmadı"
"not from","şundan değil"
"to"," -> "
"was","iseydi"
"was not","değildiyse"
