"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","""%s"" özelliği kullanılarak yapılan %d Kuponları iptal edildi."
"%s Coupon(s) have been generated","%s adet kupon üretildi"
"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Kural Ekle"
"Alphabetical","Alfabetik"
"Alphanumeric","Alfasayısal"
"An error occurred while generating coupons. Please review the log and try again.","Kupon oluşturma işleminde hata oluştu. Lütfen hata raporuna bakarak sorunu gideriniz."
"Apply","Uygula"
"Apply To","Uygula"
"Apply the rule only if the following conditions are met (leave blank for all products)","Eğer aşağıdaki durumlar oluştuysa kuralı çalıştır (her ürüne uygulamak için boş bırakınız)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Eğer alışveriş sepetinde aşağıdaki durumlar oluştuysa kuralı çalıştır  (her ürüne uygulamak için boş bırakınız)"
"Apply the rule to cart items matching the following conditions","Eğer alışveriş sepetindeki ürünlerde aşağıdaki durumlar oluştuysa o ürün için kuralı çalıştır"
"Apply to Shipping Amount","Teslimat Toplamına Uygula"
"Are you sure you want to delete the selected coupon(s)?","Seçili kuponları silmek istediğinizden emin misiniz?"
"Auto","Otomatik"
"Auto Generated Specific Coupon Codes","Otomatik Üretilmiş Özel Kupon Kodları"
"Buy X get Y free (discount amount is Y)","X i alırsan Y hediye (indirim miktarı Y'nin fiyatıdır)"
"By Fixed value","Sabit oran (%)"
"By Percentage","Yüzde"
"Can\'t acquire coupon.","Kupon alınamadı."
"Cart Attribute","Sepet Özelliği"
"Catalog","Katalog"
"Code Format","Kod Biçimi"
"Code Length","Kod Uzunluğu"
"Code Prefix","Kod Öneki"
"Code Suffix","Kod Soneki"
"Conditions","Durumlar"
"Conditions combination","Durum listesi"
"Coupon","Kupon"
"Coupon Code","Kupon Kodu"
"Coupon Qty","Kupon Adedi"
"Coupon with the same code","Aynı kodla kupon"
"Coupons Information","Kupon Bilgisi"
"Created On","Oluşturulma Tarihi"
"Customer Groups","Müşteri Grupları"
"Dash Every X Characters","Her X Karakterde bir virgül kullan"
"Date Expire","Bitiş Tarihi"
"Date Start","Başlama Tarihi"
"Default Label","Varsayılan Ad"
"Default Rule Label for All Store Views","Bütün mağaza görünümleri için varsayılan Kural Adı"
"Description","Açıklama"
"Discount Amount","İndirim Toplamı"
"Discount Qty Step (Buy X)","İndirim Adet Adımı (X'i Satın Al)"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Excluding prefix, suffix and separators.","Önek, sonek ve ayraçlar hariç."
"FOUND","BULUNDU"
"Fixed amount discount","Sabit miktarlı indirim"
"Fixed amount discount for whole cart","Siparişin tamamına sabit miktarlı indirim"
"For matching items only","Sadece eşleşen ürünlere"
"For shipment with matching items","Siparişte eşleşen ürünlere"
"Free Shipping","Ücretsiz Teslimat"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"Generate","Üret"
"ID","No"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Eğer %s %s %s sepetteki ürünlerin alt seçimi için %s şu durumlarla eşleşirse:"
"If an item is %s in the cart with %s of these conditions true:","Eğer bir ürün %s sepette %s ile birlikte ise ve şu durumlar oluştuysa:"
"If empty no separation.","Boş bırakırsanız ayraç kullanılmaz."
"If you select and save the rule you will be able to generate multiple coupon codes.","Kuralı kaydettikten sonra çoklu kupon üretimi yapabilirsiniz."
"Inactive","Pasif"
"Item totals are not set for rule.","Ürün toplamları kural için kullanılmadı."
"Labels","Adlar"
"Manage Coupon Codes","Kupon Kodlarını Yönet"
"Maximum Qty Discount is Applied To","En Fazla Adet indirimi Uygulandı "
"NOT FOUND","BULUNAMADI"
"NOT LOGGED IN","GİRİŞ YAPMAMIŞ"
"New Rule","Yeni Kural"
"No","Hayır"
"No Coupon","Kupon Yok"
"Not valid data provided","Geçerli bir veri sağlanmadı"
"Number of Uses","Kullanım Sayısı"
"Numeric","Sayısal"
"Payment Method","Ödeme Yöntemi"
"Percent of product price discount","Ürün fiyatından yüzde olarak indirim"
"Period","Periyod"
"Price in cart","Sepetteki Ücret"
"Priority","Önem"
"Product attribute combination","Ürün özellik kombinasyonu"
