" for more information or "," daha fazla bilgi için veya "
"# of Items (and above)","# Ürün Sayısı (ve aşağısı)"
"# of Items vs. Destination","# Ürün Sayısı ve Varış Yeri"
"Allow Shipping to Multiple Addresses","Birden Fazla Adrese Teslimata İzin ver"
"An error occurred while import table rates.","Fiyat tablosu alınırken hata oluştu."
"Calculate Handling Fee","Teslim Alma Ücretini Hesapla"
"Carrier:","Taşıyıcı:"
"City","İlçe"
"Close Window","Pencereyi Kapat"
"Condition","Durum"
"Country","Ülke"
"Custom Value","Özel Değer"
"Date","Tarih"
"Delivered on:","Ulaştırıldığı Tarih :"
"Delivered to:","Ulaştırıldığı Alıcı :"
"Description","Açıklama"
"Displayed Error Message","Gösterilen hata mesajı"
"Divide to equal weight (one request)","Eşit ağırlıklara böl (tek istek)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Çift kayıt #%s (Ülke ""%s"", Şehir/Bölge ""%s"", Posta Kodu ""%s"" ve Değer ""%s"")."
"Enabled","Aktif"
"Error:","Hata:"
"Export","Dışarı Ver"
"File has not been imported. See the following list of errors: %s","Dosya içeri alınamadı. Hata listesine göz atın : %s"
"Fixed","Sabit"
"Flat Rate","Düz Fiyat"
"Free Shipping","Ücretsiz Kargo"
"Google Sitemap Section","Google Sitemap Bölümü"
"Handling Fee","Teslim Alma Ücreti"
"Import","Veri Al"
"Include Virtual Products in Price Calculation","Fiyat Hesaplarken Hizmet Tipi Ürünleri de Ekle"
"Info:","Bilgi:"
"Invalid %s ""%s"" in the Row #%s.","Hatalı %s ""%s"", ( #%s numaralı satırda )."
"Invalid Country ""%s"" in the Row #%s.","Hatalı ülke ""%s"", ( #%s numaralı satırda )."
"Invalid Region/State ""%s"" in the Row #%s.","Hatalı Şehir/Bölge ""%s"" ( #%s numaralı satırda )."
"Invalid Shipping Price ""%s"" in the Row #%s.","Hatalı teslimat ücreti ""%s"" ( #%s numaralı satırda )."
"Invalid Table Rate code for type %s: %s","%s için hatalı tablo oran kodu: %s"
"Invalid Table Rate code type: %s","Hatalı tablo oran kodu: %s"
"Invalid Table Rates File Format","Hatalı tablo oran dosya biçimi"
"Invalid Table Rates format in the Row #%s","#%s numaralı satırda hatalı teslimat ücreti."
"Local Time","Yerel Saat"
"Location","Yer"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Birden Fazla Adrese Teslimat Yapmak İçin İzin Verilen En Yüksek Adet"
"Method Name","Yöntem Adı"
"Minimum Order Amount","En Az Sipariş Toplamı"
"N/A","Yok"
"None","Yok"
"Options","Seçenekler"
"Order Subtotal (and above)","Sipariş Ara Toplamı (veya aşağısı)"
"Origin","Çıkış Yeri"
"Per Order","Sipariş başına"
"Per Package","Paket başına"
"Percent","Yüzde"
"Price","Fiyat"
"Price vs. Destination","Fiyat veya Varış Yeri"
"Region/State","Bölge/Şehir"
"Service Type:","Hizme Tipi:"
"Ship to Applicable Countries","Mümkün olan Tüm Ülkelere Teslimat"
"Ship to Specific Countries","Sadece Belirlenen Ülkelere Teslimat"
"Shipment #","Kargo #"
"Shipment Tracking Popup","Teslimat Takip Penceresi"
"Shipped or billed on:","Kargolama veya Faturalama Yeri :"
"Shipping Methods","Teslimat Yöntemleri"
"Shipping Methods Section","Teslimat Yöntemleri Bölümü"
"Shipping Settings","Teslimat Ayarları"
"Shipping Settings Section","Teslimat Ayarları Bölümü"
"Show Method if Not Applicable","Uygun Olmadığında da Yöntemi Göster"
"Signed by:","İmzalayan :"
"Sort Order","Sıralama"
"Status:","Durum :"
"Store Pickup","Mağazadan Teslim Alma"
"Street Address","Adres"
"Street Address Line 2","Adres (Devam)"
"Table Rates","Fiyat Tablosu"
"The shipping module is not available for selected delivery country.","Seçtiğiniz ülke için bu teslimat yöntemi kullanılamaz."
"The shipping module is not available.","Teslimat modülü kullanımda değil."
"There is no tracking available for this shipment.","Bu kargo için izleme bilgisi kullanılamıyor."
"There is no tracking available.","İzleme yok."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Teslimat yöntemi kullanılamıyor. Bu yöntemi yine de kullanmak istiyorsanız bizimle bağlantı kurunuz."
"This shipping method is not available, please specify ZIP-code","Teslimat yöntemi kullanılamıyor, Lütfen Posta Kodu giriniz"
"Title","Başlık"
"Track:","İz :"
"Tracking Information","İzleme Bilgisi"
"Tracking Number:","İzleme Numarası :"
"Tracking information is currently not available. Please ","İzleme bilgisi kullanılamıyor. Lütfen "
"Tracking information is currently unavailable.","İzleme bilgisi kullanılamıyor."
"Type","Tip"
"Use origin weight (few requests)","Asıl ağırlığını kullan (birden fazla istek)"
"Weight (and above)","Ağırlık (ve aşağısı)"
"Weight vs. Destination","Ağırlık ve Varış Yeri"
"Weight:","Ağırlık:"
"ZIP/Postal Code","Zip/Posta Kodu"
"contact us","bizimle bağlantı kurun"
"email us at ","bize e-mail ile ulaşın "
