"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - herhangi biri; 'xyz*' - 'xyz' ile başlayan ve %d karakterden uzun olmayan kayıtları bulur."
"-- Please Select --","-- Lütfen Seçiniz --"
"Add New Class","Sınıf Ekle"
"Add New Tax Rate","Vergi Oranı Ekle"
"Add New Tax Rule","Vergi Kuralı Ekle"
"After Discount","İndirimden Sonra"
"An error occurred while deleting this rate.","Bu oran silinirken bir hata oluştu."
"An error occurred while deleting this rate. Incorrect rate ID.","Bu oran silinirken bir hata oluştu. Hatalı oran numarası."
"An error occurred while deleting this tax class.","Bu vergi sınıfı silinirken bir hata oluştu."
"An error occurred while deleting this tax rule.","Bu vergi kuralı silinirken bir hata oluştu."
"An error occurred while saving this tax class.","Bu vergi sınıfı kaydedilirken bir hata oluştu."
"An error occurred while saving this tax class. A class with the same name","Bu vergi sınıfı kaydedilirken sorun oluştu. Aynı adda bir vergi sınıfı zaten var"
"Apply Customer Tax","Müşteri Vergisini Uygula"
"Apply Discount On Prices","Fiyatlara İndirimi Uygula"
"Apply Tax On","Vergiyi Uygula"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Eğer ""Vergiyi İndirimden Sonra Uygula"" seçiliyse, indirimi -mağaza bazında vergi hesaplaması yapılarak- vergisi dahil olarak hesaplanan fiyata uygula."
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"Back","Geri"
"Before Discount","İndirimden Önce"
"CSV","CSV"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","Hesaplama Ayarları"
"Catalog Prices","Katalog Fiyatları"
"Class Name","Sınıf Adı"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","Kod"
"Country","Ülke"
"Custom price if available","Eğer varsa özel fiyat kullan"
"Customer Tax Class","Müşteri Vergi Sınıfı"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Customer Tax Classes","Müşteri Vergi Sınıfları"
"Default Country","Varsayılan Ülke"
"Default Post Code","Varsayılan Posta Kodu"
"Default State","Varsayılan Şehir"
