" was not delivered nor scanned"," iletilemedi ve taranamadı"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Sipariş Başına"", tüm sipariş için tek ücret almanızı sağlar. ""Paket Başına"" her paketleme için ayrı ücret almanızı sağlar."
"1 Day Freight","1 Gün Kargo"
"2 Day","2 gün"
"2 Day AM","2 Gün Öğleden Önce"
"2 Day Freight","2 Gün Kargo"
"2Day","2Day"
"2nd Day Air","2. Gün Hava Kargo"
"2nd Day Air AM","2. Gün Hava Kargo Öğleden Önce"
"2nd Day Air AM Letter","2. Gün Hava Kargo Öğleden Önce / Belge"
"2nd Day Air Letter","2. Gün Hava Kargo / Belge"
"3 Day Freight","3 Gün Kargo"
"3 Day Select","3 Gün Seçimli"
"Access ID","Erişim No"
"Access License Number","Erişim Lisans Numarası"
"Account ID","Hesap No"
"Account Number","Hesap Numarası"
"Additional Protection Configuration Value","Ek Koruma Ayar Değeri"
"Additional Protection Enabled","Ek Koruma Etkin"
"Additional Protection Min Subtotal","Ek Koruma En Az Toplam"
"Additional Protection Value","Ek Koruma Değeri"
"Additional Protection Value Rounding Method","Ek Koruma Değer Yuvarlama Yöntemi"
"Adult","Yetişkin"
"Adult Signature Required","Yetişkin İmzası Gereklidir"
"Allowed Methods","İzin Verilen Yöntemler"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","%s %s üzerindeki siparişler için teslimat ücretlerini doğru hesaplayabilmek için paketi küçük parçalara ayırabilmeyi sağlar."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","70 kg üzerindeki siparişler için teslimat ücretlerini doğru hesaplayabilmek için paketi küçük parçalara ayırabilmeyi sağlar."
"Bound Printed Matter","Gitmeye Hazır Ürünler"
"Break bulk economy","Bulk Economy paketini böl"
"Break bulk express","Bulk express paketini böl"
"Business Service Center","Hizmet Merkezi"
"Calculate Handling Fee","Teslim alma ücretini hesapla"
"Canada Standard","Kanada Standart"
"Cannot identify measure unit for %s","%s için ölçü birimi tespit edilemiyor"
"Cannot identify weight unit for %s","%s için ağırlık birimi tespit edilemiyor"
"Cannot retrieve shipping rates","Teslimat ücreti bilgileri çekilemedi"
"Centimeters","Santimetre"
"Commercial","Ticari"
"Configuration","Ayarlar"
"Container","Kap/Kutu"
"Content Type","İçerik Tipi"
"Customer Packaging","Müşteri Paketlemesi"
