"All Websites","Bütün Web Siteleri"
"Apply Discounts To FPT","İndirimleri FPT\'ye uygula"
"Display Prices In Emails","E-maillerde Fiyat Göster"
"Display Prices In Product Lists","Ürün Listelerinde Fiyat Göster"
"Display Prices In Sales Modules","Satış Modüllerinde Fiyat Göster"
"Display Prices On Product View Page","Ürün Gösterim Sayfasında Fiyat Göster"
"Enable FPT","FPT Açık"
"Excluding FPT","FPT Hariç Tutuluyor"
"Excluding FPT, FPT description, final price","FPT Hariç Tutuluyor, FPT açıklaması, son fiyat"
"FPT Tax Configuration","FPT Tax Configuration"
"Fixed Product Tax","Sabit Ürün Vergisi"
"Fixed Product Taxes","Sabit Ürün Vergileri"
"Include FPT In Subtotal","FPT Ara Toplama Eklensin"
"Including FPT and FPT description","FPT ve FPT açıklaması dahil"
"Including FPT and FPT description [incl. FPT VAT]","FPT ve FPT açıklaması dahil [FPT Vergisi dahil]"
"Including FPT only","Sadece FPT ekle"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
"Taxed","Taxed"
"Total","Toplam"
"Total Incl. Tax","Toplam (Vergi Dahil)"
"Total excl. tax","Total excl. tax"
"Total incl. tax","Toplam ( Vergi Dahil )"
