" But cart has some errors."," Sepette bazı hatalar var."
"""Description"" is more than %d characters long","""Açıklama"" %d karakterden fazla"
"""Title"" is more than %d characters long","""Başlık"" %d karakterden fazla veri içeriyor"
"""id"" attribute is required for a ""%s"" field.","""%s"" alanı için ""id"" özelliği  gereklidir."
"""line_count"" attribute is required for ""multiline"" element.","""multiline"" elementi için ""line_count"" özelliği gereklidir."
"""message"" attribute is required for ""%s"" validator rule."," ""%s"" onaylayıcı kural için ""message"" özelliği gereklidir."
"%1$s has been added to your wishlist.","%1$s takip listenize eklendi."
"%1$s incl tax.","%1$s vergi dahil."
"%s API Key required.","%s API anahtarı gerekiyor."
"%s Application ID required.","%s Uygulama No gerekiyor."
"%s Secret Key required.","%s Gizli Anahtar gerekiyor."
"%s attribute is required.","%s özelliği gereklidir."
"%s has been added to your cart.","%s sepetinize eklendi."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Aşağıda listelenenden daha fazla ülke içerir. Uygulamanın sahibi olarak, uygulamanızın satıldığı ülkelerdeki yasal mevzuata uyması konusunda sorumlusunuz, buna kendi ülkeniz de dahildir.)"
"*Subject to change","*Değiştirilecek konu"
"10:40 AM","10:40 ÖÖ"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","Urabn Airship için <a href=""%s"" target=""_blank"">Giriş</a>."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Sadece katalog içeren uygulama sepete eklemeyi, takip listesine ekle, veya üye girişi bulunmaz."
"A new password has been sent.","Yeni şifre kaydedildi."
"Account","Hesap"
"Account confirmation is required. Please check your email for the confirmation link.","Hesap doğrulaması yapılması gerekiyor. Doğrulama bağlantısını içeren maili açıp bağlantıya tıklamak için e-mail kutunuzu kontrol ediniz."
"Account information has been saved.","Hesap bilgileri kaydedildi."
"Action","İşlem"
"Activate","Etkinleştir"
"Activate PayPal Checkout","Paypal ile Alışveriş Tamamlamayı Etkinleştir"
"Activate PayPal MECL","PayPal MECL Etkinleştir"
"Activation Key","Etkinleştirme Anahtarı"
"Add App","Uygulama Ekle"
"Add New Template","Şablon Ekle"
"Add Page","Sayfa Ekle"
"Add to Cart","Sepete Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Address","Ek Adres"
"Address","Adres"
"Address 2","Adres 2"
"Address data not specified.","Adres verisi girilmedi."
"Address does not belong to this customer.","Adres bu müşteriye ait değil."
"Address has been deleted.","Adres silindi."
"Address has been saved.","Adres kaydedildi."
"Administrative contact for this app and for app submission issues.","Bu uygulamanın abonelik sorunları için iletişim bilgisi."
"Advanced Settings","Gelişmiş Ayarlar"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Magentoya uygulamayı gönderdikten sonra , lütfen <a href=""mailto:%1$s"">%1$s</a> ile bağlantı kurup Uygulama Anahtarını, Uygulama Şifresini ve Uygulama Ana Kodunu alınız."
"AirMail Message Queue","AirMail Mesaj Kuyruğu"
"AirMail Messages Queue","AirMail Mesaj Kuyruğu"
"AirMail Template Preview","AirMail Şablon Önizleme"
"AirMail message","AirMail mesajı"
"AirMail templates","AirMail şablonları"
"All Allowed Countries","Bütün İzin Verilen Ülkeler"
"All locations","Tüm yerler"
"An account with this email address already exists.","Bu e-mail adresiyle zaten kayıtlı bir müşteri var."
"An error occurred while adding item to wishlist.","Ürün takip listesine eklenirken sorun oluştu."
"An error occurred while deleting the address.","Adres silindi sorun oluştu."
"An error occurred while loading categories.","Kategoriler yüklenirken bir sorun oluştu."
"An error occurred while loading category filters.","Kategori filtreleri yüklenirken sorun oluştu."
"An error occurred while loading wishlist.","Takip listesi yüklenirken bir sorun oluştu."
"An error occurred while processing your order. Please contact us or try again later.","Siparişiniz işlenirken sorun oluştu. Lütfen tekrar deneyiniz, sorun çözülmezse site yönetimi ile bağlantı kurunuz."
"An error occurred while processing your request.","İsteğiniz işlenirken sorun oluştu."
"An error occurred while removing item from wishlist.","Ürün takip listesinden silinirken hata oluştu."
