" The customer does not exist in the system anymore.","系統中不存在該客戶。"
" [deleted]","[已刪除]"
" and ","並且"
"%s (Default Template from Locale)","%s （不同地區的預設範本）"
"%s cache type(s) disabled.","%s個緩存類型被禁用。"
"%s cache type(s) enabled.","%s個緩存類型被啟用。"
"%s cache type(s) refreshed.","%s個緩存類型被重新整理。"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","（對於類型 ""Local Server"" 需要使用到 Magento install var/export 或 var/import 的相對路徑，例如 var/export、var/import、var/export/some/dir、var/import/some/dir）"
"(For US 2-letter state names)","（用于美國兩個字母代表的州名稱）"
"(If left empty will be auto-generated)","（如果留空將自動生成）"
"(Leave empty for first spreadsheet)","（第一個表格可留空）"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","（如果""店舖""一欄為空或在滙入的文件中不存在，則產品會被添加/更新到該店舖中。）"
"(Shift-)Click or drag to change value","（Shift-）點擊或拖拽即可更改值"
"(Starting with)","（始於）"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","（如果為""否""，則只有對應的文件會被滙入。在對應時，請使用 'column1'、'column2'等。）"
"(You have to increase php memory_limit before changing this value)","（更改該值之前您需要增大php的memory_limit）"
"(\\t for tab)","（\\t 可打開選項卡）"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - 如果正在建立索引，則會被停止，並重新開始新的索引進程。"
"* Required Fields","*必填"
"- Click on any of the time parts to increase it","- 點擊時間的任何部分即可更改"
"- Hold mouse button on any of the above buttons for faster selection.","- 在任何按鈕上按下滑鼠按鍵即可選中。"
"- Use the %s buttons to select month","- 使用%s 按鈕選擇月份"
"- Use the %s, %s buttons to select year","- 使用%s，%s按鈕選擇年份"
"- or Shift-click to decrease it","- 或Shift-點擊以減小"
"- or click and drag for faster selection.","- 或點擊並拖拽以快速選中。"
"-- Not Selected --","-- 未選擇 --"
"-- Please Select --","-- 請選擇 --"
"-- Please Select Billing Agreement--","-- 請選擇記賬協議 --"
"-- Please Select a Category --","-- 請選擇一個分類 --"
"-- Please select --","--請選擇--"
"--Please Select--","-- 請選擇 --"
"1 Hour","1小時"
"12 Hours","12小時"
"12h AM/PM","12h AM/PM"
"2 Hours","2小時"
"24 Hours","24小時"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6小時"
