"%s","%s的"
"%s role is a special one and can\'t be changed.","%s role is a special one and can\'t be changed."
"%s role is a special one and can\'t be deleted.","%s role is a special one and can\'t be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL屬性規則"
"ACL Attributes Information","ACL屬性信息"
"Add","加"
"Add Admin Role","添加管理員角色"
"Add New Role","添加新角色"
"Address Type","地址類型"
"Admin","管理"
"Allow","允許"
"An error occurred while deleting the role.","錯誤發生，當刪除角色。"
"An error occurred while saving attribute rules.","發生錯誤，同時儲存了屬性規則。"
"An error occurred while saving role.","發生錯誤，同時儲存了角色。"
"Api Rules Information","API的規則信息"
"Assigned","分配"
"Associate to Website","聯想到網站"
"Attribute Rules Information","屬性規則的詳細信息"
"Attribute Set","屬性集"
"Attributes","屬性"
"Automatically Return Credit Memo Item to Stock","自動恢復股票信用備忘項目"
"Back","背面"
"Backorders","缺貨"
"Base Currency","基礎貨幣"
"Base Customer Balance","基本客戶餘額"
"Base Discount","基本折扣"
"Base Discount Amount","基本折扣金額"
"Base Item Subtotal","基地項目小計"
"Base Item Subtotal Including Tax","小計含稅基地項目"
"Base Original Price","基原價"
"Base Price","基價"
"Base Price Including Tax","基準價格含稅"
"Base Shipping","基地運送"
"Base Shipping Discount","相應的運費折扣"
"Base Shipping Tax","相應的運費稅"
"Base Subtotal","基地小計"
"Base Subtotal Including Tax","基地小計含稅"
"Base Tax Amount","基本稅額"
"Base Total Due","基地總由於"
"Base Total Paid","基地總支出"
"Base Total Refunded","基地總退款"
"Buy Now URL","商品來源英國現在的URL"
"Can Be Divided into Multiple Boxes for Shipping","可分為多箱航運"
"Canceled Qty","取消數量"
"Catalog","目錄"
"Catalog Product","目錄產品"
"CatalogInventory","CatalogInventory"
"Category ID","類別ID"
"City","城市"
"Company","公司"
"Country","國家"
"Coupon Code","優惠券代碼"
"Create","建立"
"Create Permanent Redirect for old URL","建立永久重定向舊的URL"
"Created From","建立從"
"Customer","顧客"
"Customer Address","客戶地址"
"Customer Address ID","客戶地址ID"
"Customer Balance","客戶餘額"
"Customer First Name","客戶名"
"Customer ID","客戶ID"
"Customer Last Name","客戶的姓氏"
"Customer Middle Name","客戶中間名"
"Customer Prefix","顧客前綴"
"Customer Suffix","顧客後綴"
"Default Image","預設圖像"
"Delete","刪除"
"Deny","否認"
"Disable automatic group change based on VAT ID","禁用自動組變化，根據增值稅ID"
"Discount","折扣"
"Discount Amount","折扣額"
"Discount Description","優惠說明"
"Edit","編輯"
"Edit %s ACL attribute rules","編輯%的ACL屬性規則"
"Edit Role","編輯角色"
"Edit attribute rules for %s Role","編輯%s角色的屬性規則"
"Email","電子郵件"
"Enable Qty Increments","啟用數量遞增"
"Exclude","排除"
"File Content","文件內容"
"File MIME Type","文件的MIME類型"
"File Name","文件名"
"Final Price With Tax","隨著稅收的最終價格"
"Final Price Without Tax","最終價格不含稅"
"First Name","名字"
"Gift Message","禮品訊息"
"Grand Total","累計"
"Grand Total to Be Charged","總計收取"
"Group","組"
"Guest","客人"
"Has Custom Options","具有自定選項"
"ID","編號"
"Inventory Data","庫存數據"
"Invoiced Qty","發票數量"
"Is Confirmed","確認"
"Is Default Billing Address","是預設的帳單地址"
"Is Default Shipping Address","預設送貨地址"
"Item ID","物品ID"
"Item Subtotal","項目小計"
"Item Subtotal Including Tax","項目小計含稅"
"Label","標籤"
"Last Logged In","最後登錄"
"Last Name","姓"
"Low Stock Date","低庫存日期"
"Manage Stock","管理庫存"
"Maximum Qty Allowed in Shopping Cart","允許的最大數量在購物車"
"Minimum Qty Allowed in Shopping Cart","允許在購物車的最低數量"
"New Role","新角色"
"Notify for Quantity Below","通知的數量低於"
"OAuth","OAuth的"
"Order","秩序"
"Order Addresses","訂購地址"
"Order Comments","為了評論"
"Order Currency","為了貨幣"
"Order Date","訂購日期"
"Order ID","訂單ID"
"Order ID (internal)","訂單ID（內部）"
"Order Item ID","訂購物品ID"
"Order Items","訂單項目"
"Order Status","訂單狀態"
"Ordered Qty","訂購數量"
"Orders","訂單"
"Original Price","原價"
"Parent Order Item ID","家長訂購物品ID"
"Payment Method","付款方式"
"Phone Number","電話號碼"
"Placed from IP","擺放IP"
"Please enter a valid number in ""max_sale_qty"" field","在max_sale_qty""請輸入有效的數字""欄位"""
"Please enter a valid number in ""min_qty"" field","在min_qty""請輸入有效的數字""欄位"""
"Please enter a valid number in ""min_sale_qty"" field","在min_sale_qty""請輸入有效的數字""欄位"""
"Please enter a valid number in ""notify_stock_qty"" field","在notify_stock_qty""請輸入有效的數字""欄位"""
"Please use numbers only in ""category_id"" field.","請""category_id欄位中使用唯一的號碼。"""
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","請使用qty_increments""""欄位中的數字只。請避免空格或其他字符，如點或逗號。"""
"Position","位置"
"Price","價格"
"Price Including Tax","含稅價格"
"Product","產品"
"Product Category","產品類別"
"Product ID","產品編號"
"Product Image","產品圖片"
