"--Please Select--","-- 請選擇 --"
"API Login ID","API 登錄 ID"
"Accepted Currency","接受的匯率"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net 直接發表"
"Card Verification Number","卡片驗證號碼"
"Card Verification Number Visual Reference","信用卡驗證號碼 視覺參考"
"Close","關閉"
"Credit Card Information","信用卡資訊"
"Credit Card Number","信用卡號碼"
"Credit Card Type","信用卡類型"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡驗證"
"Debug","偵錯"
"Email Customer","發送電子郵件給客戶"
"Enabled","已啟用"
"Expiration Date","過期日期"
"Gateway URL","網關 URL"
"Maximum Order Total","最大訂單總數"
"Merchant MD5","商家 MD5"
"Merchant's Email","商家電子郵件"
"Minimum Order Total","最小訂單總數"
"New Order Status","新訂單狀態"
"Order saving error: %s","訂單保存錯誤：%s"
"Payment Action","支付操作"
"Payment authorization error.","支付授權錯誤。"
"Payment authorization error. Transacion id is empty.","支付授權出錯。交易編號為空。"
"Payment error. Order was not found.","支付出錯，訂單未找到。"
"Payment error. Paid amount doesn\'t match the order amount.","支付錯誤。付款金額與訂單金額不匹配。"
"Payment from Applicable Countries","從可接受的國家支付"
"Payment from Specific Countries","從指定的國家支付"
"Please, choose payment method","請選擇支付方式"
"Response hash validation failed. Transaction declined.","響應哈希驗證失敗。交易被拒絕。"
"Sort Order","排序順序"
"Test Mode","測試模式"
"The order has been created.","訂單已建立。"
"There was an error processing your order. Please contact us or try again later.","處理您的訂單時發生錯誤。請聯繫我們，或稍後再試。"
"Title","標題"
"Transaction Key","交易密鑰"
"What is this?","這是什麼？"
"You will be required to enter your payment details before you place an order.","您將需要輸入您的支付詳情，隨後才能下單。"
