"%1$s incl tax.","%1$s incl tax."
"* Required Fields","*必要欄位"
"-- Select --","-- 選擇 --"
"Add New Option","新增選項"
"Add Selection","新增選擇"
"As Low as","低至"
"As low as","低至"
"Bundle Items","捆綁項"
"Bundle Product","捆綁產品"
"Bundle Product View Summary","Bundle Product View Summary"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Buy %1$s with %2$s discount each","買 %1$個，每個折扣為 %2$s"
"Catalog Product View (Bundle)","分類產品視圖（捆綁）"
"Checkbox","核實方格"
"Choose a selection...","選擇一個選項..."
"Click for price","Click for price"
"Close","關閉"
"Default","預設"
"Default Qty","預設數量"
"Default Title","預設標題"
"Drop-down","下拉菜單"
"Dynamic","動態"
"Excl. Tax","不含稅"
"Excl. Tax:","Excl. Tax:"
"Fixed","固定"
"From","來自"
"From:","來自："
"Gift Message","禮品消息"
"Incl. Tax","含稅"
"Incl. Tax:","Incl. Tax:"
"Input Type","輸入類型"
"Is Required","為必須"
"Message:","資訊："
"Multiple Select","多選"
"N/A","N/A"
"No options of this product are available.","該產品沒有可用選項。"
"None","無"
"Percent","百分之"
"Percent Discount","折扣百分率"
"Please Select Products to Add","請選擇要新增的產品"
"Please enter a number greater 0 in this field.","Please enter a number greater 0 in this field."
"Please enter search conditions to view products.","請輸入搜索條件以查看產品。"
"Please select options for product.","請為該產品選擇選項。"
"Please specify product option(s).","請指定產品選項。"
"Position","位置"
"Price Range","價格範圍"
"Price Type","價格類型"
"Price as configured","預配置價格"
"Qty:","數量："
"Radio Buttons","單選按鈕"
"Required options are not selected.","必要的選項未選擇。"
"Selected required options are not available.","所選必要選項不可用。"
"Separately","分別"
"Ship Bundle Items","運送捆綁的項目"
"Shipment","發貨"
"Store View Title","店舖視圖標題"
"There is no defined renderer for ""%s"" option type.","針對 ""%s"" 選項類型沒有預定義的渲染器。"
"This product is also part of bundle(s)","該產品也屬於捆綁銷售的一部分"
"To","發送至"
"To:","至："
"Together","一起"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Use Default Value","使用預設值"
"User Defined Qty","用戶定義的數量"
"and","and"
"each","each"
"save","save"
