"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","基於""%s""屬性的 %d 目錄價格規則已被禁用。"
"Actions","操作"
"Active","活動"
"Add New Rule","新增規則"
"An error occurred while deleting the rule. Please review the log and try again.","當刪除規則時發生錯誤。請檢查日誌並重試。"
"An error occurred while saving the rule data. Please review the log and try again.","當保存規則數據時發生錯誤。請查看日誌並重試。"
"Apply","套用"
"Apply Rules","套用規則"
"Attribute Set","屬性集"
"By Fixed Amount","按固定金額"
"By Percentage of the Original Price","按原價的百分比"
"Catalog","分類"
"Catalog Price Rule","目錄價格規則"
"Catalog Price Rules","分類價格規則"
"Category","分類"
"Conditions","條件"
"Conditions (leave blank for all products)","條件（用于全部產品時留空）"
"Conditions Combination","條件組合"
"Customer Groups","客戶組"
"Date Expire","過期日"
"Date From","日期自"
"Date Start","開始日"
"Date To","日期至"
"Description","描述"
"Discount Amount","折扣額"
"Edit Rule","修改規則"
"Edit Rule '%s'","修改規則'%s'"
"Enable Discount to Subproducts","啟用折扣到子產品"
"Expiration Date","Expiration Date"
"From Date","來自日期"
"General Information","常規資訊"
"ID","ID"
"Inactive","未激活"
"New Rule","新規則"
"No","否"
"Options","選項"
"Priority","優先級"
"Product Attribute","產品屬性"
"Promotions","促銷"
"Rule Information","規則資訊"
"Rule Name","規則名稱"
"Save and Apply","保存並套用"
"Save and Continue Edit","保存並繼續編輯"
"Start Date","Start Date"
"Status","狀態"
"Stop Further Rules Processing","停止進一步的規則處理"
"The rule has been deleted.","規則已刪除。"
"The rule has been saved.","規則已保存。"
"The rules have been applied.","規則已應用。"
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","There are rules that have been changed but were not applied. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","存在已更改但未應用的規則。請單擊""應用規則""以立即查看目錄中套用的效果。"
"This rule no longer exists.","該規則已不存在。"
"To Date","截止日期"
"To Fixed Amount","到達指定金額"
"To Percentage of the Original Price","到達原價的百分比"
"Type","Type"
"Unable to apply rules.","無法套用規則。"
"Unable to find a rule to delete.","無法查找要刪除的規則。"
"Update Prices Using the Following Information","更新價錢使用以下資料"
"Update product's %s %s: %s","更新產品的 %s %s：%s"
"Website","網站"
"Websites","網站"
"Wrong rule specified.","所指定規則有誤。"
"Yes","是"
