"%s was added to your shopping cart.","%s 已新增到您的購物車。"
"%s was updated in your shopping cart.","您的購物車中的 %s 已更新。"
"* Required Fields","*必要欄位"
"Add New Address","新增地址"
"Add New Condition","新增條件"
"Add coupon code for shopping cart","為購物車新增優惠代碼"
"Add gift messages to shopping cart","新增禮品消息到購物車"
"Add product to shopping cart","新增產品到購物車"
"Add product(s) to shopping cart","新增產品到購物車"
"Add to Cart","新增到購物車"
"Add to Compare","新增並比較"
"Add to Wishlist","新增到收藏"
"Additional Product Info","額外產品資訊"
"Address","地址"
"Address %s of %s","地址 %s，共 %s 個地址"
"After Adding a Product Redirect to Shopping Cart","新增產品後重定向至購物車"
"Allow Guest Checkout","允許來賓結賬"
"Already registered?","已註冊？"
"An error occurred in the process of payment","支付流程發生錯誤"
"An error occurred while deleting this condition.","當刪除該條件時發生錯誤。"
"An error occurred while saving this condition.","當保存該條件時發生錯誤。"
"Apply Coupon","套用優惠券"
"Are you sure you would like to remove this item from the shopping cart?","您確認要從購物車中刪除該項目嗎？"
"Back","返回"
"Back to Billing Information","返回到賬單資訊"
"Back to Select Addresses","返回到選擇地址"
"Back to Shipping Information","返回到運送資訊"
"Back to Shopping Cart","返回到購物車"
"Based on your selection, you may be interested in the following items:","根據您的選擇，您可能對下列內容感興趣："
"Billing Address","賬單地址"
"Billing Information","賬單資訊"
"Billing Information - %s","賬單資訊 - %s"
"Cancel Coupon","取消優惠券"
"Cannot add item to the shopping cart.","無法新增項目到購物車。"
"Cannot add the item to shopping cart","無法新增該項目到購物車"
"Cannot add the item to shopping cart.","無法新增該項目到購物車。"
"Cannot apply the coupon code.","無法套用優惠代碼。"
"Cannot configure product.","無法配置產品。"
"Cannot open the overview page","無法打開概覽頁面"
"Cannot process the item.","無法處理該項目。"
"Cannot remove the item.","無法移除項目。"
"Cannot update shopping cart.","無法更新購物車。"
"Cannot update the item.","無法更新該項目。"
"Card Verification Number Visual Reference","信用卡驗證號碼 視覺參考"
"Cart Product API","購物車產品 API"
"Cart Subtotal:","購物車小計："
"Change","更改"
"Change Billing Address","更改賬單地址"
"Checkbox Text","覆選框文本"
"Checkout","結賬"
"Checkout Conditions","支付條件"
"Checkout Method","支付方法"
"Checkout Options","支付選項"
"Checkout Progress Wrapper","支付進度封裝器"
"Checkout Section","支付區域"
"Checkout Terms and Conditions","結賬條款和情況"
"Checkout as Guest","作為來賓結賬"
"Checkout as a Guest or Register","以來賓身份結賬或註冊"
"Checkout with Multiple Addresses","按多個地址支付"
"City","城市"
"Clear Shopping Cart","清除購物車"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","單擊<a href="" %s""="">這裡來列印</a>您訂單確認資訊的拷貝。"
"Click <a href=""%s"">here</a> to continue shopping.","單擊<a href="" %s""="">這裡</a>來繼續購物。"
"Close","關閉"
"Company","公司"
"Condition Name","條件名稱"
"Configurable Product Image","可配置產品圖片"
"Configure Cart Item","配置購物車項目"
"Confirm Password","確認密碼"
"Content","內容"
"Content Height","內容高度"
"Content Height (css)","內容高度 (css)"
"Continue","繼續"
"Continue Shopping","繼續購物"
"Continue to Billing Information","繼續以查看賬單資訊"
"Continue to Review Your Order","繼續以查看訂單"
"Continue to Shipping Information","繼續以查看運送資訊"
"Country","國家"
"Coupon code ""%s"" is not valid.","優惠券代碼""%s""無效。"
"Coupon code ""%s"" was applied.","優惠代碼""%s""已應用。"
"Coupon code was canceled.","優惠代碼已被取消。"
"Create Billing Address","建立賬單地址"
"Create Shipping Address","建立運送地址"
"Create an order from shopping cart","從購物車建立訂單"
"Create shopping cart","建立購物車"
"Customer Address is not valid.","客戶的地址是無效的。"
"Customer Information","客戶資訊"
"Customer's information","客戶資訊"
"Data saving problem","數據保存問題"
"Default Billing","預設賬單"
"Default Shipping","預設運送"
"Delete Condition","刪除條件"
"Details","詳情"
"Disabled","已禁用"
"Discount Codes","折扣代碼"
"Display Cart Summary","顯示購物車概要"
"Display Shopping Cart Sidebar","顯示購物車側邊欄"
"Display item quantities","顯示項目數量"
"Display number of items in cart","顯示購物車中項目的數量"
"Display number of items in wishlist","顯示願望列表中項目的數量"
"Easy access to your order history and status","輕鬆訪問您的訂單歷史記錄和狀態"
"Edit","編輯"
"Edit Address","編輯地址"
"Edit Billing Address","編輯賬單地址"
"Edit Condition","編輯狀態"
"Edit Items","編輯項目"
"Edit Shipping Address","編輯運送地址"
"Edit Terms and Conditions","編輯條款和條件"
"Edit Your Cart","編輯您的購物車"
"Edit item","編輯項目"
"Edit item parameters","編輯項目參數"
"Email Address","編輯電子郵件地址"
"Enable Onepage Checkout","啟用單頁面結賬"
"Enable Terms and Conditions","啟用條款和條件"
"Enabled","已啟用"
"Enter a New Address","輸入新地址"
"Enter your coupon code if you have one.","如果您有優惠代碼，請輸入。"
"Enter your destination to get a shipping estimate.","輸入您的目的地來獲得預計運送資訊。"
"Estimate Shipping and Tax","預計運費和稅費"
"Excl. Tax","不含稅"
"Fast and easy check out","方便快捷的結賬"
"Fax","傳真"
"Forgot an Item?","忘記某個項目？"
"Forgot your password?","忘記您的密碼？"
"Get a Quote","獲得報價"
"Get list of available payment methods","獲得可用支付方法的列表"
"Get list of available shipping methods","獲得可用運送方式的列表"
"Get list of products in shopping cart","獲得購物車中的產品列表"
"Get terms and conditions","獲取條款和條件"
"Get total prices for shopping cart","獲得購物車中總價格"
"Gift Message","禮品消息"
"Grand Total:","總計："
"Grouped Product Image","已分組的產品圖片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含稅"
"Invalid checkout type.","結帳類型無效。"
"Invalid data.","無效的數據。"
"Invalid email address ""%s""","無效的電子郵件地址，""%"""""""
"Invalid method: %s","無效的方法：%s"
"Invalid shipping method.","無效的運輸方式。"
"Item not found or already ordered","無法找到項目，或項目已被訂購"
"Items","項目"
"Items After","項目晚於"
"Items Before","之前的項目"
"Load customer quote error","載入客戶報價錯誤"
"Loading next step...","正在載入下一步..."
"Login","登錄"
"Login/Registration Before","登錄/註冊早於"
"Manage Terms and Conditions","管理條款和條件"
"Maximum Display Recently Added Item(s)","最大顯示近期新增的項目"
"Maximum qty allowed for Shipping to multiple addresses is %s","運送到多個地址所允許的最大數量為 %s"
"Minimum order amount is %s","最小訂單數量是%s"
"Move","移動"
"Move to Wishlist","移動到願望清單"
"Multishipping Checkout","多重運送結賬"
"Multishipping Checkout Address (Any) Form","多重運送地址（任何）表單"
"Multishipping Checkout Billing Address Creation","多重運送賬單地址建立"
"Multishipping Checkout Billing Address Edit Form","多重結賬賬單地址編輯表單"
"Multishipping Checkout Billing Address Selection","多重運送結賬賬單地址選擇"
"Multishipping Checkout Billing Information Step","多重運送賬單資訊步驟"
"Multishipping Checkout Customer Address Edit Form","多重運送結賬客戶地址編輯表單"
"Multishipping Checkout Overview","多重運送結賬概覽"
"Multishipping Checkout Shipping Address Creation","多重運送結賬運送地址建立"
"Multishipping Checkout Shipping Address Edit Form","多重運送結賬運送地址編輯表單"
"Multishipping Checkout Shipping Address Selection","多重運送結賬運送地址選擇"
"Multishipping Checkout Shipping Information Step","多重運送結賬運送資訊步驟"
"Multishipping Checkout Success","多重運送結賬成功"
"My Cart","我的購物車"
"My Cart (%s item)","我的購物車（%s 個項目）"
"My Cart (%s items)","我的購物車（%s 個項目）"
"My Cart Link","我的購物車鍊接"
"New Address","新地址"
"New Condition","新條件"
"New Terms and Conditions","新的條款及條件"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","在您提交訂單前，將顯示訂單總額。"
"One Page Checkout","單頁面結賬"
"One Page Checkout Failure","單頁面結賬失敗"
"One Page Checkout Overview","單頁面結賬概覽"
"One Page Checkout Success","單頁面結賬成功"
"One item of products do not have identifier or sku","產品中的一個項目不包含標識或 SKU"
"One item of products is not belong any of quote item","產品中的一個項目不屬於任何報價項目"
"Order #","訂單 #"
"Order Review","訂單總覽"
"Order Success","訂購成功"
"Order place error.","提交訂單錯誤。"
"Other Items in Your Order","您訂單中的其它項目"
"Overview Items After","項目概覽"
"Password","密碼"
"Payment Failed Email Reciever","支付失敗電子郵件接收者"
"Payment Failed Email Sender","支付失敗電子郵件發送者"
"Payment Failed Emails","支付失敗電子郵件"
"Payment Failed Template","支付失敗範本"
"Payment Information","支付資訊"
"Payment Method","支付方式"
"Payment Methods After Checkout Button","按下結賬按鈕後的支付方式"
"Payment Methods Before Checkout Button","按下結賬按鈕前的支付方式"
"Payment method information","支付方式資訊"
"Payment method is not defined","支付方式未定義"
"Payment methods in shopping cart","購物車中的支付方式"
"Payment profile # %s: ""%s"".","支付資料 # %s: ""%s""。"
"Place Order","下訂單"
"Please agree to all Terms and Conditions before placing the order.","請在下訂單前同意所有的條款和條件。"
"Please agree to all Terms and Conditions before placing the orders.","請在下訂單前同意所有的條款和條件。"
"Please agree to all the terms and conditions before placing the order.","請在下訂單前同意所有的條款和條件。"
"Please check billing address information.","請帳單地址信息。"
"Please check shipping address information.","請檢查送貨地址信息。"
"Please check shipping addresses information.","請檢查送貨地址信息。"
"Please choose to register or to checkout as a guest","請選擇註冊或結算作為嘉賓"
"Please log in below:","請在下面登錄："
"Please select region, state or province","請選擇地區、州，或省"
"Please select shipping address for applicable items","請為適用項目選擇運送地址"
"Please select shipping methods for all addresses","請為所有地址選擇運送方式"
"Please select valid payment method.","請選擇有效的付款方式。"
"Please specify payment method.","請註明付款方式。"
"Please specify shipping method.","請指定的運輸方式。"
"Please specify shipping methods for all addresses.","請指定所有地址的運輸方式。"
"Price","價格"
"Proceed to Checkout","進行結賬"
"Product","產品"
"Product Name","產品名"
"Products","產品"
"Qty","數量"
"Qty:","數量："
"Quantity was recalculated from %d to %d","數量已重新計算，從 %d 到 %d"
"Quote Lifetime (days)","報價生命期（天）"
"Quote item does not exist.","報價項目不存在。"
"Quote item is not found.","報價項目未找到。"
"Recently added item(s)","最近新增的項目"
"Register","註冊"
"Register and save time!","註冊並節約時間！"
"Register to Create an Account","註冊以建立帳戶"
"Register with us for future convenience:","在這裡註冊以後可以更方便："
"Remove Item","刪除項目"
"Remove This Item","刪除該內容"
"Remove coupon code from shopping cart","從購物車中刪除優惠代碼"
"Remove item","刪除項目"
"Remove product from shopping cart","從購物車中刪除產品"
"Remove product(s) from shopping cart","從購物車中刪除產品"
"Require Customer To Be Logged In To Checkout","要求客戶將被記錄在結帳"
"Retrieve information about shopping cart","獲取關於購物車的資訊"
"Review Order","查看訂單"
"Review Order - %s","查看訂單 - %s"
"Sales","銷售"
"Save Condition","保存條件"
"Save in address book","保存到地址簿"
"See price before order confirmation.","確認訂單前顯示價格。"
"Select Address","選擇地址"
"Select Addresses","選擇地址"
"Select Shipping Method","選擇運送方式"
"Select State/Province...","選擇州/省..."
"Select a billing address from your address book or enter a new address.","從您的地址簿選擇賬單地址，或輸入新地址。"
"Select a shipping address from your address book or enter a new address.","從您的地址簿選擇發貨地址，或輸入新地址。"
"Send Payment Failed Email Copy Method","發送支付失敗電子郵件複製方法"
"Send Payment Failed Email Copy To","發送支付失敗電子郵件拷貝至"
"Send To","發送至"
"Separate by "","".","Separate by "",""。"
"Set customer for shopping cart","設置客戶的購物車"
"Set customer's addresses in shopping cart","設置購物車中客戶的地址"
"Set payment method","設置支付方法"
"Set shipping method","設置運送方式"
"Ship to Multiple Addresses","運送到多個地址"
"Ship to different address","送貨到不同地址"
"Ship to this address","送貨到這個地址"
"Shipping Address","送貨地址"
"Shipping Information","運送資訊"
"Shipping Method","運送方式"
"Shipping Methods","運送方式"
"Shipping To","運送至"
"Shipping information","運送資訊"
"Shipping method has not been selected yet","運送方式尚未被選擇"
"Shipping methods in shopping cart","購物車中的運送方式"
"Shipping selection is not applicable.","運送選擇不適用。"
"Shopping Cart","購物車"
"Shopping Cart Form Before","購物車形成以前"
"Shopping Cart Sidebar","購物車側邊欄"
"Shopping Cart Sidebar Extra Actions","購物車側邊欄額外操作"
"Shopping Cart is Empty","購物車為空"
"Shopping cart ability to set coupon code","購物車設置優惠代碼"
"Show Content as","顯示內容為"
"Some of the requested products are not available in the desired quantity.","部分已請求的產品不符合需求的數量。"
"Some of the requested products are unavailable.","部分已請求的產品暫無供應。"
"Some products quantities were recalculated because of quantity increment mismatch","由於數量遞增不匹配，部分產品數量已被重新計算"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","很抱歉，旅客結賬未啟用。請重試或聯繫店老闆。"
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","很抱歉，旅客結賬未啟用。請再試一次或與店主聯繫。"
"Sorry, no quotes are available for this order at this time.","抱歉，當前該訂單中沒有報價可用。"
"State/Province","州/省"
"Status","狀態"
"Store View","店舖視圖"
"Street Address","街道地址"
"Street Address %s","街道地址 %s"
"Submitting order information...","正在提交訂單資訊..."
"Subtotal","小計"
"Subtotal must exceed minimum order amount","小計必須超過最小訂購量"
"Telephone","電話"
"Terms and Conditions","條款和條件"
"Terms and Conditions Information","條款和條件資訊"
"Terms and conditions","條款和條件"
"Text","文字"
"Thank you for your purchase!","感謝您的購買！"
"The condition has been deleted","條件已被刪除"
"The condition has been saved.","條件已保存。"
"The onepage checkout is disabled.","單頁面結賬已被禁用。"
"The product could not be found.","無法找到產品。"
"The product does not exist.","產品不存在。"
"There are <a href=""%s"">%s items</a> in your cart.","您的購物車中有 <a href="" %s""="">%s 個項目</a>。"
"There is <a href=""%s"">1 item</a> in your cart.","您的購物車中有 <a href="" %s""="">1 個項目</a>。"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","已經有客戶登記使用此電子郵件地址。請先登錄使用這個電子郵件地址，或輸入一個不同的電子郵件地址來註冊您的帳戶。"
"There was an error processing your order. Please contact us or try again later.","處理您的訂單時發生錯誤。請聯繫我們，或稍後再試。"
"This condition no longer exists.","該條件已不存在。"
"Total","總數"
"Total for this address","該地址的總額"
"Unable to set Payment Method.","無法設置支付方式。"
"Unit Price","單價"
"Update Cart","更新購物車"
"Update Qty &amp; Addresses","更新數量與地址"
"Update Shopping Cart","更新購物車"
"Update Total","更新總額"
"Update product quantities in shopping cart","更新購物車中的產品數量"
"Update product(s) quantities in shopping cart","更新購物車中的產品數量"
"Use Billing Address","使用賬單地址"
"VAT Number","增值稅號碼"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我們正在處理您的訂單，您將很快收到包含訂單詳情的電子郵件。當訂單運送後，您會收到另一封郵件，並可使用郵件中的連結來追蹤運送進度。"
"What's this?","這是什麼？"
"You have no items in your shopping cart.","您的購物車內沒有物品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您將會收到一份內含訂單詳細資訊和可查詢進展情況連結的確認郵件"
"Your Checkout Progress","您的結帳流程"
"Your billing agreement # is: %s.","您的賬單編號為： %s"
"Your order # is: %s.","您的訂單編號為： %s"
"Your order cannot be completed at this time as there is no payment methods available for it.","您的訂單無法完成，在這個時候，有沒有可用的付款方式。"
