"Collected Files Count","已收集文件計數"
"Compilation","編譯"
"Compilation State","編譯狀態"
"Compilation error","編譯錯誤"
"Compiled","已編譯"
"Compiled Scopes Count","編譯範圍計數"
"Compiler Status","編譯器狀態"
"Compiler include path is disabled.","編譯器包含路徑已禁用。"
"Compiler include path is enabled.","編譯器包含路徑已啟用。"
"Directory ""%s"" must be writeable","目錄""%s""必須為可寫"
"Disable","禁用"
"Disabled","已禁用"
"Enable","啟用"
"Enabled","已啟用"
"File ""%s"" must be writeable","文件""%s""必須為可寫"
"Not Compiled","未編譯"
"Run Compilation Process","運行編譯過程"
"Scopes Compilation Settings","範圍編譯設置"
"System","系統"
"The compilation has completed.","編譯已完成。"
"Tools","工具"
