"1.5.0.0 & later","1.5.0.0 及更新版"
"Action","操作"
"Add Author","新增作者"
"Add Contents Path","新增內容路徑"
"Add PHP Extension dependency","新增PHP擴展依存性"
"Add Package dependency","新增數據包依存性"
"Add files","新增文件"
"Authors","作者"
"Channel","渠道"
"Contents","內容"
"Create Extension Package","建立擴展包"
"Dependencies","依存性"
"Description","描述"
"Edit Extension","修改擴展"
"Email","電子郵件"
"Extension","擴展"
"Extensions","擴展"
"Failed to create the package.","建立包失敗。"
"Failed to load the package data.","載入包數據失敗。"
"Failed to save the package.","保存包失敗。"
"Files","文件"
"Folder","文件夾"
"Ignore","忽略"
"Include","包含"
"License","許可"
"License URI","許可URI"
"Load Local Package","載入本地包"
"Load local Package","載入本地包"
"Magento Connect","Magento連接"
"Magento Connect Manager","Magento連接管理器"
"Max","最大"
"Maximum","最大"
"Min","最小"
"Minimum","最小"
"Name","名稱"
"New Extension","新擴展"
"PHP Version","PHP版本"
"Package","包裹"
"Package Extensions","包括擴展"
"Package File Name","包文件名"
"Package Info","包資訊"
"Packages","包裹"
"Path","路徑"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","發布資訊"
"Remove","刪除"
"Save As...","另存為..."
"Save Data and Create Package","保存數據並建立包"
"Save package with custom package file name","使用自定包文件名保存包"
"Summary","摘要"
"Supported releases","支持的版本"
"System","系統"
"Target","目標"
"The package %s data has been loaded.","包中 %s 數據已載入。"
"The package data has been saved.","包中數據已保存。"
"There was a problem saving package data","保存包數據時遇到問題"
"Type","類型"
"User","用戶"
