"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">連結</a>"
"Actions XML is not valid.","XML 指令無效。"
"An error occurred while opening file: ""%s"".","打開文件時發生錯誤：""%s""."
"Could not load file: ""%s"".","無法載入檔案：""%s""."
"Could not save file: %s.","無法保存文件：%s。"
"Declared adapter %s was not found.","聲明的適配器 %s 未找到。"
"Destination folder ""%s"" is not a directory.","目標文件夾""%s""是不是一個目錄。"
"Destination folder ""%s"" is not writable.","目標文件夾""%s""是不可寫。"
"Done","完成"
"Dry run set, stopping execution.","排練集合，停止執行。"
"ETA: %s","ETA：%s"
"Error in field mapping: field list for mapping is not defined.","欄位對應錯誤錯誤：欄位對應列表未定義。"
"File ""%s"" does not exist.","文件""%s""不存在。"
"Found %d rows.","已找到 %d 行。"
"Less than a minute","小於 1 分鐘"
"Loaded successfully: ""%s"".","成功裝入：""%s""。"
"Memory Used: %s","已使用內存：%s"
"Method ""%s"" not defined in adapter %s.","方法""%s""未在介面%s定義。"
"Method ""%s"" was not defined in adapter %s.","方法""%s""未在介面%s定義。"
"Please declare ""adapter"" and ""method"" nodes first.","請先宣布""介面""和""方法""節點。"
"Processed records: %s","已處理記錄：%s"
"Profile with the same name already exists.","具有相同名稱的配置已經存在。"
"Saved successfully: ""%s"" [%d byte(s)].","保存成功：""%s"" [%d字元]。"
"Sheet 1","表 1"
"Skip undefined row.","跳過未定義行。"
"Starting %s :: %s","正在開始 %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","目標文件夾""%s""不存在或沒有因存取而建立。"
"Total records: %s","總記錄數：%s"
"hour","小時"
"hours","小時"
"minute","分鐘"
"minutes","分鐘"
