"-- Please select --","--請選擇--"
"Allowed Currencies","允許的貨幣"
"Base Currency","基準貨幣"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","基本貨幣用於網上支付交易。範圍定義的目錄價格範圍（目錄"">""價格"">""目錄價格範圍""）。"""
"Can\'t convert rate from ""%s-%s"".","可以\'噸轉換率""%s的%s的""。"""
"Cannot retrieve rate from %s.","無法從 %s 獲取費率。"
"Connection Timeout in Seconds","連接超時的秒數"
"Continue &raquo;","繼續 »"
"Country","國家"
"Country API","國家API"
"Country and Format Type combination should be unique","國家和格式類型的組合必須是唯一的"
"Currency","幣種"
"Currency Options","貨幣選項"
"Currency Setup","幣種設置"
"Currency Update Warnings","貨幣更新警告"
"Default Display Currency","預設顯示的幣種"
"Directory","目錄"
"Display not required State","沒有顯示所需的國家"
"Enabled","已啟用"
"Error Email Recipient","郵件接收有誤"
"Error Email Sender","郵件發送有誤"
"Error Email Template","郵件範本有誤"
"FATAL ERROR:","致命錯誤："
"Frequency","頻率"
"Installed Currencies","已安裝的幣種"
"Invalid Import Service specified.","指定的滙入服務無效。"
"Invalid country code: %s","無效的國家代碼：%s"
"Invalid rates received","收到的費率無效"
"Invalid target currency.","目標幣種無效。"
"List of countries","國家列表"
"List of regions in specified country","所指定國家中的地區列表"
"Postal Code is Optional for the following countries","下列國家的郵編是可選的"
"Region","地區"
"Region API","地區API"
"Scheduled Import Settings","計劃的滙入設置"
"Select Your Currency","選擇您的幣種"
"Service","服務"
"Start Time","開始時間"
"State is required for","狀態需要"
"State/Province","州/省"
"States Options","國家選項"
"Unable to initialize the import model.","無法初始化滙入模塊。"
"Undefined rate from ""%s-%s"".","未定義的滙率從""%s-%s""。"
"WARNING:","警告："
"Webservicex","Web服務"
"Your current currency is: %s","您的當前幣種為：%s"
