"%s Index process is working now. Please try run this process later.","%s 索引進程正在工作。請稍後嘗試運行該進程。"
"%s index was rebuilt.","%s 索引已重建。"
"'%s' Index Process Information","""%s""索引進程資訊"
"Action","操作"
"Cannot initialize the indexer process.","無法初始化索引器進程。"
"Change Index Mode","更改索引模式"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","單擊這裡前往<a href=""%s"">緩存管理</a>並重新整理緩存類型。"
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","單擊這裡前往<a href=""%s"">索引管理</a>並重建需要的索引。"
"Delete","刪除"
"Description","描述"
"Disable","禁用"
"Enable","啟用"
"General","常規"
"Index","索引"
"Index Description","索引描述"
"Index Management","索引管理"
"Index Mode","索引模式"
"Index Name","索引名稱"
"Index mode","索引模式"
"Indexer code is not defined.","索引器代碼未定義。"
"Indexer model is not defined.","索引器模型未定義。"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","索引器模型必須延伸 Mage_Index_Model_Indexer_Abstract。"
"Manual Update","手動更新"
"Mode","模式"
"Never","永不"
"No","否"
"One or more of the Indexes are not up to date:","一個或多個索引不是最新："
"Please select Index(es)","請選擇索引"
"Please select Indexes","請選擇索引"
"Process Information","處理資訊"
"Processing","正在處理"
"Ready","就緒"
"Refresh","重新整理"
"Reindex Data","重新索引數據"
"Reindex Required","需要重新索引"
"Revoke","Revoke"
"Status","狀態"
"System","系統"
"The index has been saved.","索引已保存。"
"There was a problem with reindexing process.","重新索引進程遇到問題。"
"There was a problem with saving process.","保存進程遇到問題。"
"Total of %d index(es) have changed index mode.","總計 %d 個索引已變更索引模式。"
"Total of %d index(es) have reindexed data.","總計 %d 個索引包含重新索引數據。"
"Update Required","需要更新"
"Update on Save","保存時更新"
"Updated At","更新於"
"Yes","是"
