"(Make sure you keep it in a safe place.)","（請務必將其保存在安全的地點。）"
"(Optional. Leave blank for no prefix)","（可選，留空即可不使用前綴。）"
"(ver. %s)","（版本. %s）"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","在基本URL後新增額外路徑即可訪問您的管理面板（例如admin, backend, control等）。"
"Admin Path","管理路徑"
"After successfull installation please click the button below.","成功安裝後請點擊下面的按鈕。"
"All packages were installed, click 'OK' to continue with installation.","所有包已安裝，點擊""確定""繼續安裝。"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","或者您可以嘗試""手工下載並升級""的方法。"
"Base URL","備份URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","在繼續您的店舖前，請記錄您的加密密鑰（Magento將其用于加密密碼、信用卡號碼等）。"
"Check out our","結賬指南"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","如果不能自動驗證安全URL，例如如果需要HTTP驗證，就請選擇該選項。"
"Check this box only if it is not possible to automatically validate the Base URL.","如果不能自動驗證基本URL，就選中該選項。"
"Choose this if you would like to test frontend and backend functionality.","如果想要測試前端和後端的功能，就選中該選項。"
"Configuration","配置"
"Confirm Password","確認密碼"
"Connection","連接"
"Continue","繼續"
"Continue After Manual Download","手工下載後連接"
"Continue Full Download / SVN Installation","繼續完整下載/SVN安裝"
"Create Admin Account","建立管理帳戶"
"Currently this is the most stable state available for Magento packages.","目前這是最穩定的可用Magento版本。"
"Database","數據庫"
"Database Connection","數據庫連接"
"Database Name","數據庫名稱"
"Database Name cannot be empty.","數據庫名稱不能為空。"
"Database Type","數據庫類型"
"Database connection error.","數據庫連接錯誤。"
"Database host","數據庫主機"
"Database server does not support the InnoDB storage engine.","數據庫服務器不支持InnoDB存儲引擎。"
"Database user name","數據庫用戶名"
"Database user password","數據庫用戶密碼"
"Default Currency","預設貨幣"
"Download","下載"
"Download Magento Core Modules and Updates","下載Magento核心模塊和更新"
"Downloading and installing Magento, please wait...","正在下載和安裝Magento，請稍候..."
"Email","電子郵件"
"Email Address","編輯電子郵件地址"
"Enable Charts","啟用圖表"
"Enable this option if you want the charts to be displayed on Dashboard.","如果希望在儀表板上顯示圖表，就選中該選項。"
"Enable this option only if you have SSL available.","如果您可以使用SSL，就選中該選項。"
"Encryption Key","加密密鑰"
"File System","文件系統"
"First Name","名字"
"Full Download / SVN Installation","完整下載/SVN安裝"
"Get ready to experience Open-Source eCommerce Evolved.","準備體驗開源電子商務的進化。"
"Go to Backend","轉到後端"
"Go to Frontend","轉到前端"
"Having trouble installing Magento?","安裝Magento時發生問題？"
"Help Us to Keep Magento Healthy","幫助我們保證Magento的健康"
"Host","主機"
"I agree to the above terms and conditions.","我同意上述合約和條款。"
"If you are a developer and would like to have the latest public updates, choose this option.","如果您是開發人員，希望獲得最新的公開更新，請選擇該選項。"
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","如果您將PHP作為CGI運行，您PHP的處理使用的身份應與上傳Magento文件所用的用戶身份相同。"
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","如果您是在老版本下載並安裝好的Magento基礎上運行安裝嚮導，請使用這種方法。"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","如果您不希望，或者不能提供可寫的Magento文件夾，則應使用Magento安裝文件中的PEAR執行文件。"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","如果您下載了完整版，或通過SVN安裝Magento，則應點擊下列按鈕跳過包安裝操作和驗證過程。"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","如果希望通過Web管理介面管理Magento包，則需要為所有Magento文件夾和文件應用可寫權限。"
"If your server is running on MS Windows, most probably you will not need to change anything.","如果您的伺服器運行了微軟Windows，則不需要修改任何內容。"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","其他情況下，您依然需要為伺服器上運行Web服務的用戶提供Magento文件的寫權限。"
"Installation","安裝"
"Installation Guide","安裝指南"
"Installer does not exist for %s database type","安裝不存在%s的數據庫類型"
"Last Name","姓氏"
"License Agreement","許可協議"
"Locale","區域"
"Locale settings","區域設置"
"Localization","本地化"
"Login Information","登錄資訊"
"Magento","Magento"
"Magento Connect Manager Deployment","Magento內容管理器部署"
"Magento Installation Wizard","Magento安裝嚮導"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento是Magento Inc.的商標， Copyright © %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento使用該密鑰對密碼和信用卡號碼等進行加密。如果該欄位留空，系統將為您建立加密密鑰，並會顯示在下一頁上。"
"Manual Downloads and Upgrades","手工下載和升級"
"No resource for %s DB model.","%s DB模塊沒有資源。"
"One of PHP Extensions ""%s"" must be loaded.","必須載入PHP擴展 ""%s""。"
"PHP Extension '%s' loaded","PHP擴展 '%s' 已載入"
"PHP Extensions ""%s"" must be loaded.","必須載入的PHP擴展""%s的""。"""
"PHP extension ""%s"" must be loaded.","必須載入PHP擴展 '%s'。"
"Package Management through the Web","通過Web進行包管理"
"Password","密碼"
"Password Confirmation","密碼確認"
"Path ""%s"" must be writable.","路徑 ""%s"" 必須可寫。"
"Personal Information","個人資訊"
"Please correct the user data and try again.","請改正用戶數據並重試。"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","請確保在Apache配置中啟用了<code>mod_rewrite</code>。"
"Please note that it is much less stable than beta.","請注意，該版本的穩定性不如Beta版。"
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","請注意，只有UNIX、Linux，以及Mac OS X外殼目前可被支持。對於Windows，請使用 '%s' 選項。"
"Please set all required settings before clicking Continue","請在點擊繼續之前設置所有必要的選項。"
"Preferred stability: %s","首選穩定性：%s"
"Proceed With Automatic Download (%s)","在不自動下載的情況下處理（%s）"
"Provide a complete base URL for SSL connection. For example: %s","為SSL連接提供完整的基本UEL，例如：%s"
"Report All Bugs","報告所有Bug"
"Required Fields","必須的欄位"
"Response from server isn\'t valid.","來自伺服器的響應無效。"
"Run admin interface with SSL","使用SSL運行管理介面。"
"Run this in your shell from Magento root folder:","在您的外殼中從Magento根文件夾運行這個："
"Save Session Data In","保存會話數據至"
"Save Session Files In","保存會話文件至"
"Secure Base URL","安全基本URL"
"Session Storage Options","會話存儲選項"
"Setting preferred state to: %s","設置首選州為：%s"
"Skip Base URL Validation Before the Next Step","在開始下一步之前跳過基本URL驗證"
"Skip Secure URL validation before next step","在開始下一步之前跳過安全URL驗證"
"Tables Prefix","表格前綴"
"The URL ""%s"" is invalid.","URL ""%s"" 無效。"
"The URL ""%s"" is not accessible.","URL ""%s"" 無法訪問。"
"The database server version doesn\'t match system requirements (required: %s, actual: %s).","數據庫服務器的版本不符\'ţ賽制的要求（要求：%S，實際：%s）。"
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","表前綴應包含只有字母（az），數字（0-9）或下劃線（_），第一個字符必須是字母。"
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","安裝Magento包時發生錯誤。請閱讀日誌，解決問題，並重試。"
"Time Zone","時區"
"Use Secure URLs (SSL)","使用安全URL（SSL）"
"Use Web Server (Apache) Rewrites","使用Web伺服器（Apache）重寫"
"User Name","用戶名"
"User Password","用戶密碼"
"Username","用戶名"
"Validation","驗證"
"Web access options","Web訪問選項"
"Welcome","歡迎"
"Welcome to Magento's Installation Wizard","歡迎使用Magento安裝嚮導"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","您可以指定伺服器端口，例如： localhost:3307<br>如果沒有使用預設的UNIX socket，則可以在此指定，而不用在主機中指定，例如： /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","您可以啟用該選項，以便通過Web伺服器的重寫功能改善搜索引擎優化效果。"
"You're All Set","您已經設置完畢。"
"You're All Set!","您已經設置完畢！"
