"%s Item(s)","%s 個項目"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Magento Demo Store. All Rights Reserved."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","（Shift-）點擊或拖拽即可更改值"
"(ver. %s)","（版本. %s）"
"- Click on any of the time parts to increase it","- 點擊時間的任何部分即可更改"
"- Hold mouse button on any of the above buttons for faster selection.","- 在任何按鈕上按下滑鼠按鍵即可選中。"
"- Use the %s buttons to select month","- 使用%s 按鈕選擇月份"
"- Use the %s, %s buttons to select year","- 使用%s，%s按鈕選擇年份"
"- or Shift-click to decrease it","- 或Shift-點擊以減小"
"- or click and drag for faster selection.","- 或點擊並拖拽以快速選中。"
"-- Please Select --","-- 請選擇 --"
"1 column","1欄"
"2 columns with left bar","2欄帶左邊欄"
"2 columns with right bar","2欄帶右邊欄"
"3 columns","3欄"
"About the calendar","關於日曆"
"All Empty Layout Pages","所有空的佈局頁面"
"All One-Column Layout Pages","所有一欄佈局頁面"
"All Pages","所有頁面"
"All Pages (Print Version)","所有頁面（列印版）"
"All Three-Column Layout Pages","所有三欄佈局頁面"
"All Two-Column Layout Pages (Left Column)","所有兩欄佈局頁面（左欄）"
"All Two-Column Layout Pages (Right Column)","所有兩欄佈局頁面（右欄）"
"Allow","允許"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","如果什麼都沒有發生，請點擊 <a href="" %s""="">這裡</a>"
"Close","關閉"
"Close Window","關閉窗口"
"DHTML Date/Time Selector","DHTML 日期/時間選擇器"
"Date selection:","選擇日期："
"Default Description","預設描述"
"Default welcome msg!","預設歡迎資訊！"
"Display %s first","顯示前 %s個"
"Distributed under GNU LGPL. See %s for details.","在GNU LGPL下分發。詳情請參考 %s。"
"Drag to move","拖拽以移動"
"Empty","空"
"For latest version visit: %s","最新版訪問：%s"
"Free Shipping on orders over 50$","訂單金額超過$50即免費送貨"
"Go Today","轉到今天"
"Help Us to Keep Magento Healthy","幫助我們保證Magento的健康"
"Interface Language","介面語言"
"Items %s to %s of %s total","項目 %s 到 %s 共 %s個"
"JavaScript seems to be disabled in your browser.","JavaScript的似乎要在您的瀏覽器禁用。"
"Left Column","左欄"
"Main Content Area","主內容區域"
"Navigation Bar","導航欄"
"Next","下一個"
"Next month (hold for menu)","下個月（按下可打開菜單）"
"Next year (hold for menu)","明年（按下可打開菜單）"
"Page Bottom","頁面底部"
"Page Footer","頁面腳注"
"Page Header","頁面頭部"
"Page Top","頁面頂部"
"Page:","頁面："
"Prev. month (hold for menu)","上個月（按下菜單）"
"Prev. year (hold for menu)","去年（按下可打開菜單）"
"Previous","上一個"
"Redirecting...","正在重定向..."
"Report All Bugs","報告所有Bug"
"Right Column","右欄"
"Select Store","選擇店舖"
"Select Store:","選擇店舖："
"Select date","選擇日期"
"Show","顯示"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","這是一個演示商店。任何在此商店下的訂單將無法被兌現或履行。"
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below."
"Time selection:","時間選擇："
"Time:","時間："
"Welcome, %s!","歡迎，%s！"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","您必須在瀏覽器中啟用JavaScript才能使用本網站的功能。"
"Your Language","您的語言"
"Your Language:","您的語言："
"per page","每頁"
