"An error occurred while clearing the external full page cache.","清除外部全頁的快取時發生錯誤。"
"Cookie Lifetime (seconds)","Cookie 週期 (秒)"
"Enable External Cache","啟用外部快取"
"External Cache Control","外部快取控制"
"External Full Page Cache Settings","外部全頁快取設定"
"External full page cache.","外部全頁快取。"
"Failed to load external cache control","讀取外部快取控制產生錯誤"
"Flush External Page Cache","重新整理外部頁面快取"
"If empty, default value will be used.","如果沒有數值，預設值將被使用。"
"The external full page cache has been cleaned.","外部全頁快取已被清空。"
"Zend Full Page Cache","Zend 外部頁面快取"
