"%s %s cycle.","%s %s 週期。"
"--Please Select--","-- 請選擇 --"
"3D Secure Card Validation","3D 安全信用卡驗證"
"3D Secure Credit Card Validation","3D安全信用卡驗證"
"<label>Make Check payable to:</label> %s","<label>用支票付款給：</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","動態模式需要提供值。請參考您的CardinalCommerce 協議。"
"Allow Initial Fee Failure","允許初始費用失敗"
"An internal reference ID is required to save the payment profile.","保存支付設定檔時需要提供內部參考ID。"
"Authorize action is not available.","授權的行動是無法使用。"
"Auto Bill on Next Cycle","下個週期自動記賬"
"Automatically Invoice All Items","對所有商品自動建立發票"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","下個記賬週期對餘款額度自動記賬（如果有失敗的支付的話）。"
"Bank Transfer Payment","銀行轉帳付款"
"Billing Agreement status is not set.","記賬協議狀態未設置。"
"Billing Amount","記賬額度"
"Billing Frequency","記賬頻率"
"Billing Period","記賬週期"
"Billing Period Unit","記賬週期單位"
"Billing period unit is not defined or wrong.","記賬週期單位未定義或有誤。"
"Cannot retrieve the payment info model object.","無法獲取支付資訊模塊對象。"
"Cannot retrieve the payment information object instance.","不能檢索的支付信息的對象實例。"
"Cannot retrieve the payment method code.","不能檢索的付款方式代碼。"
"Cannot retrieve the payment method model object.","無法獲取支付方法模塊對象。"
"Capture action is not available.","捕捉行動是不可用。"
"Card Verification Number","卡片驗證號碼"
"Cash On Delivery Payment","在交付現金付款"
"Centinel API URL","Centinel API URL"
"Check / Money Order","支票/費用訂單"
"Credit Card Number","信用卡號碼"
"Credit Card Type","信用卡類型"
"Credit Card Types","信用卡類型"
"Credit card number mismatch with credit card type.","信用卡號碼與信用卡類型不匹配。"
"Credit card type is not allowed for this payment method.","信用卡類型是不允許這種付款方式。"
"Currency","幣種"
"Currency code is undefined.","貨幣代碼未定義。"
"Customer ID is not set.","客戶ID未設置。"
"Day","天"
"Debug Mode","偵錯模式"
"Enabled","已啟用"
"Expiration Date","過期日期"
"Full name of the person receiving the product or service paid for by the recurring payment.","獲取通過週期性支付所提供的產品或服務的人的全名。"
"Incorrect credit card expiration date.","不正確的信用卡到期日期。"
"Initial Fee","初始費用"
"Initial non-recurring payment amount due immediately upon profile creation.","建立設定檔時立刻進行非週期性初始支付。"
"Instructions","說明"
"Internal Reference ID","內部參考ID"
"Invalid Credit Card Number","無效的信用卡號碼"
"Issue Number","問題編號"
"Make Check Payable to","通過支票付款給"
"Make Check payable to:","通過支票付款給："
"Make Check payable to: %s","通過支票付款給：%s"
"Maximum Billing Cycles","最長記賬週期"
"Maximum Order Total","最大訂單總數"
"Maximum Payment Failures","最多付款失敗次數"
"Maximum Trial Billing Cycles","最長試用記賬週期"
"Merchant ID","分行ID"
"Minimum Order Total","最小訂單總數"
"Month","月"
"N/A","N/A"
"Name on Card","卡片上的名字"
"Name on the Card","持卡人名字"
"New Order Status","新訂單狀態"
"Number of billing periods that make up one billing cycle.","組成一個賬單循環的賬單週期數量。"
"Order action is not available.","為了行動是不可用。"
"Overrides API URL that may be specified by a payment method.","覆蓋可能由支付方式指定的 API URL。"
"Password","密碼"
"Payment Method","支付方式"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式區域"
"Payment Reference ID","支付參考 ID"
"Payment Services","支付服務"
"Payment from Applicable Countries","從可接受的國家支付"
"Payment from Specific Countries","從指定的國家支付"
"Payment method code is not set.","支付方式代碼未設置。"
"Payment method code is undefined.","支付方式代碼未定義。"
"Payment profile is invalid:\n%s","支付資料無效：\n%s"
"Period frequency is wrong.","週期頻率錯誤。"
"Please enter a valid credit card verification number.","請輸入一個有效的信用卡驗證號碼。"
"Processor ID","處理器 ID"
"Purchase Order","採購訂單"
"Purchase Order Number","採購訂單號"
"Purchase Order Number:","採購訂單號"
"Purchase Order Number: %s","付款的訂單號：%s"
"Recurring Profile Start Date","週期性設定檔開始日期"
"Recurring profile start date has invalid format.","週期性設定檔開始日期格式無效。"
"Reference ID is not set.","參考ID未設置。"
"Refund action is not available.","不提供退款行動。"
"Repeats %s time(s).","重複 %s 次。"
"Repeats until suspended or canceled.","一直重複，直到被掛起或取消。"
"Request Card Security Code","請求卡安全碼。"
"Saved CC","保存的CC"
"Schedule Description","計劃描述"
"Schedule description must be not empty.","計劃描述不能為空"
"Selected payment type is not allowed for billing country.","帳單國家選擇的付款方式是不允許的。"
"Send Check to","發送支票給"
"Send Check to:","發送支票給："
"Severe 3D Secure Card Validation","提供 3D 安全信用卡驗證"
"Severe validation removes chargeback liability on merchant.","嚴格的驗證可避免分行的退款責任。"
"Shipping Amount","運送量"
"Short description of the recurring payment. By default equals to the product name.","週期性付款的簡短描述。預設等於產品名。"
"Sort Order","排序順序"
"Start Date","開始日期"
"Start date has invalid format.","開始日期格式無效。"
"Start date is undefined.","開始日期未定義。"
"Subscriber Name","訂閱者名稱"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro卡號"
"Switch/Solo/Maestro Only","僅限 Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro開始日期"
"Tax Amount","稅額"
"Test Mode","測試模式"
"The date when billing for the profile begins.","該設定檔記賬的開始日期。"
"The number of billing cycles for payment period.","支付週期內記賬循環的數量。"
"The number of scheduled payments that can fail before the profile is automatically suspended.","設定檔被自動掛起之前，支付計劃的失敗數量。"
"The payment review action is unavailable.","支付審查操作不可用。"
"The requested Payment Method is not available.","要求的付款方式是不可用。"
"Title","標題"
"Trial Billing Amount","嘗試記賬帳戶。"
"Trial Billing Frequency","嘗試記賬頻率"
"Trial Billing Period Unit","嘗試記賬週期單位"
"Trial Period","嘗試週期"
"Trial billing amount is wrong.","嘗試記賬額度有誤。"
"Trial billing period unit is wrong.","嘗試記賬週期單位有誤。"
"Trial period frequency is wrong.","嘗試週期頻率有誤。"
"Trial period max cycles is wrong.","嘗試週期最大週期有誤。"
"Two Weeks","兩周"
"Unable to save Billing Agreement:","無法保存記賬協議："
"Unit for billing during the subscription period.","訂閱期限內的記賬單位。"
"Unsupported currency code: %s.","不支持的貨幣代碼：%s"
"Void action is not available.","無效的行動是無法使用。"
"Week","周"
"What is this?","這是什麼？"
