"Alert Email Sender","提醒電子郵件發送者"
"Alert subscription has been saved.","提醒訂閱已保存。"
"Allow Alert When Product Comes Back in Stock","當產品重新有庫存時允許提醒"
"Allow Alert When Product Price Changes","當產品價格變更時允許提醒"
"Click here not to receive alerts for this product","單擊這裡不再接收此產品的提醒"
"Error Email Recipient","郵件接收有誤"
"Error Email Sender","郵件發送有誤"
"Error Email Template","郵件範本有誤"
"Frequency","頻率"
"Not enough parameters.","沒有足夠的參數。"
"Price Alert Email Template","價格提醒電子郵件範本"
"Price:","價格："
"Product Alerts","產品警報"
"Product Alerts Run Settings","產品提醒運行設置"
"Product alerts Cron error","產品提醒 Cron 錯誤"
"Product price alert","產品價格提醒"
"Product stock alert","產品庫存提醒"
"Regular Price:","常規價格："
"Sign up for price alert","註冊價格提醒"
"Sign up to get notified when this product is back in stock","註冊以在此產品重新有庫存時獲得通知"
"Special price:","特惠價格："
"Start Time","開始時間"
"Stock Alert Email Template","庫存提醒電子郵件模版"
"The alert subscription has been deleted.","提醒訂閱已被刪除。"
"The alert subscription has been saved.","提醒訂閱已保存。"
"The product is not found.","產品未找到。"
"The product was not found.","產品未找到。"
"Unable to update the alert subscription.","無法更新提醒訂閱。"
"Unsubscribe from all price alerts","退訂所有價格提醒"
"Unsubscribe from all stock alerts","退訂所有庫存提醒"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您收到該通知的原因是您訂閱了當下列產品有庫存時接收提醒："
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您收到該通知的原因是您訂閱了當下列產品價格更改時接受提醒："
"You will no longer receive price alerts for this product.","您不再接收此產品的價格提醒。"
"You will no longer receive stock alerts for this product.","您不再接收此產品的庫存提醒。"
"You will no longer receive stock alerts.","您不再接收庫存提醒。"
