"Abandoned Carts","放棄購物車"
"Abandoned carts","廢棄的購物車"
"Action","操作"
"Add to Cart","新增到購物車"
"Add to Compare","新增並比較"
"Add to Wishlist","新增到收藏"
"Any","任意"
"Applied Coupon","已應用的優惠券"
"Applies to Any of the Specified Order Statuses","適用於任何指定的順序狀態"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","您確認要重新整理生命期數據嗎？此操作過程可能會影響性能。"
"Are you sure?","您是否確認？"
"Avg. Approved Rating","平均已審核的評級"
"Avg. Rating","平均評級"
"Bestsellers","最佳銷量"
"Bought from wishlists","購買自願望清單"
"CSV","CSV"
"Carts","購物車"
"Catalog Category (Without Subcategories)","目錄類別（無子類）"
"Compared Products Grid Template","比對的產品網格範本"
"Compared Products List Template","比對的產品列表範本"
"Coupons","折價券"
"Coupons Usage Report","優惠券使用報告"
"Created At","建立於"
"Current Month Starts","當前月起始"
"Customer","客戶"
"Customer Name","顧客名稱"
"Customer Tags","顧客標籤"
"Customers","客戶"
"Customers Report","顧客報告"
"Customers Reviews","客戶評測"
"Customers Tags","顧客標籤"
"Customers by Number of Orders","按訂單編號排列顧客"
"Customers by Orders Total","按訂單數量排列顧客"
"Customers by number of orders","按訂單數排列顧客"
"Customers by orders total","按訂單總數排列顧客"
"Customers that have wishlist: %s%","有願望清單的顧客：%s%"
"Dashboard","儀表板"
"Day","天"
"Default Recently Compared Products Count","預設最近比較的產品數量"
"Default Recently Viewed Products Count","預設最近查看的產品數量"
"Description","描述"
"Detail","詳情"
"Downloads","下載"
"Email","電子郵件"
"Empty Rows","空行"
"Excel XML","Excel XML"
"Filter","過濾器"
"First Name","名字"
"From","來自"
"Guest","來賓"
"Hits","提示"
"ID","ID"
"IP Address","IP地址"
"Index model name must be defined","索引模型名稱必須被定義"
"Invalid date specified.","已指定的日期無效。"
"Invoiced","已出發票"
"Items in Cart","購物車中的項目"
"Last Name","姓氏"
"Last Review","上次評論"
"Link","連結"
"List of Products Recently Compared and Removed from the Compare List by Visitor","最近由訪客從比較列表中比較和刪除的產品列表"
"List of Products Recently Viewed by Visitor","最近由訪客瀏覽過的產品列表"
"Low Stock","庫存量低"
"Low stock","低庫存"
"Match Period To","匹配期間至"
"Month","月"
"Most Viewed","最受歡迎"
"Name","名稱"
"New Accounts","新帳戶"
"No","否"
"Number Added","數字已新增"
"Number Fulfilled","已履行的數字"
"Number Of Reviews","評論數目"
"Number Purchased","已購買數目"
"Number Viewed","瀏覽數目"
"Number of Items","項目的數量"
"Number of New Accounts","新賬戶數量"
"Number of Products to display","顯示產品的數量"
"Number of Reviews","評價數量"
"Number of Times Deleted","已刪除時間數量"
"Number of Total Tags","總標籤數量"
"Number of Unique Tags","唯一標籤數量"
"Number of Views","瀏覽數量"
"Number of items bought from a wishlist: %s","從願望清單中購買項目的數量：%s"
"Number of times wishlists have been shared (emailed): %s","願望清單被分享（通過發送電子郵件）的次數：%s"
"Number of wishlist conversions: %s","願望清單轉換的數量：%s"
"Number of wishlist referrals: %s","願望清單推薦次數：%s"
"Number of wishlists: %s","願望清單數量：%s"
"Order Status","訂單狀態"
"Order Taxes Report Grouped by Tax Rate","按稅率分組的訂購稅費報告"
"Orders","訂單"
"Out of stock","缺貨"
"Period","週期"
"Poducts Report","產品報告"
"Popular Tags","熱門標籤"
"Popularity","人氣"
"Price","價格"
"Product Name","產品名"
"Product Reviews","產品評測"
"Product SKU","產品SKU"
"Product Tags","產品標籤"
"Products","產品"
"Products Ordered","產品已下單"
"Products Report","產品報告"
"Products Reviews","產品評論"
"Products Tags","產品標籤"
"Products in carts","購物車中的產品"
"Purchases","購買"
"Quantity Ordered","下單的數量"
"Quantity of Items","商品的數量"
"Recently Compared","最近比較過的"
"Recently Compared Products","最近比較過的產品"
"Recently Viewed","最近查看過的"
"Recently Viewed Products","最近查看過的產品"
"Recently Viewed/Compared Products","最近查看/比較過的產品"
"Refresh Lifetime Statistics","重新整理壽命狀態"
"Refresh Statistics","重新整理狀態"
"Refresh Statistics for the Last Day","重新整理昨天的狀態"
"Refunds","退款"
"Report","報告"
"Reports","報告"
"Results","結果"
"Revenue","收入"
"Review","評測"
"Reviews","評測"
"Reviews for %s","%s的評測"
"Sales","銷售"
"Sales Report","銷售報告"
"Search Query","搜索查詢"
"Search Terms","搜索條件"
"Select day of the month.","選擇每月的天數。"
"Shipping","運送"
"Shopping Cart","購物車"
"Shopping Cart Price Rule","共享購物車規則"
"Show Actual Values","顯示實際值"
"Show Report","顯示報告"
"Show for Current","顯示最新值"
"Specified","已指定"
"Statistics","狀態"
"Stock Qty","庫存數量"
"Submitted In","提交於"
"Submitted On","提交到"
"Subtotal","小計"
"Tag","標籤"
"Tag ""%s"" details","標籤 ""%s"" 詳情"
"Tag Detail","標籤詳情"
"Tag Name","標籤名稱"
"Tag Use","標籤的使用"
"Tags Submitted by %s","由%s 提交的標籤"
"Tags submitted to %s","由%s 提交的標籤"
"Tax","傳真"
"Title","標題"
"To","發送至"
"Total","總數"
"Total Invoiced vs. Paid Report","發票總數 vs. 付款報告"
"Total Ordered Report","訂單總數報告"
"Total Refunded Report","退款總數報告"
"Total Shipped Report","發貨總數報告"
"Total Tags","標籤總數"
"Total invoiced","發票總數"
"Total refunded","退款總數"
"Updated At","更新於"
"Viewed Products Grid Template","查看過的產品網格範本"
"Viewed Products List Template","查看的產品列表範本"
"Visible In","可見性"
"Wishlist Report","願望清單報告"
"Wishlist vs. Regular Order","願望清單 vs. 正常訂單"
"Wishlists","願望清單"
"Year","年"
"Year-To-Date Starts","開始的年月日"
"Yes","是"
"Your Recently Compared","您最近的比較"
"Your Recently Viewed","您最近看過的"
"undefined","未定義"
