"ALL","全部"
"ANY","任意"
"Add","新增"
"Apply","套用"
"Conditions Combination","條件組合"
"Customer Groups must be specified.","必須在指定的客戶群體。"
"End Date must be greater than Start Date.","結束日期必須大於起始日期。"
"FALSE","否"
"If %s of these conditions are %s:","如果 %s 個這些條件為%s："
"Invalid discount amount.","無效的折扣額。"
"Open Chooser","打開選擇器"
"Perform following actions","執行下列操作"
"Please choose a condition to add...","請選擇要新增的條件..."
"Please choose an action to add...","請選擇一個要新增的操作..."
"Remove","刪除"
"TRUE","真"
"There is no information about associated entity type ""%s"".","There is no information about associated entity type ""%s""."
"Websites must be specified.","必須在指定的網站。"
"by","由"
"contains","包含"
"does not contain","不包含"
"equals or greater than","等於或大於"
"equals or less than","等於或小於"
"greater than","大於"
"is","是"
"is not","非"
"is not one of","不屬於"
"is one of","屬於"
"less than","小於"
"to","至"
