"""%s"" coupon code is not valid.","""%s""優惠券代碼無效。"
"%s","%s"
"%s / %s rate:","%s / %s 比率："
"%s for %s","%s 對 %s"
"%s order(s) cannot be canceled","%s 個訂單無法被取消"
"%s order(s) have been canceled.","%s個訂單已取消。"
"%s order(s) have been put on hold.","%s個訂單已掛起。"
"%s order(s) have been released from holding status.","%s個訂單已從掛起狀態恢復。"
"%s order(s) were not put on hold.","%s 個訂單沒有被保持。"
"%s order(s) were not released from holding status.","%s 個訂單沒有從保持狀態恢復。"
"* - Enter custom price excluding tax","* - 輸入不含稅的自定價格"
"* - Enter custom price including tax","* - 輸入含稅的自定價格"
"-- Please Select --","-- 請選擇 --"
"-- Please Select Billing Agreement--","-- 請選擇記賬協議 --"
"About This Order:","關於此訂單："
"About This Profile:","關於此資料："
"About Your Invoice","關於您的發票"
"About Your Order","關於您的訂單"
"About Your Refund","關於您的退款"
"About Your Shipment","關於您的運送"
"Accept Payment","接受付款"
"Accept or Deny Payment","接受或拒絕付款"
"Account Information","帳戶資訊"
"Action","操作"
"Actions","操作"
"Activate","激活"
"Active","活動"
"Add","新增"
"Add New Address","新增地址"
"Add Order Comments","新增訂單評論"
"Add Package","新增包"
"Add Products","新增產品"
"Add Selected Product(s) to Option","新增所選產品到選項"
"Add Selected Product(s) to Order","新增所選產品到訂單"
"Add Selected Product(s) to Package","新增所選產品到包"
"Add To Order","新增到訂單"
"Add Tracking Number","新增追蹤編號"
"Add comment to order","新增評論到訂單"
"Add new comment to credit memo","新增評論至信貸備忘錄"
"Add new comment to shipment","新增評論到送貨"
"Add new tracking number","新增的追蹤編號"
"Add to Cart","新增到購物車"
"Additional Product Info","額外產品資訊"
"Address","地址"
"Address model is not defined.","地址模塊未定義"
"Adjustment Fee","調整費"
"Adjustment Refund","調整退款"
"Agreement Information","協議資訊"
"Allow Reorder","允許記錄"
"Amount","數量"
"Amount: %s.","數量：%s。"
"An error occurred while assigning order status. Status has not been assigned.","分配訂單狀態時發生錯誤。狀態未被分配。"
"An error occurred while creating shipping label.","建立運送標籤時發生錯誤。"
"An error occurred while saving order status. The status has not been added.","保存訂單狀態時發生錯誤。狀態未被新增。"
"An error occurred while unassigning order status.","取消分配訂單狀態時發生錯誤。"
"An error occurred while updating the order address. The address has not been changed.","更新訂單地址時發生錯誤。地址未更改。"
"An item option with code %s already exists.","代碼為 %s 的項已經存在。"
"Anchor Custom Title","自定標題錨點"
"Append Comments","附加評論"
"Apply","套用"
"Apply Coupon Code","套用折價券"
"Approved the payment online.","已在線審核支付。"
"Are you sure you want to accept this payment?","您確認要接受該支付嗎？"
"Are you sure you want to cancel this order?","您確認要取消該訂單嗎？"
"Are you sure you want to delete all items from shopping cart?","你確定要刪除的所有項目，從購物車嗎？"
"Are you sure you want to deny this payment?","您確認要拒絕該支付嗎？"
"Are you sure you want to do this?","您是否確認要這樣做？"
"Are you sure you want to send Creditmemo email to customer?","您確認要發送信用備忘錄電子郵件給客戶嗎？"
"Are you sure you want to send Invoice email to customer?","您確認要發送發票電子郵件給客戶嗎？"
"Are you sure you want to send Shipment email to customer?","您確認要發送運送電子郵件給客戶嗎？"
"Are you sure you want to send order email to customer?","您確認要發送訂單電子郵件給客戶嗎？"
"Are you sure you want to void the payment?","您確認要使支付無效嗎？"
"Are you sure?","您是否確認？"
"Are you sure? This order will be canceled and a new one will be created instead","您確認嗎？該訂單會被取消，並建立一個全新訂單"
"Assign Order Status to State","按國家分配訂單狀態"
"Assign Status to State","按國家分配狀態"
"Assignment Information","分配資訊"
"At least a payment ID must be set.","必須至少設置一個付款ID。"
"Authorization","授權"
"Authorized amount of %s.","授權額度 %s"
"Authorizing amount of %s is pending approval on gateway.","授權額度 %s 正等待網關的審批。"
"Back","返回"
"Back to Billing Agreements","返回記賬協議"
"Back to My Orders","返回我的訂單"
"Back to Recurring Profiles","返回循環設定檔"
"Backordered","延期"
"Bestsellers","最佳銷量"
"Bill to Name","記賬名稱"
"Billing","賬單"
"Billing Address","賬單地址"
"Billing Agreement","記賬協議"
"Billing Agreement # %s","記賬協議 # %s"
"Billing Agreement #%s","記賬協議#%s"
"Billing Agreement View","記賬協議視圖"
"Billing Agreements","記賬協議"
"Billing Last Name","按姓氏記賬"
"Billing ZIP Code","按郵編記賬"
"Buy %s for price %s","以 %s 價格購買 %s"
"CSV","CSV"
"Cancel","取消"
"Cancel credit memo","取消信貸備忘錄"
"Cancel invoice","取消發票"
"Cancel order","取消訂單"
"Canceled","已取消"
"Canceled order offline.","取消的訂單已離線。"
"Canceled order online.","取消的訂單在線。"
"Cannot add order history.","無法新增訂單歷史。"
"Cannot create an empty shipment.","無法建立空運單。"
"Cannot determine the field name.","無法確定欄位名稱。"
"Cannot do invoice for order.","無法為訂單建立發票。"
"Cannot do shipment for order.","無法為該訂單發貨。"
"Cannot get order instance","無法獲得訂單實例"
"Cannot get the order instance.","無法獲得訂單實例。"
"Cannot register an existing credit memo.","無法註冊現有信貸備忘錄。"
"Cannot register existing invoice","無法註冊現有發票"
"Cannot register existing shipment","無法註冊現有運單"
"Capture","獲取"
"Capture Amount","獲取額度"
"Capture Offline","離線獲取"
"Capture Online","在線獲取"
"Capture invoice","獲取發票"
"Captured amount of %s online.","在線獲取 %s 的數量。"
"Capturing amount of %s is pending approval on gateway.","獲取的 %s 數量被掛起等待網關審批。"
"Carrier","運營商"
"Carrier/Method","運營商/方法"
"Change status, add comments","更改狀態，新增評論"
"Changing address information will not recalculate shipping, tax or other order amount.","更改地址資訊不會導致重新計算發貨、稅金，或其他金額。"
"Checkout Totals Sort Order","按結賬總數對訂單排序"
"City","城市"
"Clear Shopping Cart","清除購物車"
"Click to change shipping method","點擊更改送貨方法"
"Close","關閉"
"Closed","已關閉"
"Comma-separated.","逗號分隔。"
"Comment","評論"
"Comment Text","評論文字"
"Comments","評論"
"Comments History","評論歷史"
"Company","公司"
"Complete","完成"
"Configure","配置"
"Configure and Add to Order","配置並新增到訂單"
"Contents","內容"
"Continue","繼續"
"Controls whether customer IP is shown in orders, invoices, shipments, credit memos.","控制客戶的IP是否在顯示訂單，發票，發貨，貸項通知單。"
"Country","國家"
"Coupons","折價券"
"Create","建立"
"Create New Customer","建立新客戶"
"Create New Order","建立新訂單"
"Create New Order Status","建立新訂單狀態"
"Create New Order for %s","為 %s 建立新訂單"
"Create New Order for %s in %s","為 %s 在 %s 中建立新訂單"
"Create New Order for New Customer","為新客戶建立新訂單"
"Create New Order for New Customer in %s","為新客戶在 %s 中建立新訂單"
"Create New Status","建立新狀態"
"Create Packages","建立包"
"Create Shipment","建立運單"
"Create Shipping Label","建立運送標籤"
"Create Shipping Label...","建立運送標籤..."
"Create new credit memo for order","建立新訂單的信貸備忘錄"
"Create new invoice for order","為訂單建立新發票"
"Create new shipment for order","為訂單建立新運單"
"Create...","建立..."
"Created At","建立於"
"Created billing agreement #%s.","建立記賬協議 #%s。"
"Created:","建立："
"Credit Memo","信貸備忘錄"
"Credit Memo #","信貸備忘錄 #"
"Credit Memo # ","信貸備忘錄 # "
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","信貸備忘錄 #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","信貸備忘錄評論電子郵件發送程式"
"Credit Memo Comment Email Template","信貸備忘錄評論電子郵件範本"
"Credit Memo Comment Email Template for Guest","針對來賓的信貸備忘錄評論電子郵件範本"
"Credit Memo Comments","信貸備忘錄評論"
"Credit Memo Email Sender","信貸備忘錄電子郵件發送程式"
"Credit Memo Email Template","信貸備忘錄電子郵件範本"
"Credit Memo Email Template for Guest","針對來賓的信貸備忘錄電子郵件範本"
"Credit Memo Update","信貸備忘錄更新"
"Credit Memo Update for Guest","針對來賓的信貸備忘錄更新"
"Credit Memos","信貸備忘錄"
"Credit memo canceling problem.","信貸備忘錄取消問題。"
"Credit memo cannot be canceled.","信貸備忘錄不能被取消。"
"Credit memo has been created automatically","信用備忘錄已自動建立"
"Custom Price","自定價格"
"Custom Value","自定值"
"Customer","客戶"
"Customer Can Define Start Date","客戶可以定義開始日期"
"Customer Email","客戶郵件"
"Customer Group","客戶組"
"Customer Last Name","客戶姓氏"
"Customer My Account Order Creditmemo View","客戶我的帳戶訂單信貸備忘錄視圖"
"Customer My Account Order History","客戶我的帳戶訂單歷史"
"Customer My Account Order Invoice View","客戶我的帳戶訂單發票視圖"
"Customer My Account Order Shipment View","客戶我的帳戶訂單發貨視圖"
"Customer My Account Order View","客戶我的帳戶訂單視圖"
"Customer Name","顧客名稱"
