"# of Uses","用戶數"
"%s tag(s) have been accepted for moderation.","%s個標籤（S）已被接受為適度。"
"<strong>Tag Name:</strong> %s","<strong>標籤名稱：</strong> %s"
"Action","操作"
"Add","新增"
"Add New Tag","新增標籤"
"Add Tags","新增標籤"
"Add Your Tags:","新增您的標籤："
"Add tag(s) to product","Add tag(s) to product"
"Add to Cart","新增到購物車"
"Add to Wishlist","新增到收藏"
"All Tags","所有標籤"
"Approved","已批准"
"Are you sure you want to delete this tag?","您是否確認要刪除該標籤？"
"Are you sure you want to do this?","您是否確認要這樣做？"
"Are you sure?","您是否確認？"
"Back","返回"
"Back to Tags List","返回標籤列表"
"Base Popularity","基本流行度"
"Block Information","塊資訊"
"CSV","CSV"
"Catalog Product View","分類產品視圖"
"Change status","更改狀態"
"Click on a tag to view your corresponding products.","點擊標籤查看您對應的產品。"
"Country","國家"
"Customer My Account My Tags List","客戶我的帳戶我的標籤列表"
"Customer My Account Tag View","客戶我的帳戶標籤視圖"
"Customer Since","客戶加入日期"
"Customers","客戶"
"Customers Submitted this Tag","客戶提交的該標籤"
"Customers Tagged '%s'","客戶標記為 '%s'"
"Delete","刪除"
"Delete Tag","刪除標籤"
"Disabled","已禁用"
"Edit Tag '%s'","編輯標籤 '%s'"
"Email","電子郵件"
"First Name","名字"
"General Information","常規資訊"
"Grid","網格"
"ID","ID"
"Info","資料"
"Last Name","姓氏"
"List","列表"
"Manage Tags","管理標籤"
"My Recent Tags","我最近的標籤"
"My Tags","我的標籤"
"Name","名稱"
"New Tag","新標籤"
"No matches found.","未找到匹配內容。"
"Other people marked this product with these tags:","其他人對該產品使用了下列標籤："
"Pending","掛起"
"Pending Tags","掛起的標記"
"Popular","流行"
"Popular Tags","熱門標籤"
"Price","價格"
"Product Name","產品名"
"Product SKU","產品SKU"
"Product Tag API","產品標籤 API"
"Product Tags","產品標籤"
"Products","產品"
"Products Tagged by Administrators","管理員為產品新增的標籤"
"Products Tagged by Customers","客戶為產品新增的標籤"
"Products Tagged with '%s'","使用 '%s' 作為標籤的產品"
"Products tagged with '%s'","使用 '%s' 作為標籤的產品"
"Rebuild Tag aggregation data","重建標籤聚合數據"
"Remove","刪除"
"Remove product tag","刪除產品標籤"
"Retrieve list of tags by product","檢索按產品標籤列表"
"Retrieve product tag info","檢索產品標籤資料"
"SKU","產品編號"
"Save Tag","保存標籤"
"Save and Continue Edit","保存並繼續編輯"
"Status","狀態"
"Store View","店舖視圖"
"Tag","標籤"
"Tag ""%s"" has already been added to the product.","標籤 ""%s"" 已被新增給該產品。"
"Tag ""%s"" has been added to the product.","標籤 ""%s"" 已被新增給該產品。"
"Tag ""%s"" has been rejected by administrator.","標籤 ""%s"" 已被管理員拒絕。"
"Tag Aggregation Data","標籤聚合數據"
"Tag Name","標籤名稱"
"Tagged Products List","帶標籤的產品列表"
"Tags","標籤"
"Tags List (All Available)","標籤列表（所有可用內容）"
"Tags List Before","標籤列表之前"
"Tags:","標籤："
"Telephone","電話"
"The tag has been deleted.","標籤已被刪除。"
"There are no tags available.","沒有可用標籤。"
"Unable to find any products tagged with '%s' in the current store","當前店舖內無法找到任何帶有 '%s' 標籤的產品"
"Unable to remove tag. Please, try again later.","無法刪除標籤。請稍候重試。"
"Unable to save tag(s).","無法保存標籤。"
"Update","更新"
"Update product tag","更新產品標籤"
"Use spaces to separate tags. Use single quotes (') for phrases.","使用空格分隔標籤。使用單引號（'）標注詞組。"
"View All Tags","查看所有標籤"
"View Customers","查看客戶"
"View Products","查看產品"
"XML","XML"
"You have not tagged any products yet.","您尚未為任何產品新增標籤。"
"ZIP/Post Code","郵政編碼"
"[STORE VIEW]","[商店查看]"
