"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - 匹配任意； 'xyz*' - 匹配以 'xyz' 開頭且不長於 %d。"
"-- Please Select --","-- 請選擇 --"
"Add New Class","新增類"
"Add New Tax Rate","新增稅率"
"Add New Tax Rule","新增稅率規則"
"After Discount","折扣後"
"An error occurred while deleting this rate.","刪除該稅率時出現了錯誤。"
"An error occurred while deleting this rate. Incorrect rate ID.","刪除該費率時出現了錯誤。錯誤的費率ID。"
"An error occurred while deleting this tax class.","刪除該稅務類型時出現了錯誤。"
"An error occurred while deleting this tax rule.","刪除該稅務規則時出現了錯誤。"
"An error occurred while saving this tax class.","保存該稅務類別時出現了錯誤。"
"An error occurred while saving this tax class. A class with the same name","發生了錯誤，同時保存此稅類。一類具有相同的名稱"
"Apply Customer Tax","套用客戶稅"
"Apply Discount On Prices","在價格上套用折扣"
"Apply Tax On","將稅套用於"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","如果選中""折後應用稅率""，則在含稅價格上套用折扣會根據店舖稅率計算。"
"Are you sure you want to do this?","您是否確認要這樣做？"
"Back","返回"
"Before Discount","折前"
"CSV","CSV"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","計算設置"
"Catalog Prices","分類價格"
"Class Name","類型名稱"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","代碼"
"Country","國家"
"Custom price if available","可用時的自定價格"
"Customer Tax Class","客戶稅務類型"
"Customer Tax Class Information","自定稅費類別資訊"
"Customer Tax Classes","客戶稅率"
"Default Country","預設國家"
"Default Post Code","預設發布代碼"
"Default State","預設州"
"Default Tax Destination Calculation","預設稅額計算"
"Delete Class","刪除類"
"Delete Rate","刪除費率"
"Delete Rule","刪除規則"
"Display Full Tax Summary","顯示完整文字摘要"
"Display Prices","顯示價格"
"Display Product Prices In Catalog","在分類中顯示產品價格"
"Display Shipping Amount","顯示運送量"
"Display Shipping Prices","顯示運費"
"Display Subtotal","顯示小計"
"Display Zero Tax Subtotal","顯示零稅額小計"
"Edit Class","編輯類"
"Edit Class '%s'","編輯類 '%s'"
"Edit Rule","修改規則"
"Edit Tax Rate","編輯稅率"
"Excel XML","Excel XML"
"Excl. Tax","不含稅"
"Excl. Tax:","不含稅："
"Excluding Tax","不含稅"
"Export Tax Rates","滙出稅率"
"Grand Total (Excl. Tax)","合計（不含稅）"
"Grand Total (Excl.Tax)","合計（不含稅）"
"Grand Total (Incl. Tax)","合計（含稅）"
"Grand Total (Incl.Tax)","合計（含稅）"
"Grand Total Excl. Tax","合計不含稅"
"Grand Total Incl. Tax","合計含稅"
"Ignore this notification","Ignore this notification"
"Import / Export Tax Rates","滙入/滙出稅率"
"Import Tax Rates","滙入稅率"
"Inc. Tax","含稅"
"Incl. Tax","含稅"
"Incl. Tax:","含稅："
"Include Tax In Grand Total","在合計中含稅"
"Including Tax","含稅"
"Including and Excluding Tax","包含和不包含稅"
"Invalid file format upload attempt","文件格式無效的上傳企圖"
"Invalid file upload attempt","文件無效的上傳企圖"
"Manage Customer Tax Classes","管理客戶稅類"
"Manage Product Tax Classes","管理產品稅類"
"Manage Tax Rates","管理稅率"
"Manage Tax Rules","管理稅務規則"
"Manage Tax Zones & Rates","管理稅務地區和稅率"
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Name","名稱"
"New Class","新類"
"New Rule","新規則"
"New Tax Rate","新稅率"
"No","否"
"None","無"
"One of the country has invalid code.","其中一個國家代碼無效。"
"Orders, Invoices, Credit Memos Display Settings","訂單，發票，貸項通知單顯示設置"
"Original price only","僅原價"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Please see <a href=""%s"">source</a> for more details.","Please see <a href=""%s"">source</a> for more details."
"Price Display Settings","價格顯示設置"
"Priority","優先級"
"Product Tax Class","產品稅務類型"
"Product Tax Class Information","產品稅費類別資訊"
"Product Tax Classes","產品稅率"
"Range From","範圍從"
"Range To","範圍到"
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"Rate","費率"
"Rate Percent","稅率百分率"
"Rate Percent should be a positive number.","Rate Percent should be a positive number."
"Reset","重置狀態"
"Row Total","總行數"
"Sales","銷售"
"Save Class","保存類"
"Save Rate","保存稅率"
"Save Rule","保存規則"
"Save and Continue Edit","保存並繼續編輯"
"Shipping & Handling (Excl.Tax)","運費和手續費（不含稅）"
"Shipping & Handling (Incl.Tax)","運費和手續費（含稅）"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","運費（不含稅）"
"Shipping (Incl. Tax)","運費（含稅）"
"Shipping Excl. Tax (%s)","運費不含稅（%s）"
"Shipping Incl. Tax (%s)","運費含稅（%s）"
"Shipping Prices","運費"
"Shopping Cart Display Settings","購物車顯示設置"
"Sort Order","排序順序"
"State","州"
"State/Region","州/地區"
"Subtotal (Excl. Tax)","小計（不含稅）"
"Subtotal (Excl.Tax)","小計（不含稅）"
"Subtotal (Incl. Tax)","小計（含稅）"
"Subtotal (Incl.Tax)","小計（含稅）"
"Subtotal only","Subtotal only"
"Tax","傳真"
"Tax Calculation Based On","稅金的計算基於"
"Tax Calculation Method Based On","稅金的計算方法基於"
"Tax Class for Shipping","運費的稅類"
"Tax Classes","稅類"
"Tax Identifier","稅務識別符"
"Tax Rate","稅率"
"Tax Rate Information","稅率資訊"
"Tax Rule Information","稅務規則資訊"
"Tax Rules","稅務規則"
"Tax Section","納稅項"
"Tax Titles","稅務標題"
"Tax rate cannot be removed. It exists in tax rule","稅率不能被刪除。它存在於稅務規則中。"
"Tax rates at the same priority are added, others are compounded.","同一優先級的稅率已被新增，其它的是集合的。"
"The tax class has been deleted.","該稅務類型已被刪除。"
"The tax class has been saved.","該稅務類型已保存。"
"The tax rate has been deleted.","該稅率已被刪除。"
"The tax rate has been imported.","該稅率已被滙入。"
"The tax rate has been saved.","該稅率已保存。"
"The tax rule has been deleted.","該稅務規則已被刪除。"
"This class no longer exists","此類型不再存在。"
"This rule no longer exists","該規則不存在。"
"This rule no longer exists.","該規則已不存在。"
"Total","總數"
"Unit Price","單價"
"Warning tax configuration can result in rounding errors","Warning tax configuration can result in rounding errors"
"Warning tax configuration can result in unexpected FPT prices on applicable devices","Warning tax configuration can result in unexpected FPT prices on applicable devices"
"Warning tax discount configuration might result in different discounts than a customer might expect","Warning tax discount configuration might result in different discounts than a customer might expect"
"Whether catalog prices entered by admin include tax.","任何目錄價格包括稅，都由管理員輸入。"
"Whether shipping amounts entered by admin or obtained from gateways include tax.","任何銷售金額包含稅，都由管理員輸入或從網關獲取。"
"Yes","是"
"You cannot delete this tax class as it is used for %d customer groups.","無法刪除此稅務類型，它使用於%d個客戶組中。"
"You cannot delete this tax class as it is used for %d products.","無法刪除此稅務類型，它使用於%d個產品中。"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","無法刪除此稅務類型，它在稅務規則中被使用。若要刪除請先刪除對應的規則。"
"Zip code should not contain characters other than digits.","Zip code should not contain characters other than digits."
"Zip/Post Code","郵政編碼"
"Zip/Post is Range","郵編範圍"
"for store(s)","for store(s)"
