" was not delivered nor scanned","尚未發布或掃描"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","每個訂單""，""使整個訂單的單手續費。""每包""，允許每包的手續費。"""
"1 Day Freight","1天送達"
"2 Day","2天"
"2 Day AM","2日時"
"2 Day Freight","2天送達"
"2nd Day Air","2天航空"
"2nd Day Air AM","第二天航空朝至"
"2nd Day Air AM Letter","第二天航空朝至信件"
"2nd Day Air Letter","第二天航空信件"
"3 Day Freight","3天送達"
"3 Day Select","3天選擇"
"Access ID","訪問ID"
"Access License Number","訪問許可編號"
"Account ID","帳戶ID"
"Account Number","帳戶號碼"
"Additional Protection Configuration Value","額外的保護已啟用"
"Additional Protection Enabled","額外的保護已啟用"
"Additional Protection Min Subtotal","額外的保護減去小計"
"Additional Protection Value","額外保護的價值"
"Additional Protection Value Rounding Method","額外保護價值湊整方法"
"Adult","成人"
"Adult Signature Required","成人簽名要求"
"Allowed Methods","允許的方式"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","允許打破成小塊，訂單總重量，它exeeds%s的，以確保準確計算運費。"
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","允許打破成小塊，如果它exeeds訂單總重量70公斤，以確保準確計算運費。"
"Break bulk economy","打破大宗經濟"
"Break bulk express","打破大宗快遞"
"Business Service Center","商業服務中心"
"Calculate Handling Fee","計算的手續費"
"Canada Standard","加拿大標準"
"Cannot identify measure unit for %s","不能確定的度量單位為%s"
"Cannot identify weight unit for %s","無法確定重量單位為%s"
"Cannot retrieve shipping rates","無法獲取運費"
"Centimeters","厘米"
"Commercial","商業"
"Configuration","配置"
"Container","容器"
"Content Type","內容類型"
"Customer Packaging","客戶自取"
"Customer Supplied Package","客戶提供包裹"
"Customer services","客戶服務"
"DHL","DHL"
"DHL (Deprecated)","外運敦豪（已過時）"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Debug","偵錯"
"Default Package Height","預設包裹高度"
"Default Package Length","預設包裹長度"
"Default Package Width","預設包裹寬度"
"Delivered","已交付"
"Delivery Confirmation","發貨確認"
"Depth","深度"
"Destination Type","目的地類型"
"Destination facility code is empty","目標設備代碼是空的"
"Development","開發"
"Direct","直接"
"Displayed Error Message","顯示的錯誤資訊"
"Divide Order Weight","除以訂單重量"
"Documents","文件"
"Domestic Shipment Days","國內運送天數"
"Domestic economy select","國內經濟的選擇"
"Domestic express","國內快遞"
"Drop Box","取件箱"
"Dropoff","自取"
"Easy shop","EASY SHOP"
"Economy select","經濟選擇"
"Empty response","無需應答"
"Enable Negotiated Rates","啟用協商費率"
"Enabled for Checkout","為付款啟用"
"Enables/Disables SSL verification of Magento server by UPS.","啟用/禁用UPS對Magento伺服器的SSL驗證。"
"Error #%s : %s","錯誤編號%s：%S"
"Error #%s : %s (%s)","錯誤 #%s : %s (%s)"
"Error #%s: %s","錯誤 #%s: %s"
"Europack","europack"
"Europe First Priority","歐洲優先"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","匯率%（基準貨幣） - >%s未找到。DHL方法%小號跳過"
"Express","快速"
"Express 10:30","快10:30"
"Express 10:30 AM","快速早10:30"
"Express 12:00","快12:00"
"Express 9:00","快9:00"
"Express Saturday","快速周六"
"Express Saver","快速經濟"
"Express easy","快速方便"
"Express envelope","快遞信封"
"Express worldwide","快遞全球"
"Failed to parse xml document: %s","解析xml文檔 %s 出錯"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10公斤箱子"
"FedEx 25kg Box","DefEx 25公斤箱子"
"FedEx Box","FedEx 箱子"
"FedEx Envelope","FedEx信封"
"FedEx Pak","FedEx 聚酯包裝"
"FedEx Tube","FedEx 包裝管"
"First Overnight","次日達"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","平面"
"Flat-Rate Box","平紙箱"
"Flat-Rate Envelope","平信封"
"Free Method","免費方法"
"Free Shipping with Minimum Order Amount","有最小訂單數量要求的免費送貨"
"Freight","送達"
"Freight worldwide","貨運全球"
"Gateway URL","網關 URL"
"Gateway XML URL","網關 XML URL"
"Gift","Gift"
"Girth","週長"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","globalmail業務"
"Ground","地面"
"Ground Commercial","地面運送"
"Ground Residential","地面住宅"
"Handling Applied","需要的處理"
"Handling Fee","處理費"
"Height","高度"
"Height, width and length should be equal or greater than %s","高度，寬度和長度應等於或大於%s的"
"Home Delivery","家庭運送"
"Hub ID","樞紐編號"
"Inches","英寸"
"Indirect","非直接"
"International Economy","國際經濟型"
"International Express","國際快速型"
"International First","國際優先"
"International Ground","國際陸雲"
"International Priority","國際優先"
"International Shipment Days","國際送貨日"
"Intl Economy Freight","國際經濟達"
"Intl Priority Freight","國際優先達"
"Jetline","JETLINE"
"Jumbo box","巨型框"
"Key","密鑰"
"Kilograms","千克"
"Large","大型"
"Large Express Box","大型快遞箱"
"Length","長度"
