"All Websites","所有網站"
"Apply Discounts To FPT","套用折扣到 FPT"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","在電子郵件專用顯示價格"
"Display Prices In Product Lists","在產品列表中顯示價格"
"Display Prices In Sales Modules","在銷售模塊中顯示價格"
"Display Prices On Product View Page","在產品查看頁面中顯示價格"
"Enable FPT","啟用 FPT"
"Excluding FPT","不包含 FPT"
"Excluding FPT, FPT description, final price","不包含 FPT，FPT 描述，最終價格"
"FPT Tax Configuration","FPT Tax Configuration"
"Fixed Product Tax","固定產品稅費"
"Fixed Product Taxes","固定產品稅費"
"Include FPT In Subtotal","在小計中包含 FPT"
"Including FPT and FPT description","包含 FPT 和 FPT 描述"
"Including FPT and FPT description [incl. FPT VAT]","包含 FPT 和 FPT 描述 [包含 FPT VAT]"
"Including FPT only","僅包含 FPT"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
"Taxed","Taxed"
"Total","總數"
"Total Incl. Tax","含稅總計"
"Total excl. tax","Total excl. tax"
"Total incl. tax","總價含稅"
"Total:","Total:"
