" But cart has some errors.","但購物車中有一些錯誤。"
" Note: Image size affects the performance of your app."," Note: Image size affects the performance of your app."
"""Description"" is more than %d characters long","""描述""多於 %d 個字符長度"
"""Title"" is more than %d characters long","""標題""多於 %d 個字符長度"
"""id"" attribute is required for a ""%s"" field.","""%s""的欄位需要""id""的屬性。"
"""line_count"" attribute is required for ""multiline"" element.","""multiline"" 元件需要""line_count""的屬性。"
"""message"" attribute is required for ""%s"" validator rule.","""%s""的驗證規則需要 ""message""的屬性。"
"%1$s has been added to your wishlist.","%1$s 已新增到您的願望清單。"
"%1$s incl tax.","%1$s 含稅。"
"%@ is not correct","%@ is not correct"
"%s API Key required.","%s 需要 API 密鑰。"
"%s Application ID required.","%s 需要應用程式 ID。"
"%s Secret Key required.","需要 %s 密鑰。"
"%s attribute is required.","%s 屬性是必需的。"
"%s fields is required","%s fields is required"
"%s has been added to your cart.","%s 已新增到您的購物車。"
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","（包含列表中不包括的國家。作為應用的所有者，您需要負責遵守在特定國家，包括您自己的祖國分發或銷售您的應用程式時，該國的相關法律。）"
"* - field is required","* - field is required"
"*Subject to change","*如有變更"
"1. Please select type of the action:","1. Please select type of the action:"
"10:40 AM","10:40 AM"
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","僅在目錄中的App程式將不支持部分功能，例如新增到購物車、新增到願望清單，或登錄。"
"A new password has been sent.","新密碼已發送。"
"About","About"
"Access forbidden","Access forbidden"
"Account","帳戶"
"Account Information","Account Information"
"Account Settings","Account Settings"
"Account confirmation is required. Please check your email for the confirmation link.","需要進行賬戶確認。請檢查您的電子郵件並找到確認連結。"
"Account information has been saved.","賬戶資訊已保存。"
"Action","操作"
"Action type does\'t recognized","Action type does\'t recognized"
"Action type does\'t recognized.","Action type does\'t recognized."
"Action type doesn\'t recognized.","Action type doesn\'t recognized."
"Activate","激活"
"Activate PayPal Checkout","激活 PayPal 結賬"
"Activate PayPal MECL","激活 PayPal MECL"
"Activation Key","激活密鑰"
"Add","Add"
"Add Action","Add Action"
"Add Address from Contacts","Add Address from Contacts"
"Add App","新增App程式"
"Add Custom","Add Custom"
"Add New Address","Add New Address"
"Add New Template","新增範本"
"Add Page","新增頁面"
"Add To Wishlist","Add To Wishlist"
"Add a billing address","Add a billing address"
"Add a shipping address","Add a shipping address"
"Add to Cart","新增到購物車"
"Add to Wishlist","新增到收藏"
"Adding Product to Cart...","Adding Product to Cart..."
"Adding Product to WishList...","Adding Product to WishList..."
"Additional Address","其他地址"
"Additional Info","Additional Info"
"Address","地址"
"Address 2","地址2"
"Address Book","Address Book"
"Address Book Updated","Address Book Updated"
"Address Info","Address Info"
"Address book is empty","Address book is empty"
"Address data not specified.","地址數據未指定。"
"Address does not belong to this customer.","地址不屬於該客戶。"
"Address has been deleted.","地址已被刪除。"
"Address has been saved.","地址已被保存。"
"Admin Application Settings","Admin Application Settings"
"Admin Mobile Application","Admin Mobile Application"
"Admin application has not been enabled","Admin application has not been enabled"
"Administrative contact for this app and for app submission issues.","管理有關該應用的聯繫以及該應用提交的問題。"
"Advanced Settings","進階設置"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","提交應用到Magento後，請聯繫 <a href=""mailto:%1$s"">%1$s</a>，以獲得應用的關鍵，應用的秘密和App主密鑰。"
"AirMail Message Queue","航空郵件消息隊列"
"AirMail Messages Queue","航空郵件消息隊列"
"AirMail Template Preview","航空郵件範本預覽"
"AirMail message","航空郵件消息"
"AirMail templates","航空郵件範本"
"All Allowed Countries","所有允許國家"
"All Images","All Images"
"All locations","所有位置"
"Amount","Amount"
"Amount in %@","Amount in %@"
"Amounts","Amounts"
"An account with this email address already exists.","使用該郵件地址的帳戶已存在。"
"An error occurred while adding item to wishlist.","當新增項目到願望清單時發生錯誤。"
"An error occurred while deleting the address.","刪除該地址時發生錯誤。"
"An error occurred while loading categories.","載入類別時發生錯誤。"
"An error occurred while loading category filters.","載入分類篩選器時出錯。"
"An error occurred while loading configuration.","An error occurred while loading configuration."
"An error occurred while loading localization.","An error occurred while loading localization."
"An error occurred while loading login form.","An error occurred while loading login form."
"An error occurred while loading wishlist.","載入願望清單時發生錯誤。"
"An error occurred while processing your order. Please contact us or try again later.","處理您的訂單時出錯。請聯繫我們或稍後再試。"
"An error occurred while processing your request.","處理您的請求時出錯。"
"An error occurred while removing item from wishlist.","從您的願望清單中刪除該商品時出錯。"
"An error occurred while removing items from wishlist.","從願望清單刪除內容時出現了錯誤。"
"Analytics","分析"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android 不能支援 AirMail 訊息類型。"
"App Background","App背景"
"App Background (landscape mode)","App Background (landscape mode)"
"App Background (landscape mode).","App背景（橫向模式）。"
"App Background (portrait mode)","App Background (portrait mode)"
"App Background (portrait mode).","App背景（縱向模式）。"
"App Background image missing.","App背景圖像丟失"
"App Code","App代碼"
"App Information","App資訊"
"App Name","App名稱"
"App Stores","App店舖"
"App Submission History","App提交歷史"
"App Title","App標題"
"App code","App code"
"App code required.","需要App代碼。"
"App does not exist.","App不存在。"
"App has been deleted.","App已被刪除。"
"App has been saved.","App已被保存。"
"App has been submitted.","App已被提交。"
"App model not loaded.","App模塊未載入。"
"App with specified code does not exist.","使用特定代碼的App已存在。"
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","顯示在您應用的資訊介面中（例如：Copyright 2010 – Your Company, Inc.）"
"Application","應用程式"
"Application Key","應用程式密鑰"
"Application Master Secret","應用程式主密鑰"
"Application Name","應用程式名稱"
"Application Secret","應用程式密碼"
"Application doesn\'t exist.","Application doesn\'t exist."
"Apply","Apply"
"Applying Coupon Code","Applying Coupon Code"
